iter	Passed	Remaining
0	215	215000
1	235	117464
2	252	83947
3	284	70847
4	297	59203
5	331	54852
6	344	48799
7	374	46391
8	386	42603
9	404	40032
10	418	37658
11	450	37099
12	481	36561
13	512	36075
14	545	35791
15	576	35451
16	589	34097
17	614	33517
18	647	33407
19	690	33816
20	720	33575
21	743	33032
22	775	32926
23	788	32085
24	824	32141
25	856	32073
26	886	31957
27	922	32017
28	957	32070
29	996	32220
30	1018	31847
31	1055	31923
32	1087	31861
33	1118	31765
34	1149	31701
35	1173	31421
36	1195	31120
37	1228	31092
38	1261	31086
39	1296	31113
40	1336	31270
41	1368	31222
42	1381	30745
43	1424	30946
44	1462	31040
45	1509	31313
46	1552	31470
47	1583	31403
48	1613	31317
49	1644	31248
50	1686	31388
51	1718	31325
52	1749	31262
53	1780	31187
54	1812	31145
55	1843	31071
56	1872	30986
57	1907	30976
58	1938	30920
59	1982	31065
60	2013	30990
61	2044	30925
62	2074	30861
63	2124	31069
64	2165	31144
65	2197	31094
66	2228	31026
67	2258	30959
68	2289	30893
69	2330	30962
70	2368	30987
71	2401	30958
72	2434	30912
73	2451	30679
74	2481	30610
75	2512	30550
76	2551	30586
77	2584	30552
78	2616	30508
79	2648	30461
80	2681	30419
81	2712	30368
82	2744	30318
83	2775	30266
84	2805	30203
85	2836	30141
86	2881	30240
87	2917	30239
88	2950	30197
89	2983	30165
90	3014	30116
91	3045	30053
92	3075	29996
93	3106	29944
94	3142	29931
95	3174	29896
96	3205	29839
97	3236	29786
98	3267	29733
99	3302	29725
100	3340	29736
101	3376	29722
102	3408	29684
103	3439	29635
104	3470	29582
105	3503	29551
106	3538	29527
107	3575	29528
108	3612	29529
109	3651	29540
110	3722	29810
111	3761	29823
112	3801	29841
113	3881	30162
114	3918	30157
115	3952	30122
116	3986	30083
117	4020	30055
118	4057	30036
119	4091	30007
120	4128	29993
121	4178	30070
122	4212	30034
123	4248	30010
124	4302	30119
125	4340	30105
126	4382	30128
127	4415	30079
128	4447	30027
129	4478	29968
130	4508	29909
131	4540	29856
132	4571	29799
133	4613	29813
134	4645	29768
135	4703	29880
136	4763	30006
137	4804	30008
138	4839	29979
139	4878	29970
140	4919	29973
141	4964	29995
142	5013	30045
143	5059	30073
144	5090	30018
145	5110	29890
146	5143	29847
147	5175	29794
148	5211	29766
149	5252	29761
150	5298	29791
151	5341	29801
152	5383	29801
153	5425	29807
154	5457	29750
155	5492	29714
156	5525	29667
157	5556	29608
158	5586	29548
159	5616	29487
160	5647	29427
161	5702	29496
162	5736	29458
163	5773	29428
164	5805	29380
165	5837	29326
166	5867	29267
167	5904	29240
168	5937	29195
169	5968	29140
170	5999	29083
171	6029	29023
172	6059	28965
173	6089	28908
174	6126	28884
175	6157	28828
176	6189	28778
177	6193	28602
178	6222	28542
179	6251	28481
180	6284	28435
181	6328	28442
182	6364	28413
183	6407	28416
184	6439	28368
185	6469	28310
186	6499	28258
187	6532	28215
188	6564	28167
189	6599	28136
190	6638	28116
191	6668	28062
192	6699	28010
193	6732	27969
194	6765	27928
195	6796	27878
196	6828	27833
197	6862	27795
198	6893	27747
199	6941	27764
200	6965	27689
201	6995	27637
202	7026	27586
203	7056	27533
204	7086	27482
205	7118	27437
206	7153	27405
207	7185	27360
208	7218	27320
209	7256	27299
210	7301	27302
211	7339	27281
212	7388	27300
213	7424	27270
214	7468	27269
215	7501	27226
216	7534	27187
217	7566	27140
218	7600	27104
219	7634	27067
220	7664	27017
221	7694	26964
222	7724	26913
223	7753	26860
224	7783	26809
225	7814	26763
226	7844	26713
227	7875	26667
228	7911	26638
229	7943	26592
230	7972	26540
231	8001	26486
232	8033	26443
233	8064	26397
234	8094	26351
235	8125	26305
236	8159	26268
237	8196	26242
238	8234	26218
239	8274	26201
240	8306	26161
241	8362	26193
242	8394	26149
243	8425	26103
244	8459	26069
245	8491	26027
246	8524	25988
247	8555	25941
248	8584	25891
249	8614	25843
250	8645	25798
251	8678	25760
252	8722	25753
253	8753	25709
254	8784	25665
255	8815	25619
256	8846	25574
257	8879	25536
258	8918	25515
259	8950	25474
260	8980	25427
261	9011	25383
262	9041	25335
263	9074	25298
264	9123	25303
265	9153	25257
266	9183	25210
267	9213	25164
268	9247	25129
269	9280	25091
270	9317	25063
271	9356	25041
272	9390	25007
273	9440	25013
274	9476	24983
275	9517	24965
276	9551	24930
277	9589	24905
278	9630	24888
279	9690	24917
280	9721	24874
281	9755	24838
282	9787	24797
283	9818	24753
284	9850	24712
285	9881	24669
286	9917	24639
287	9948	24595
288	9981	24557
289	10013	24516
290	10043	24471
291	10077	24435
292	10108	24390
293	10138	24346
294	10168	24300
295	10201	24263
296	10234	24225
297	10267	24186
298	10298	24144
299	10332	24108
300	10366	24074
301	10398	24034
302	10431	23996
303	10468	23967
304	10499	23924
305	10529	23880
306	10559	23837
307	10590	23794
308	10622	23753
309	10652	23710
310	10681	23665
311	10711	23621
312	10752	23599
313	10782	23557
314	10815	23519
315	10846	23478
316	10878	23437
317	10920	23420
318	10950	23377
319	10980	23334
320	11010	23291
321	11045	23257
322	11079	23222
323	11109	23178
324	11138	23134
325	11168	23091
326	11198	23048
327	11232	23012
328	11268	22981
329	11298	22939
330	11328	22896
331	11371	22879
332	11403	22840
333	11434	22801
334	11485	22799
335	11530	22786
336	11561	22745
337	11591	22702
338	11623	22663
339	11653	22622
340	11686	22585
341	11720	22550
342	11752	22511
343	11783	22471
344	11815	22431
345	11846	22392
346	11877	22350
347	11916	22325
348	11952	22295
349	11996	22278
350	12049	22279
351	12081	22240
352	12112	22199
353	12146	22165
354	12177	22125
355	12208	22085
356	12242	22050
357	12289	22039
358	12371	22089
359	12457	22147
360	12514	22151
361	12560	22137
362	12620	22146
363	12679	22153
364	12726	22141
365	12775	22130
366	12819	22110
367	12865	22095
368	12910	22076
369	12955	22059
370	12995	22032
371	13036	22008
