iter	MAPE	RMSE
0	0.9655284431	24484.86803
1	0.9336361864	23862.7041
2	0.9029445803	23273.45029
3	0.8735439371	22695.91198
4	0.8441252128	22134.39194
5	0.8172683277	21606.00712
6	0.7901918693	21083.35472
7	0.76492936	20574.4466
8	0.739491607	20067.65324
9	0.7150145913	19596.55434
10	0.6912911543	19137.46514
11	0.6702232555	18684.64925
12	0.649156313	18251.42742
13	0.6295194469	17831.55399
14	0.6114497225	17416.08182
15	0.5935502522	17026.79303
16	0.5754718283	16656.26253
17	0.5591063871	16288.78706
18	0.5438042314	15939.26342
19	0.5300580442	15606.46328
20	0.5170235844	15271.57268
21	0.5041366212	14943.36476
22	0.4929708522	14641.39122
23	0.4819448595	14342.56668
24	0.4730646111	14050.49884
25	0.4628592417	13769.68253
26	0.4538180722	13493.58458
27	0.4465724464	13245.62645
28	0.4384507151	12990.35254
29	0.4319920998	12750.24412
30	0.4262147061	12516.99211
31	0.4206714372	12295.74976
32	0.4154477761	12081.14176
33	0.4111853703	11865.63195
34	0.4066943923	11657.62269
35	0.402914226	11472.22805
36	0.3994935425	11282.40151
37	0.3953021094	11095.23686
38	0.3921242685	10926.3983
39	0.3889522965	10762.8038
40	0.3864288079	10603.76474
41	0.3835370854	10453.78939
42	0.3806135021	10321.06751
43	0.3780435641	10178.1903
44	0.3768580366	10043.16064
45	0.3747760629	9909.132768
46	0.3729375478	9784.145428
47	0.3715673305	9660.215742
48	0.3700119691	9538.203661
49	0.3692771595	9427.789123
50	0.3688980273	9310.895272
51	0.3687038247	9208.37287
52	0.3677228277	9109.10289
53	0.3666528795	9013.535
54	0.364452007	8901.68899
55	0.3640585018	8810.526391
56	0.3631739149	8716.173558
57	0.3634846212	8635.81206
58	0.3623001905	8540.924064
59	0.3615469811	8456.249825
60	0.359979406	8365.449608
61	0.3586585417	8278.149543
62	0.3576760214	8202.116003
63	0.3570810771	8119.049773
64	0.3558670181	8038.619703
65	0.3556323391	7965.459544
66	0.3548607335	7889.8192
67	0.3538664904	7820.239889
68	0.3537972365	7751.593116
69	0.3529737376	7677.904549
70	0.3525900669	7618.014843
71	0.3509490249	7555.456578
72	0.3512594966	7500.830954
73	0.351062589	7450.372599
74	0.3508014484	7397.133973
75	0.3503740576	7341.4744
76	0.3501671956	7289.111328
77	0.3492472401	7223.982346
78	0.3481490153	7179.77882
79	0.3480152831	7132.965263
80	0.3474505886	7088.316565
81	0.3471089087	7038.76248
82	0.3462732547	6987.885473
83	0.3458567274	6949.885102
84	0.3461372843	6909.61702
85	0.3458129559	6872.445259
86	0.3452281335	6837.547958
87	0.343814562	6796.476842
88	0.3435923732	6766.968395
89	0.3435380853	6730.565739
90	0.3435527771	6694.678211
91	0.3431851891	6659.894085
92	0.3433115791	6634.537083
93	0.3431789289	6605.693538
94	0.3429104355	6565.896249
95	0.3427570638	6536.787719
96	0.3430170163	6505.760658
97	0.3431213462	6472.637508
98	0.3416476366	6445.291108
99	0.340829604	6420.170437
100	0.3395089893	6383.778416
101	0.3391518898	6352.297862
102	0.3390329719	6331.917454
103	0.3386974978	6315.053389
104	0.3388135101	6283.487949
105	0.3387747345	6257.673077
106	0.3385658103	6231.051349
107	0.3381812905	6208.500371
108	0.3380388999	6183.87986
109	0.3375781911	6160.929904
110	0.3376611021	6137.798602
111	0.3373953433	6116.130374
112	0.3371227085	6100.222615
113	0.336616212	6079.792981
114	0.3363739996	6064.125947
115	0.3357857341	6042.748348
116	0.3355752815	6029.16515
117	0.3352109309	6002.054108
118	0.3341018603	5978.67832
119	0.3340162724	5965.588549
120	0.3329888368	5951.910058
121	0.3326486196	5938.63544
122	0.332247915	5918.595513
123	0.3316813762	5899.050282
124	0.3312467354	5883.419866
125	0.3301129967	5867.961785
126	0.3299484301	5855.055971
127	0.3298548466	5842.23392
128	0.3292163712	5832.080588
129	0.3293577476	5815.558356
130	0.3292747995	5802.287671
131	0.3282673495	5786.974366
132	0.3275749091	5770.672412
133	0.3273037674	5762.214751
134	0.3265108801	5744.524955
135	0.325952597	5734.53417
136	0.3254729594	5715.760887
137	0.3244143915	5703.772225
138	0.3242159689	5685.214522
139	0.3233200486	5667.391967
140	0.3224889702	5658.424429
141	0.3223281818	5642.788183
142	0.3223646013	5632.462659
143	0.3220583511	5620.023715
144	0.3219952198	5611.177698
145	0.3220726166	5605.068587
146	0.3219780575	5592.755438
147	0.321688863	5578.232126
148	0.3209269675	5564.551132
149	0.3199372365	5555.305983
150	0.3186724026	5542.574958
151	0.3186184184	5532.422374
152	0.3180068157	5523.220383
153	0.3171046325	5510.157889
154	0.3161092965	5500.718948
155	0.3152185037	5494.205837
156	0.3151839186	5483.160452
157	0.3143962854	5473.633496
158	0.313964245	5467.254113
159	0.3136073007	5459.821993
160	0.3137135093	5453.702992
161	0.313109097	5445.461883
162	0.3127644515	5430.669219
163	0.3122329586	5421.370898
164	0.311803649	5409.984931
165	0.311610148	5395.129094
166	0.3113005987	5383.075895
167	0.3112538713	5376.563523
168	0.3108081502	5371.74977
169	0.31071202	5366.460942
170	0.3105990262	5360.224831
171	0.3101389285	5350.342314
172	0.3097284401	5337.74321
173	0.309272183	5320.466471
174	0.3090563645	5308.253579
175	0.3083562833	5301.118714
