iter	Passed	Remaining
402	14416	21356
403	14446	21312
404	14476	21268
405	14506	21223
406	14537	21180
407	14568	21139
408	14603	21101
409	14635	21061
410	14671	21025
411	14705	20987
412	14790	21021
413	14830	20991
414	14865	20954
415	14897	20913
416	14928	20870
417	14960	20830
418	14995	20793
419	15028	20753
420	15062	20715
421	15093	20673
422	15124	20630
423	15156	20589
424	15187	20547
425	15218	20505
426	15252	20466
427	15289	20433
428	15330	20404
429	15364	20367
430	15396	20326
431	15427	20283
432	15459	20243
433	15492	20205
434	15524	20164
435	15556	20123
436	15585	20079
437	15615	20036
438	15645	19994
439	15683	19960
440	15714	19919
441	15745	19877
442	15836	19911
443	15871	19875
444	15907	19840
445	15940	19800
446	15971	19758
447	16000	19715
448	16030	19672
449	16059	19628
450	16089	19585
451	16124	19549
452	16154	19506
453	16185	19465
454	16215	19423
455	16247	19383
456	16279	19342
457	16312	19304
458	16349	19270
459	16385	19235
460	16416	19194
461	16452	19159
462	16492	19128
463	16532	19097
464	16568	19062
465	16603	19026
466	16636	18987
467	16676	18956
468	16709	18917
469	16739	18876
470	16775	18840
471	16826	18822
472	16908	18838
473	16946	18806
474	16991	18779
475	17025	18742
476	17056	18701
477	17086	18659
478	17115	18616
479	17145	18574
480	17176	18533
481	17210	18495
482	17246	18460
483	17276	18419
484	17308	18378
485	17338	18337
486	17372	18300
487	17411	18267
488	17450	18236
489	17497	18211
490	17529	18171
491	17560	18131
492	17592	18092
493	17628	18056
494	17665	18022
495	17697	17982
496	17727	17941
497	17759	17902
498	17789	17860
499	17820	17820
500	17854	17782
501	17892	17749
502	17986	17772
503	18023	17737
504	18063	17705
505	18100	17671
506	18133	17632
507	18163	17591
508	18196	17552
509	18226	17511
510	18258	17472
511	18293	17435
512	18324	17396
513	18355	17355
514	18385	17314
515	18416	17273
516	18447	17234
517	18480	17196
518	18520	17164
519	18554	17127
520	18585	17087
521	18616	17047
522	18649	17009
523	18701	16988
524	18749	16963
525	18780	16923
526	18810	16882
527	18842	16844
528	18875	16805
529	18907	16767
530	18942	16730
531	19069	16775
532	19106	16740
533	19141	16703
534	19175	16666
535	19206	16626
536	19240	16589
537	19272	16549
538	19303	16509
539	19337	16472
540	19368	16432
541	19399	16392
542	19429	16352
543	19470	16320
544	19503	16282
545	19538	16246
546	19580	16216
547	19628	16190
548	19664	16154
549	19695	16114
550	19731	16078
551	19762	16039
552	19792	15998
553	19823	15958
554	19853	15918
555	19883	15878
556	19913	15837
557	19944	15798
558	19980	15762
559	20011	15723
560	20041	15683
561	20074	15645
562	20158	15646
563	20198	15614
564	20231	15576
565	20263	15537
566	20294	15497
567	20328	15460
568	20364	15425
569	20397	15387
570	20428	15348
571	20461	15310
572	20499	15276
573	20543	15246
574	20583	15213
575	20620	15178
576	20669	15153
577	20707	15118
578	20746	15085
579	20793	15057
580	20825	15018
581	20855	14978
582	20885	14938
583	20920	14902
584	20949	14861
585	20978	14820
586	21010	14782
587	21040	14742
588	21071	14703
589	21101	14663
590	21136	14627
591	21223	14626
592	21258	14590
593	21295	14555
594	21328	14517
595	21359	14478
596	21390	14439
597	21430	14406
598	21464	14369
599	21495	14330
600	21526	14291
601	21557	14252
602	21587	14212
603	21618	14173
604	21653	14137
605	21685	14098
606	21719	14062
607	21759	14029
608	21796	13994
609	21827	13955
610	21859	13917
611	21891	13879
612	21923	13840
613	21967	13810
614	21997	13771
615	22028	13732
616	22061	13694
617	22101	13661
618	22132	13622
619	22170	13588
620	22201	13549
621	22292	13547
622	22330	13512
623	22383	13487
624	22432	13459
625	22472	13425
626	22513	13393
627	22546	13355
628	22577	13316
629	22609	13278
630	22641	13240
631	22685	13209
632	22717	13170
633	22753	13135
634	22787	13098
635	22819	13060
636	22851	13022
637	22888	12987
638	22932	12955
639	22967	12919
640	22998	12880
641	23029	12842
642	23059	12803
643	23090	12764
644	23123	12726
645	23169	12696
646	23204	12660
647	23249	12629
648	23285	12593
649	23420	12611
650	23462	12578
651	23496	12541
652	23527	12502
653	23558	12463
654	23593	12427
655	23626	12389
656	23664	12354
657	23696	12316
658	23728	12278
659	23771	12245
660	23802	12207
661	23835	12170
662	23874	12135
663	23907	12097
664	23943	12061
665	23980	12026
666	24012	11988
667	24052	11954
668	24084	11916
669	24115	11877
670	24145	11839
671	24178	11801
672	24210	11763
673	24243	11725
674	24281	11691
675	24316	11654
676	24351	11618
677	24382	11579
678	24428	11548
679	24522	11539
680	24565	11507
681	24601	11471
682	24640	11436
683	24686	11404
684	24736	11375
685	24781	11343
686	24832	11313
687	24878	11281
688	24928	11252
689	24972	11219
690	25025	11190
691	25065	11156
692	25117	11126
693	25165	11095
694	25200	11059
695	25243	11026
696	25289	10993
697	25327	10958
698	25384	10930
699	25440	10902
700	25477	10866
701	25536	10840
702	25702	10858
703	25759	10830
704	25822	10805
705	25882	10778
706	25939	10750
707	25986	10717
708	26029	10683
709	26081	10652
710	26133	10622
711	26172	10586
712	26228	10557
713	26289	10530
714	26334	10496
715	26375	10461
716	26418	10427
