Metropolitan Statistical Areas,Per capita personal income 2018,Per capita personal income 2019,Per capita personal income 2020,Per capita personal income Rank in United States 2020,Percent change 2019,Percent change 2020,Rank in United States Percent change from preceding period 2020
"Waco, TX","41,319","42,274","45,403",294,2.3,7.4,129
"Walla Walla, WA","44,521","46,648","51,767",167,4.8,11.0,22
"Warner Robins, GA","41,902","43,109","45,888",286,2.9,6.4,204
"Washington-Arlington-Alexandria, DC-VA-MD-WV","71,615","73,059","76,771",13,2.0,5.1,296
"Waterloo-Cedar Falls, IA","46,002","46,971","50,126",198,2.1,6.7,180
"Watertown-Fort Drum, NY","46,375","48,896","53,964",134,5.4,10.4,27
"Wausau-Weston, WI","49,489","51,329","54,305",130,3.7,5.8,251
"Weirton-Steubenville, WV-OH","40,431","42,338","46,007",285,4.7,8.7,56
"Wenatchee, WA","48,047","50,227","55,047",120,4.5,9.6,38
"Wheeling, WV-OH","48,907","47,341","48,947",223,-3.2,3.4,362
"Wichita, KS","50,308","52,706","55,000",121,4.8,4.4,334
"Wichita Falls, TX","43,262","44,754","46,954",266,3.4,4.9,307
"Williamsport, PA","43,070","44,688","48,721",228,3.8,9.0,46
"Wilmington, NC","44,226","46,620","48,744",227,5.4,4.6,327
"Winchester, VA-WV","47,879","49,538","52,377",154,3.5,5.7,255
"Winston-Salem, NC","43,881","45,600","48,151",239,3.9,5.6,267
"Worcester, MA-CT","54,581","56,846","61,741",52,4.1,8.6,59
"Yakima, WA","41,740","43,910","49,099",218,5.2,11.8,15
"York-Hanover, PA","50,069","52,015","55,761",109,3.9,7.2,140
"Youngstown-Warren-Boardman, OH-PA","42,094","43,047","46,635",272,2.3,8.3,74
"Yuba City, CA","41,937","43,411","48,752",226,3.5,12.3,13
"Yuma, AZ","33,672","35,065","40,800",366,4.1,16.4,2
