Metropolitan Statistical Areas,Per capita personal income 2018,Per capita personal income 2019,Per capita personal income 2020,Per capita personal income Rank in United States 2020,Percent change 2019,Percent change 2020,Rank in United States Percent change from preceding period 2020
"Corvallis, OR","45,846","47,920","50,399",194,4.5,5.2,289
"Crestview-Fort Walton Beach-Destin, FL","52,807","55,156","58,663",77,4.4,6.4,213
"Cumberland, MD-WV","39,817","41,166","44,308",321,3.4,7.6,112
"Dallas-Fort Worth-Arlington, TX","57,562","59,409","61,554",53,3.2,3.6,354
"Dalton, GA","36,697","37,995","40,781",367,3.5,7.3,132
"Danville, IL","38,433","39,696","44,533",311,3.3,12.2,14
"Daphne-Fairhope-Foley, AL","46,905","48,270","50,953",181,2.9,5.6,272
"Davenport-Moline-Rock Island, IA-IL","48,660","49,614","53,620",135,2.0,8.1,90
"Dayton-Kettering, OH","47,682","48,990","52,367",155,2.7,6.9,165
"Decatur, AL","38,608","40,499","43,264",335,4.9,6.8,172
"Decatur, IL","47,662","48,151","52,196",158,1.0,8.4,70
"Deltona-Daytona Beach-Ormond Beach, FL","43,575","45,174","47,194",262,3.7,4.5,332
"Denver-Aurora-Lakewood, CO","64,114","67,089","69,822",19,4.6,4.1,345
"Des Moines-West Des Moines, IA","53,814","55,065","58,076",83,2.3,5.5,279
"Detroit-Warren-Dearborn, MI","52,469","54,213","58,356",81,3.3,7.6,111
"Dothan, AL","41,141","42,857","45,349",297,4.2,5.8,249
"Dover, DE","42,155","43,761","46,600",273,3.8,6.5,199
"Dubuque, IA","49,703","51,329","54,751",124,3.3,6.7,188
"Duluth, MN-WI","45,717","47,150","49,785",209,3.1,5.6,269
"Durham-Chapel Hill, NC","52,243","54,408","56,703",95,4.1,4.2,340
"East Stroudsburg, PA","42,708","44,150","48,409",233,3.4,9.6,36
"Eau Claire, WI","47,300","48,822","51,569",171,3.2,5.6,262
"El Centro, CA","35,331","37,196","44,500",315,5.3,19.6,1
"Elizabethtown-Fort Knox, KY","41,440","43,331","46,770",269,4.6,7.9,94
"Elkhart-Goshen, IN","46,541","46,845","49,875",204,0.7,6.5,202
"Elmira, NY","43,941","45,658","49,439",215,3.9,8.3,79
"El Paso, TX","36,347","38,681","41,732",356,6.4,7.9,99
"Enid, OK","44,288","45,053","46,702",270,1.7,3.7,351
"Erie, PA","44,740","46,259","50,536",190,3.4,9.2,43
"Eugene-Springfield, OR","44,957","45,960","49,583",211,2.2,7.9,102
"Evansville, IN-KY","46,925","49,168","51,695",169,4.8,5.1,292
"Fairbanks, AK","56,888","59,194","62,254",46,4.1,5.2,290
"Fargo, ND-MN","53,618","55,292","58,158",82,3.1,5.2,288
"Farmington, NM","35,408","36,095","38,370",377,1.9,6.3,217
"Fayetteville, NC","36,324","38,060","40,972",363,4.8,7.7,110
"Fayetteville-Springdale-Rogers, AR","67,281","68,808","70,085",17,2.3,1.9,376
"Flagstaff, AZ","48,416","48,837","53,036",142,0.9,8.6,60
"Flint, MI","40,495","41,940","46,152",284,3.6,10.0,32
"Florence, SC","40,184","42,238","45,178",301,5.1,7.0,160
"Florence-Muscle Shoals, AL","37,042","38,405","41,181",361,3.7,7.2,138
"Fond du Lac, WI","48,245","49,922","52,813",144,3.5,5.8,252
"Fort Collins, CO","53,836","55,935","58,725",75,3.9,5.0,302
"Fort Smith, AR-OK","37,211","38,666","40,801",365,3.9,5.5,274
"Fort Wayne, IN","46,551","47,762","50,238",196,2.6,5.2,287
"Fresno, CA","41,248","43,019","48,495",231,4.3,12.7,12
"Gadsden, AL","36,583","37,700","39,852",374,3.1,5.7,256
"Gainesville, FL","43,026","44,734","47,729",251,4.0,6.7,184
"Gainesville, GA","44,831","46,409","48,759",225,3.5,5.1,297
"Gettysburg, PA","48,826","50,785","54,172",131,4.0,6.7,187
"Glens Falls, NY","46,461","48,527","53,074",140,4.4,9.4,40
"Goldsboro, NC","38,115","40,116","42,882",341,5.2,6.9,164
"Grand Forks, ND-MN","49,813","51,429","57,102",92,3.2,11.0,21
"Grand Island, NE","43,165","44,836","48,375",234,3.9,7.9,98
"Grand Junction, CO","44,691","45,898","48,435",232,2.7,5.5,273
"Grand Rapids-Kentwood, MI","49,040","50,474","54,037",133,2.9,7.1,153
"Grants Pass, OR","40,980","43,694","46,913",267,6.6,7.4,130
"Great Falls, MT","47,529","49,201","52,226",157,3.5,6.1,223
"Greeley, CO","47,884","48,923","52,054",160,2.2,6.4,208
"Green Bay, WI","51,276","52,453","55,159",115,2.3,5.2,291
"Greensboro-High Point, NC","42,745","44,456","47,171",263,4.0,6.1,227
"Greenville, NC","41,163","42,882","45,169",302,4.2,5.3,283
"Greenville-Anderson, SC","44,160","45,505","47,836",246,3.0,5.1,294
"Gulfport-Biloxi, MS","36,703","37,983","41,111",362,3.5,8.2,81
"Hagerstown-Martinsburg, MD-WV","43,505","44,637","47,759",250,2.6,7.0,157
"Hammond, LA","37,928","38,963","41,792",353,2.7,7.3,136
"Hanford-Corcoran, CA","35,267","36,442","41,829",351,3.3,14.8,7
"Harrisburg-Carlisle, PA","52,270","54,304","58,372",80,3.9,7.5,122
"Harrisonburg, VA","39,471","40,413","43,232",336,2.4,7.0,158
"Hartford-East Hartford-Middletown, CT","62,445","64,101","67,343",27,2.7,5.1,298
"Hattiesburg, MS","38,334","39,076","41,779",354,1.9,6.9,163
"Hickory-Lenoir-Morganton, NC","39,205","40,607","43,496",333,3.6,7.1,146
"Hilton Head Island-Bluffton, SC","52,973","55,636","57,565",89,5.0,3.5,358
"Hinesville, GA","34,575","34,832","37,578",379,0.7,7.9,101
"Homosassa Springs, FL","38,263","39,701","41,933",350,3.8,5.6,263
"Hot Springs, AR","40,053","41,502","44,358",319,3.6,6.9,167
"Houma-Thibodaux, LA","42,818","44,110","47,259",260,3.0,7.1,145
"Houston-The Woodlands-Sugar Land, TX","57,875","58,884","59,893",68,1.7,1.7,377
"Huntington-Ashland, WV-KY-OH","40,335","41,287","44,423",317,2.4,7.6,115
"Huntsville, AL","50,044","52,208","55,126",116,4.3,5.6,268
"Idaho Falls, ID","45,205","49,578","51,729",168,9.7,4.3,335
"Indianapolis-Carmel-Anderson, IN","54,874","57,629","60,431",66,5.0,4.9,309
"Iowa City, IA","54,289","55,538","56,947",94,2.3,2.5,369
"Ithaca, NY","44,692","46,052","49,486",213,3.0,7.5,124
"Jackson, MI","39,359","40,413","44,889",306,2.7,11.1,20
"Jackson, MS","43,423","44,794","47,992",243,3.2,7.1,144
"Jackson, TN","39,585","41,503","44,123",322,4.8,6.3,215
"Jacksonville, FL","50,411","52,184","55,125",117,3.5,5.6,261
"Jacksonville, NC","40,077","40,671","43,122",338,1.5,6.0,232
"Janesville-Beloit, WI","43,868","46,018","48,836",224,4.9,6.1,225
"Jefferson City, MO","42,101","44,548","47,827",247,5.8,7.4,131
"Johnson City, TN","39,978","41,519","44,020",324,3.9,6.0,233
"Johnstown, PA","43,050","44,620","48,637",229,3.6,9.0,47
"Jonesboro, AR","36,294","37,719","40,140",371,3.9,6.4,206
"Joplin, MO","40,371","40,691","42,255",347,0.8,3.8,348
"Kahului-Wailuku-Lahaina, HI","47,886","50,536","51,838",164,5.5,2.6,368
"Kalamazoo-Portage, MI","47,968","49,305","52,403",151,2.8,6.3,218
"Kankakee, IL","41,173","42,857","46,988",265,4.1,9.6,37
"Kansas City, MO-KS","53,688","55,691","58,057",85,3.7,4.2,339
"Kennewick-Richland, WA","43,203","45,361","49,042",219,5.0,8.1,88
"Killeen-Temple, TX","42,169","43,033","45,574",291,2.0,5.9,239
"Kingsport-Bristol, TN-VA","39,689","40,540","42,869",342,2.1,5.7,254
"Kingston, NY","50,378","52,554","56,071",102,4.3,6.7,185
"Knoxville, TN","46,341","48,179","50,540",189,4.0,4.9,308
"Kokomo, IN","41,689","42,409","44,945",304,1.7,6.0,234
"La Crosse-Onalaska, WI-MN","49,888","52,084","54,656",126,4.4,4.9,304
"Lafayette, LA","43,657","44,556","47,553",254,2.1,6.7,179
"Lafayette-West Lafayette, IN","39,453","40,106","42,467",346,1.7,5.9,240
"Lake Charles, LA","48,516","49,517","50,935",182,2.1,2.9,366
"Lake Havasu City-Kingman, AZ","33,083","34,274","36,529",381,3.6,6.6,195
"Lakeland-Winter Haven, FL","36,048","37,183","39,760",375,3.1,6.9,161
"Lancaster, PA","52,682","54,529","58,434",79,3.5,7.2,142
