"","msa","naics","emp_nf","emp","qp1_nf","qp1","ap_nf","ap","est","n.5","n5_9","n10_19","n20_49","n50_99","n100_249","n250_499","n500_999","n1000","n1000_1","n1000_2","n1000_3","n1000_4"
"167",17060,"------","G",22592,"G",242795,"G",1012707,1230,"549","292","189","111","55","27","4","N","3","N","N","N","N"
"168",17140,"------","G",975278,"G",13860814,"G",53871599,46544,"21842","8988","7006","5110","1905","1181","343","109","60","24","25","8","3"
"169",17200,"------","G",90034,"G",1127441,"G",4547574,6487,"3690","1252","838","451","154","70","20","5","7","4","N","N","N"
"170",17220,"------","G",34401,"G",412975,"G",1630454,2094,"967","451","317","238","72","36","8","4","N","N","N","N","N"
"171",17260,"------","G",6060,"G",54607,"G",223322,517,"274","122","59","41","12","6","3","N","N","N","N","N","N"
"172",17300,"------","G",72907,"G",668816,"G",2725670,4538,"2163","953","695","487","146","62","17","11","4","3","N","N","N"
"173",17340,"------","G",10001,"G",99441,"G",415666,1111,"653","222","142","64","16","11","3","N","N","N","N","N","N"
"174",17380,"------","G",8689,"H",92135,"H",339847,687,"352","163","87","58","14","8","3","N","N","N","N","N","N"
"175",17420,"------","G",42886,"G",434548,"G",1753019,2185,"1038","444","295","267","72","43","17","6","3","N","N","N","N"
"176",17460,"------","G",926568,"G",12693414,"G",50314950,49638,"25016","9427","6741","5121","1833","1107","270","73","50","24","12","9","5"
"177",17500,"------","G",6758,"G",59626,"H",246951,625,"339","141","76","49","12","4","3","N","N","N","N","N","N"
"178",17540,"------","G",17023,"G",176394,"G",692682,1139,"601","231","154","97","25","19","9","3","N","N","N","N","N"
"179",17580,"------","G",12518,"G",101407,"G",411218,1003,"504","199","154","108","25","7","5","N","N","N","N","N","N"
"180",17660,"------","G",55398,"G",545227,"G",2383191,5177,"3094","871","615","419","102","63","8","4","N","N","N","N","N"
"181",17700,"------","G",13073,"G",127080,"G",508373,762,"373","188","93","72","14","13","5","3","N","N","N","N","N"
"182",17740,"------","G",11545,"H",118416,"H",482282,808,"400","177","115","76","22","13","4","N","N","N","N","N","N"
"183",17780,"------","G",78418,"G",750853,"G",3111050,5119,"2383","1035","816","579","195","86","18","5","N","N","N","N","N"
"184",17820,"------","G",256741,"G",3021618,"G",12368003,18727,"11019","3115","2139","1556","512","281","64","26","15","7","5","3","N"
"185",17860,"------","G",78049,"G",778477,"G",3383420,4659,"2398","896","639","452","170","70","21","5","8","3","4","N","N"
"186",17900,"------","G",300499,"G",3253737,"G",12947386,17777,"8960","3462","2442","1855","614","311","79","36","18","9","7","N","N"
"187",17980,"------","G",99602,"G",1250786,"G",4472685,5794,"2784","1175","870","648","188","87","26","9","7","N","3","N","N"
"188",18020,"------","G",45897,"H",684474,"H",2464170,1890,"807","399","275","252","87","41","17","6","6","5","N","N","N"
"189",18060,"------","G",21746,"G",244366,"G",926277,1449,"735","278","218","143","41","26","5","N","N","N","N","N","N"
"190",18100,"------","H",16796,"G",167805,"H",715126,1031,"507","227","138","114","27","7","6","4","N","N","N","N","N"
"191",18140,"------","G",914038,"G",12430916,"G",47624815,43592,"20869","8040","6404","4991","1751","1074","290","116","57","29","13","9","6"
"192",18180,"------","G",63450,"G",753355,"G",3118722,4123,"2061","828","605","408","123","64","28","4","N","N","N","N","N"
"193",18220,"------","G",5077,"G",47100,"G",182612,427,"214","94","65","40","6","6","N","N","N","N","N","N","N"
"194",18260,"------","G",36589,"G",351779,"G",1414025,2273,"1072","471","341","258","81","33","13","3","N","N","N","N","N"
"195",18300,"------","G",18498,"G",179597,"G",750604,1566,"812","342","243","118","31","11","7","N","N","N","N","N","N"
"196",18380,"------","G",7333,"G",66010,"G",262027,501,"254","88","76","57","12","11","3","N","N","N","N","N","N"
"197",18420,"------","G",13016,"G",139915,"G",501970,788,"389","185","103","75","17","10","5","3","N","N","N","N","N"
"198",18460,"------","H",11972,"H",108652,"H",439060,861,"482","165","106","78","12","11","3","3","N","N","N","N","N"
"199",18500,"------","G",25619,"H",462457,"H",1540012,1786,"894","404","266","149","34","24","8","7","N","N","N","N","N"
"200",18580,"------","G",164907,"G",1799284,"G",7279649,9650,"4569","2032","1439","1069","320","152","45","12","12","5","3","4","N"
"201",18620,"------","G",13820,"G",113136,"G",479775,952,"470","211","136","87","22","19","5","N","N","N","N","N","N"
"202",18660,"------","G",14976,"G",128013,"G",545442,1040,"516","225","151","98","27","14","7","N","N","N","N","N","N"
"203",18700,"------","G",29149,"H",347209,"H",1473895,2182,"1131","440","333","193","52","26","N","N","3","N","N","N","N"
"204",18740,"------","G",8585,"G",88517,"G",324203,627,"297","149","100","55","14","8","N","N","N","N","N","N","N"
"205",18780,"------","G",3366,"G",39145,"G",162037,389,"240","78","36","26","4","4","N","N","N","N","N","N","N"
"206",18820,"------","G",13625,"G",158128,"G",611951,851,"436","189","110","72","25","10","5","3","N","N","N","N","N"
"207",18860,"------","G",4155,"H",35869,"G",148023,393,"205","88","54","37","3","5","N","N","N","N","N","N","N"
"208",18880,"------","G",85586,"G",816253,"G",3457917,8097,"4824","1392","906","673","188","89","17","7","N","N","N","N","N"
"209",18900,"------","G",15831,"G",131218,"G",545413,1094,"554","257","145","78","28","23","7","N","N","N","N","N","N"
"210",18980,"------","G",25889,"G",238449,"G",984392,1761,"860","409","230","171","49","30","9","N","N","N","N","N","N"
"211",19000,"------","G",12189,"G",96510,"G",424391,1006,"596","190","106","81","20","10","N","N","N","N","N","N","N"
"212",19060,"------","G",29994,"G",270962,"G",1127288,1939,"921","434","317","175","53","28","5","5","N","N","N","N","N"
"213",19100,"------","G",3278838,"G",50365996,"G",193590103,170728,"90275","29240","21692","17753","6406","3723","1042","381","216","102","66","34","14"
"214",19140,"------","G",54905,"G",597144,"G",2409936,2586,"1223","518","363","276","99","68","27","10","N","N","N","N","N"
"215",19180,"------","G",23295,"G",280652,"G",1009880,1342,"624","312","183","151","35","20","13","3","N","N","N","N","N"
"216",19220,"------","G",16053,"G",141238,"G",596458,1043,"534","209","163","89","24","18","N","N","N","N","N","N","N"
"217",19260,"------","G",32897,"G",284850,"G",1154940,2092,"1014","444","297","204","91","29","8","4","N","N","N","N","N"
"218",19300,"------","G",67084,"G",552323,"G",2372699,5644,"2989","1135","772","524","141","66","11","5","N","N","N","N","N"
"219",19340,"------","G",161357,"G",1877208,"G",7779045,8823,"4232","1781","1264","991","301","180","50","14","10","4","4","N","N"
"220",19380,"------","G",327586,"G",4011948,"G",16108501,16405,"7340","3306","2579","1980","674","382","92","32","20","8","7","5","N"
"221",19420,"------","G",8834,"G",75326,"G",297356,495,"237","117","61","55","10","9","5","N","N","N","N","N","N"
"222",19460,"------","G",49122,"G",557632,"G",2232791,3020,"1466","655","398","324","102","56","9","9","N","N","N","N","N"
"223",19500,"------","G",46084,"G",666536,"G",2438426,2311,"1065","508","341","242","86","42","18","6","3","N","N","N","N"
"224",19540,"------","G",12132,"G",111114,"G",471818,726,"363","160","99","64","20","11","5","4","N","N","N","N","N"
"225",19580,"------","G",13398,"G",146124,"G",573348,808,"381","167","133","74","27","20","4","N","N","N","N","N","N"
"226",19620,"------","G",11602,"G",80793,"G",333540,817,"414","169","112","81","25","9","6","N","N","N","N","N","N"
"227",19660,"------","G",175111,"G",1630885,"G",6574676,15493,"9468","2616","1715","1114","334","191","36","13","6","N","N","N","N"
"228",19700,"------","G",4455,"G",30767,"G",128948,369,"183","85","55","32","7","5","N","N","N","N","N","N","N"
"229",19740,"------","G",1330243,"G",21538242,"G",83006870,87441,"51417","13548","9947","7691","2681","1585","367","132","73","40","16","11","6"
"230",19760,"------","G",6743,"G",73131,"G",272941,618,"321","159","83","37","8","6","3","N","N","N","N","N","N"
"231",19780,"------","G",330431,"G",4692337,"G",17900039,17148,"9106","2824","2326","1801","604","312","108","42","25","10","6","6","3"
"232",19820,"------","G",1817005,"G",26597130,"G",104101491,100010,"52680","18527","12882","9730","3285","2047","542","199","118","42","40","27","9"
"233",19860,"------","G",15241,"G",217436,"G",908887,1177,"602","229","163","123","38","17","5","N","N","N","N","N","N"
"234",19940,"------","G",10724,"G",109796,"G",450098,704,"393","136","85","49","20","14","5","N","N","N","N","N","N"
"235",19980,"------","H",14840,"H",131550,"H",570451,786,"390","162","127","76","19","6","4","N","N","N","N","N","N"
"236",20020,"------","G",52664,"G",513147,"G",2146846,3392,"1602","731","530","351","108","49","14","3","4","3","N","N","N"
"237",20060,"------","G",14227,"G",121741,"G",507403,823,"408","167","126","80","17","17","4","3","N","N","N","N","N"
"238",20100,"------","G",54277,"G",561037,"G",2368370,3793,"2040","692","499","382","108","52","12","5","3","N","N","N","N"
"239",20140,"------","G",16884,"G",157845,"G",633586,1179,"575","263","172","110","36","13","8","N","N","N","N","N","N"
"240",20180,"------","G",25535,"G",242960,"G",981651,1913,"962","416","250","201","54","20","8","N","N","N","N","N","N"
"241",20220,"------","G",56000,"G",613944,"G",2505921,2767,"1341","525","401","290","103","72","27","4","4","3","N","N","N"
"242",20260,"------","G",109996,"G",1195323,"G",5022122,7096,"3385","1504","1095","726","224","115","32","10","5","3","N","N","N"
"243",20300,"------","G",8252,"G",93141,"G",371886,456,"232","119","68","20","7","5","4","N","N","N","N","N","N"
"244",20340,"------","G",11928,"G",113931,"G",466048,1083,"615","204","135","92","25","8","N","N","N","N","N","N","N"
"245",20380,"------","H",23344,"H",185198,"H",770140,1744,"917","373","221","146","63","18","3","N","N","N","N","N","N"
"246",20420,"------","G",22810,"G",268657,"G",1129999,2408,"1483","447","277","149","30","15","N","N","3","3","N","N","N"
"247",20460,"------","G",10901,"G",88774,"G",369659,809,"405","171","118","84","15","10","5","N","N","N","N","N","N"
"248",20500,"------","G",272263,"G",4465096,"G",17379514,13222,"7062","2331","1673","1344","470","235","62","23","22","7","9","3","3"
"249",20540,"------","G",12975,"G",124466,"G",489550,786,"404","154","107","74","23","18","4","N","N","N","N","N","N"
"250",20580,"------","G",12997,"G",87684,"G",358745,811,"396","173","116","85","24","10","5","N","N","N","N","N","N"
"251",20660,"------","G",17318,"G",177682,"G",739898,1453,"788","265","208","128","39","22","N","N","N","N","N","N","N"
"252",20700,"------","G",47784,"G",480672,"G",1901573,3395,"1855","683","415","290","83","43","16","7","3","N","N","N","N"
"253",20740,"------","G",75398,"G",841683,"G",3569933,4241,"1928","902","659","468","165","84","22","9","4","3","N","N","N"
"254",20780,"------","G",34864,"G",376426,"G",1470888,3518,"2374","483","340","221","59","24","13","N","N","N","N","N","N"
"255",20820,"------","G",26864,"G",259284,"G",1072790,1255,"608","252","186","141","35","25","5","N","N","N","N","N","N"
"256",20900,"------","G",11331,"G",105948,"G",437055,1007,"521","203","160","89","18","13","3","N","N","N","N","N","N"
"257",20940,"------","G",33174,"G",296862,"G",1240002,2545,"1214","556","388","289","59","29","7","N","N","N","N","N","N"
"258",20980,"------","G",16180,"H",263198,"G",887685,1064,"527","223","156","107","25","18","6","N","N","N","N","N","N"
"259",21020,"------","G",13016,"G",121726,"G",490280,1212,"628","236","185","118","36","7","N","N","N","N","N","N","N"
"260",21060,"------","G",42861,"G",420283,"G",1717158,2652,"1276","558","400","269","88","47","7","3","4","3","N","N","N"
"261",21120,"------","G",8872,"G",117231,"G",442997,744,"378","158","111","77","12","3","5","N","N","N","N","N","N"
"262",21140,"------","G",135841,"H",1607764,"G",6266683,4951,"2117","1017","708","582","255","196","48","20","8","N","4","N","N"
"263",21180,"------","G",9018,"G",71296,"G",298313,650,"326","147","90","58","18","7","N","N","N","N","N","N","N"
"264",21220,"------","G",22983,"G",384616,"G",1424622,1158,"558","235","189","121","26","16","6","4","3","N","N","N","N"
"265",21260,"------","G",12381,"G",99452,"G",432601,1316,"780","259","166","82","18","7","N","N","N","N","N","N","N"
"266",21300,"------","G",31018,"G",332671,"G",1314710,1721,"744","404","270","187","68","33","12","N","N","N","N","N","N"
"267",21340,"------","G",245037,"G",2039688,"G",8296956,14994,"7343","3027","2142","1556","529","294","69","25","9","6","N","N","N"
"268",21380,"------","G",12325,"G",106568,"G",428140,831,"402","199","110","83","20","12","N","4","N","N","N","N","N"
"269",21420,"------","G",21659,"G",217993,"G",871086,1601,"842","325","196","158","50","21","6","3","N","N","N","N","N"
"270",21460,"------","G",13792,"G",113006,"G",470663,966,"485","208","137","99","18","11","6","N","N","N","N","N","N"
"271",21500,"------","G",116333,"G",1147464,"G",4694591,6194,"2665","1383","1019","706","229","142","36","9","5","N","N","N","N"
"272",21540,"------","G",11920,"G",109331,"G",452641,995,"521","226","129","83","20","11","3","N","N","N","N","N","N"
"273",21580,"------","G",5855,"G",44029,"G",186531,560,"334","115","54","36","13","3","5","N","N","N","N","N","N"
"274",21640,"------","G",7090,"G",64654,"G",249840,483,"275","109","57","23","10","5","N","N","N","N","N","N","N"
"275",21660,"------","G",127760,"G",1318973,"G",5596615,10024,"5187","1961","1438","976","280","141","35","5","N","N","N","N","N"
"276",21700,"------","G",35465,"G",331011,"G",1412604,3214,"1637","691","473","297","81","28","5","N","N","N","N","N","N"
"277",21740,"------","G",7513,"G",97464,"G",387510,566,"314","121","67","45","11","5","N","N","N","N","N","N","N"
"278",21780,"------","G",146005,"G",1797094,"G",6808260,7733,"3548","1587","1202","827","345","162","38","14","10","6","3","N","N"
"279",21820,"------","G",27029,"G",355171,"G",1533767,2515,"1373","542","317","206","49","17","9","N","N","N","N","N","N"
"280",21840,"------","G",7100,"G",68528,"G",291515,661,"438","105","61","40","6","7","N","N","N","N","N","N","N"
"281",21860,"------","G",7582,"G",75836,"G",332824,618,"302","149","88","57","13","4","5","N","N","N","N","N","N"
"282",21900,"------","G",14894,"G",169394,"G",653521,1135,"531","254","181","116","36","12","3","N","N","N","N","N","N"
"283",21980,"------","G",5250,"G",57152,"G",234510,469,"231","117","70","32","12","4","3","N","N","N","N","N","N"
"284",22020,"------","G",126151,"G",1505694,"G",6226620,6949,"3332","1271","1058","795","284","157","35","12","5","N","4","N","N"
"285",22060,"------","G",25301,"G",233799,"G",1000005,1529,"821","311","188","136","35","24","8","4","N","N","N","N","N"
"286",22100,"------","G",18752,"G",151199,"G",642689,1419,"744","279","198","142","38","8","6","4","N","N","N","N","N"
"287",22140,"------","G",36497,"G",403480,"G",1622195,2527,"1176","533","418","277","74","36","11","N","N","N","N","N","N"
"288",22180,"------","G",99462,"G",890173,"G",3686911,6174,"2907","1301","902","695","231","103","25","6","4","N","N","N","N"
"289",22220,"------","G",224909,"H",3653967,"H",12086301,13071,"6667","2413","1789","1385","498","218","61","24","16","11","3","N","N"
"290",22260,"------","G",18517,"G",165870,"G",722105,1716,"1035","308","204","103","38","21","N","5","N","N","N","N","N"
"291",22280,"------","G",10096,"G",101138,"G",416638,826,"446","168","99","76","22","12","N","N","N","N","N","N","N"
"292",22300,"------","G",44225,"G",555862,"G",2159085,1663,"683","357","271","214","67","42","14","8","7","4","3","N","N"
"293",22340,"------","G",4708,"G",39920,"G",158087,295,"147","76","27","27","7","8","3","N","N","N","N","N","N"
"294",22380,"------","G",55692,"G",560970,"G",2292438,3744,"1945","678","497","428","130","52","7","4","3","N","N","N","N"
"295",22420,"------","G",120486,"G",1338799,"G",5371240,7614,"3771","1580","1083","760","219","157","28","10","6","N","N","N","N"
"296",22500,"------","G",84730,"G",928220,"G",3789342,4225,"1997","902","625","438","147","77","25","10","4","N","N","N","N"
"297",22520,"------","G",50813,"G",444534,"G",1830644,3197,"1527","735","469","295","96","53","14","4","4","N","3","N","N"
"298",22540,"------","G",43834,"G",500555,"G",2028665,2284,"1059","460","325","291","74","50","19","3","3","N","N","N","N"
"299",22580,"------","G",15719,"G",137387,"G",545855,1233,"663","250","163","95","34","24","3","N","N","N","N","N","N"
"300",22620,"------","G",5474,"G",41243,"G",174577,441,"234","96","55","36","12","5","3","N","N","N","N","N","N"
"301",22660,"------","G",133269,"G",1571028,"G",6446140,11236,"6492","1914","1470","908","276","134","29","8","5","N","N","N","N"
"302",22700,"------","G",16849,"G",172698,"G",718129,1015,"510","190","148","112","30","17","5","N","N","N","N","N","N"
"303",22780,"------","G",8500,"H",62406,"H",282235,665,"354","130","91","64","19","4","N","N","N","N","N","N","N"
"304",22800,"------","G",18487,"G",203064,"G",772541,1378,"737","304","175","109","27","17","7","N","N","N","N","N","N"
"305",22820,"------","G",10936,"G",112354,"G",474147,709,"380","132","112","50","23","8","3","N","N","N","N","N","N"
"306",22840,"------","G",18973,"G",163536,"G",669489,1102,"545","233","149","111","32","18","11","3","N","N","N","N","N"
"307",22860,"------","G",7202,"G",65105,"G",271172,681,"355","151","94","58","17","4","N","N","N","N","N","N","N"
"308",22900,"------","G",90521,"G",859211,"G",3419170,5839,"2992","1224","770","527","201","79","31","7","8","6","N","N","N"
"309",23060,"------","G",208365,"G",2387699,"G",9466919,10635,"4905","2180","1481","1269","439","270","63","19","9","N","4","3","N"
"310",23140,"------","G",10658,"G",95834,"G",389646,611,"330","128","84","41","11","9","N","6","N","N","N","N","N"
"311",23180,"------","G",20284,"G",199886,"G",828466,1514,"771","301","221","148","43","20","9","N","N","N","N","N","N"
"312",23240,"------","G",10207,"G",89214,"G",379881,1078,"591","211","159","90","19","5","N","N","N","N","N","N","N"
"313",23300,"------","G",15067,"G",174238,"G",717592,1014,"519","221","128","100","21","15","7","3","N","N","N","N","N"
"314",23340,"------","G",16610,"G",148127,"G",627728,1003,"500","206","149","92","38","7","7","3","N","N","N","N","N"
"315",23380,"------","G",22818,"G",222199,"G",913221,1289,"600","294","205","104","46","30","8","N","N","N","N","N","N"
"316",23420,"------","G",277632,"G",2947095,"G",12530805,17351,"8712","3336","2464","1815","649","264","71","24","16","10","4","N","N"
"317",23460,"------","G",30302,"G",257136,"G",1069240,1917,"900","411","291","199","75","27","10","N","N","N","N","N","N"
"318",23500,"------","G",18967,"G",166250,"G",674367,920,"437","201","118","95","39","17","7","5","N","N","N","N","N"
"319",23540,"------","G",102116,"G",1117443,"G",4506780,6543,"3553","1145","886","608","210","107","22","8","4","N","N","N","N"
"320",23580,"------","G",83924,"G",920769,"G",3960944,4569,"2509","782","573","429","150","80","27","13","6","3","N","N","N"
"321",23620,"------","G",15303,"G",160186,"G",646831,943,"517","175","119","79","29","18","4","N","N","N","N","N","N"
"322",23660,"------","G",15184,"G",119526,"G",493845,991,"460","221","160","97","31","14","6","N","N","N","N","N","N"
"323",23700,"------","G",16111,"G",133527,"G",534705,954,"396","200","176","127","35","12","6","N","N","N","N","N","N"
"324",23780,"------","G",15805,"H",142262,"H",611104,1090,"553","240","145","107","28","12","4","N","N","N","N","N","N"
"325",23820,"------","G",17104,"G",170413,"G",735470,1632,"1022","293","178","89","29","14","4","N","N","N","N","N","N"
"326",23860,"------","G",20426,"G",203278,"G",826374,1832,"1029","344","228","159","47","21","N","3","N","N","N","N","N"
"327",23900,"------","G",29542,"G",264850,"G",1078858,1957,"1033","395","253","177","45","43","6","4","N","N","N","N","N"
"328",23940,"------","G",19814,"G",307059,"G",1261303,1482,"762","307","204","134","50","20","N","N","N","N","N","N","N"
"329",23980,"------","G",16228,"G",142217,"G",570682,932,"426","223","122","96","44","12","6","3","N","N","N","N","N"
"330",24020,"------","G",42175,"G",429338,"G",1807355,3310,"1813","638","459","272","69","44","8","6","N","N","N","N","N"
"331",24060,"------","G",39391,"G",462281,"G",1840166,4158,"2659","664","458","261","71","30","12","N","N","N","N","N","N"
"332",24100,"------","G",14050,"H",128305,"G",525557,1139,"616","216","174","85","30","13","N","3","N","N","N","N","N"
"333",24140,"------","G",33298,"G",294428,"G",1207336,2148,"1035","472","304","216","76","32","8","3","N","N","N","N","N"
"334",24220,"------","G",44108,"G",421997,"G",1861078,2633,"1197","563","409","311","89","47","12","3","N","N","N","N","N"
"335",24260,"------","G",37664,"G",359074,"G",1505344,2617,"1375","501","377","231","87","34","7","4","N","N","N","N","N"
"336",24300,"------","G",54402,"G",578164,"G",2429279,4560,"2597","800","571","400","111","62","14","4","N","N","N","N","N"
"337",24330,"------","G",13326,"G",128651,"G",548264,1142,"612","233","154","97","23","20","3","N","N","N","N","N","N"
"338",24340,"------","G",513040,"G",6126694,"G",24835005,25190,"12007","4740","3649","2844","1050","625","193","54","28","11","12","N","3"
"339",24380,"------","G",5464,"G",47689,"G",197937,298,"153","61","34","30","7","9","4","N","N","N","N","N","N"
"340",24420,"------","G",24136,"G",208853,"G",903816,2048,"1092","425","272","181","48","21","7","N","N","N","N","N","N"
"341",24460,"------","G",9991,"G",90741,"G",388614,928,"512","196","107","78","23","8","4","N","N","N","N","N","N"
"342",24500,"------","G",30486,"G",297192,"G",1253175,2447,"1257","538","324","228","64","27","8","N","N","N","N","N","N"
"343",24540,"------","G",91965,"G",1240414,"G",5013088,6602,"3638","1168","856","629","192","90","17","6","6","4","N","N","N"
"344",24580,"------","G",159138,"G",1997983,"G",7902223,7867,"3704","1517","1189","847","340","184","57","17","12","5","6","N","N"
"345",24620,"------","G",22850,"G",203378,"G",819160,1154,"517","289","155","114","41","24","9","4","N","N","N","N","N"
"346",24640,"------","G",20378,"G",211473,"G",885838,1569,"842","325","207","114","44","27","8","N","N","N","N","N","N"
"347",24660,"------","G",323523,"G",3626957,"G",14673372,17768,"9040","3289","2333","1877","700","388","89","37","15","3","9","N","N"
"348",24700,"------","H",11731,"H",124273,"H",501277,647,"345","123","81","68","16","6","4","3","N","N","N","N","N"
"349",24740,"------","G",12974,"G",110570,"G",455844,1088,"532","274","144","93","30","10","4","N","N","N","N","N","N"
"350",24780,"------","G",61820,"G",629405,"G",2532384,3659,"1782","694","546","420","140","57","13","4","3","N","N","N","N"
"351",24820,"------","G",17073,"H",186231,"H",727131,1161,"636","230","172","73","26","16","4","N","3","3","N","N","N"
"352",24860,"------","G",354242,"G",3927596,"G",15739408,20667,"10668","3881","2732","2144","640","446","95","37","24","14","6","4","N"
"353",24900,"------","G",12737,"G",117060,"G",463293,797,"403","159","111","84","22","8","7","3","N","N","N","N","N"
"354",24940,"------","G",26485,"G",260584,"G",1047886,1628,"812","349","218","158","47","29","12","N","N","N","N","N","N"
"355",24980,"------","G",8388,"G",71997,"G",306551,554,"279","121","85","45","12","8","N","N","N","N","N","N","N"
"356",25060,"------","G",129469,"G",1395588,"G",5532944,7237,"3439","1613","1071","750","235","89","17","13","10","N","3","4","N"
"357",25100,"------","G",7866,"G",91932,"G",390888,443,"221","112","65","32","7","3","N","N","N","N","N","N","N"
"358",25180,"------","G",87331,"G",900814,"G",3745129,5108,"2415","1080","755","548","168","111","18","6","7","3","4","N","N"
"359",25200,"------","G",12636,"G",124786,"G",533216,1655,"1119","255","155","99","17","8","N","N","N","N","N","N","N"
"360",25220,"------","G",37041,"G",325022,"G",1376561,2492,"1204","543","362","254","77","37","10","4","N","N","N","N","N"
"361",25260,"------","G",25541,"G",247401,"G",1065825,1682,"854","332","240","174","54","16","6","3","3","3","N","N","N"
"362",25300,"------","G",14351,"G",140247,"G",559841,1001,"536","194","127","98","26","12","6","N","N","N","N","N","N"
"363",25420,"------","G",283191,"G",3545712,"G",14239644,13784,"6507","2780","1941","1575","532","301","88","43","17","6","7","3","N"
"364",25460,"------","G",12482,"G",106809,"G",451794,933,"448","218","133","97","19","13","4","N","N","N","N","N","N"
"365",25500,"------","G",54897,"G",542026,"G",2195341,3171,"1546","676","434","348","96","40","13","13","5","5","N","N","N"
"366",25540,"------","G",552666,"G",9437373,"G",35201962,29321,"14481","5703","4110","3057","1030","691","171","43","35","16","8","8","3"
"367",25580,"------","G",12964,"H",118122,"G",507015,968,"499","195","129","102","23","15","4","N","N","N","N","N","N"
"368",25620,"------","G",54288,"G",498657,"G",2082168,3297,"1495","703","528","382","118","53","11","5","N","N","N","N","N"
"369",25700,"------","G",12517,"G",109997,"G",465036,1098,"595","215","157","90","30","8","N","N","N","N","N","N","N"
"370",25720,"------","G",7415,"G",71229,"G",317849,1045,"727","146","94","58","10","10","N","N","N","N","N","N","N"
"371",25740,"------","G",27481,"G",279099,"G",1169968,2686,"1586","459","337","221","55","21","4","N","N","N","N","N","N"
"372",25760,"------","G",3784,"G",30716,"G",125312,365,"211","63","51","25","11","4","N","N","N","N","N","N","N"
"373",25780,"------","G",13221,"G",114327,"G",458483,841,"416","182","112","83","28","11","8","N","N","N","N","N","N"
"374",25820,"------","G",5471,"G",59401,"G",244330,374,"184","83","55","33","13","4","N","N","N","N","N","N","N"
"375",25840,"------","G",27747,"G",260015,"G",1113702,1736,"858","393","244","163","40","21","11","5","N","N","N","N","N"
"376",25860,"------","G",138326,"G",1406614,"G",5579007,7592,"3752","1529","982","800","300","163","37","20","9","7","N","N","N"
"377",25880,"------","G",10917,"G",102609,"G",421994,755,"388","181","106","45","19","8","5","3","N","N","N","N","N"
"378",25900,"------","G",56111,"G",560632,"G",2293618,4196,"2210","853","539","381","132","59","17","N","3","3","N","N","N"
"379",25940,"------","G",66180,"G",584283,"G",2459918,6198,"3564","1109","758","539","144","67","14","N","N","N","N","N","N"
"380",25980,"------","G",14191,"G",152185,"G",610612,934,"482","172","152","84","26","10","5","N","N","N","N","N","N"
"381",26020,"------","G",26264,"G",371103,"G",1436433,1720,"772","323","283","237","69","27","8","N","N","N","N","N","N"
"382",26090,"------","G",38861,"G",449007,"G",1851912,2452,"1313","478","309","225","66","44","10","3","4","N","N","N","N"
"383",26140,"------","G",30318,"G",286132,"G",1128165,2772,"1707","486","327","158","45","37","7","3","N","N","N","N","N"
"384",26220,"------","G",10792,"G",92984,"G",399765,1029,"595","199","124","81","18","8","3","N","N","N","N","N","N"
"385",26260,"------","G",8007,"H",68757,"H",269349,496,"245","112","69","48","6","10","4","N","N","N","N","N","N"
"386",26300,"------","G",35253,"G",296841,"G",1228706,2765,"1483","564","351","251","72","31","8","3","N","N","N","N","N"
"387",26340,"------","G",9510,"G",76778,"G",329883,941,"508","204","115","88","18","4","4","N","N","N","N","N","N"
"388",26380,"------","G",71962,"G",893206,"G",3675368,4413,"2089","958","640","463","141","89","22","9","N","N","N","N","N"
"389",26420,"------","G",2704793,"G",47485586,"G",173363366,146470,"77666","25845","18614","14435","5417","3150","889","290","164","87","43","25","9"
"390",26460,"------","G",17028,"G",160960,"G",675344,1771,"1070","315","209","136","24","14","N","N","N","N","N","N","N"
"391",26500,"------","G",9735,"G",79313,"G",336059,826,"445","175","115","64","14","9","3","N","N","N","N","N","N"
"392",26540,"------","G",13178,"G",112594,"G",459556,852,"458","162","112","77","20","13","7","3","N","N","N","N","N"
"393",26580,"------","G",110773,"G",1158445,"G",4725682,6677,"2928","1521","1107","733","244","105","22","11","6","3","N","3","N"
"394",26620,"------","G",191827,"G",2596228,"G",10688781,9962,"4821","2010","1357","1097","368","216","55","28","10","6","N","N","N"
"395",26660,"------","G",14883,"G",114765,"G",477010,1212,"625","246","161","130","33","12","4","N","N","N","N","N","N"
"396",26700,"------","G",6818,"G",63682,"G",260551,566,"294","125","74","56","10","5","N","N","N","N","N","N","N"
"397",26740,"------","G",22446,"G",215808,"G",885468,1570,"819","332","182","140","57","32","7","N","N","N","N","N","N"
"398",26780,"------","G",15419,"G",164286,"G",684460,940,"470","186","134","102","22","20","4","N","N","N","N","N","N"
"399",26820,"------","G",58775,"H",675846,"H",2820900,4296,"2362","750","585","408","120","56","8","3","4","N","N","N","N"
"400",26860,"------","G",24192,"G",254662,"G",1002624,1827,"943","399","219","173","58","27","6","N","N","N","N","N","N"
"401",26900,"------","G",927409,"G",12185044,"G",47914580,48051,"24200","8777","6445","5183","1888","1083","305","107","63","32","16","14","N"
"402",26940,"------","H",5382,"H",44316,"H",182970,427,"230","82","55","41","14","3","N","N","N","N","N","N","N"
"403",26960,"------","G",11539,"G",104314,"G",448532,872,"448","217","110","56","25","11","4","N","N","N","N","N","N"
"404",26980,"------","G",72896,"G",772222,"G",3210267,4007,"2003","773","621","404","124","51","19","7","5","N","N","N","N"
