iter	Passed	Remaining
402	17178	25447
403	17218	25402
404	17262	25361
405	17303	25315
406	17345	25272
407	17386	25227
408	17428	25183
409	17464	25131
410	17498	25077
411	17533	25023
412	17577	24982
413	17613	24930
414	17646	24874
415	17680	24821
416	17718	24772
417	17753	24718
418	17787	24665
419	17821	24611
420	17858	24561
421	17907	24527
422	17943	24476
423	17979	24425
424	18015	24374
425	18052	24324
426	18092	24278
427	18130	24230
428	18165	24178
429	18200	24126
430	18236	24075
431	18276	24030
432	18312	23979
433	18352	23933
434	18387	23882
435	18420	23827
436	18454	23774
437	18487	23721
438	18524	23672
439	18557	23619
440	18592	23566
441	18627	23515
442	18666	23470
443	18704	23423
444	18739	23371
445	18789	23339
446	18825	23289
447	18860	23238
448	18895	23187
449	18931	23138
450	18968	23089
451	19002	23038
452	19042	22993
453	19078	22944
454	19113	22894
455	19149	22845
456	19189	22801
457	19227	22753
458	19266	22708
459	19304	22661
460	19339	22611
461	19377	22565
462	19414	22516
463	19456	22475
464	19497	22432
465	19535	22385
466	19575	22341
467	19612	22294
468	19647	22244
469	19684	22197
470	19722	22151
471	19760	22105
472	19798	22059
473	19840	22016
474	19887	21981
475	19941	21952
476	19977	21904
477	20019	21861
478	20056	21815
479	20103	21778
480	20150	21741
481	20185	21693
482	20222	21646
483	20261	21600
484	20300	21555
485	20336	21507
486	20376	21464
487	20411	21415
488	20447	21367
489	20482	21318
490	20517	21269
491	20551	21219
492	20586	21171
493	20623	21124
494	20658	21076
495	20695	21029
496	20732	20982
497	20766	20933
498	20805	20888
499	20841	20841
500	20877	20793
501	20912	20746
502	20947	20697
503	20981	20648
504	21019	20602
505	21056	20556
506	21096	20513
507	21134	20468
508	21168	20419
509	21208	20376
510	21253	20338
511	21289	20291
512	21325	20244
513	21368	20204
514	21407	20160
515	21449	20119
516	21491	20078
517	21529	20033
518	21566	19987
519	21605	19943
520	21640	19895
521	21691	19862
522	21747	19835
523	21794	19797
524	21832	19753
525	21882	19718
526	21940	19692
527	22001	19667
528	22065	19646
529	22119	19615
530	22169	19581
531	22218	19545
532	22280	19521
533	22321	19478
534	22367	19441
535	22409	19398
536	22450	19356
537	22495	19318
538	22541	19279
539	22585	19239
540	22631	19201
541	22680	19165
542	22728	19129
543	22793	19106
544	22844	19071
545	22907	19047
546	22967	19020
547	23010	18979
548	23052	18937
549	23096	18897
550	23138	18855
551	23174	18808
552	23213	18763
553	23252	18719
554	23286	18671
555	23324	18625
556	23358	18578
557	23396	18532
558	23430	18484
559	23469	18440
560	23505	18393
561	23541	18347
562	23579	18302
563	23616	18257
564	23655	18212
565	23696	18170
566	23734	18125
567	23772	18080
568	23810	18035
569	23847	17990
570	23883	17944
571	23922	17899
572	23959	17854
573	23998	17810
574	24034	17764
575	24073	17720
576	24112	17677
577	24151	17632
578	24189	17588
579	24228	17544
580	24270	17503
581	24314	17462
582	24351	17418
583	24391	17374
584	24430	17331
585	24472	17289
586	24512	17246
587	24550	17202
588	24588	17157
589	24641	17123
590	24699	17093
591	24741	17051
592	24781	17008
593	24827	16969
594	24870	16928
595	24908	16884
596	24944	16838
597	24983	16794
598	25028	16755
599	25069	16713
600	25105	16667
601	25141	16621
602	25186	16582
603	25227	16539
604	25270	16498
605	25308	16454
606	25346	16410
607	25385	16366
608	25421	16321
609	25461	16278
610	25504	16237
611	25557	16202
612	25610	16168
613	25689	16150
614	25759	16126
615	25813	16091
616	25863	16054
617	25917	16020
618	25961	15979
619	26010	15941
620	26063	15906
621	26108	15866
622	26165	15833
623	26217	15797
624	26265	15759
625	26312	15720
626	26359	15681
627	26394	15634
628	26428	15588
629	26462	15541
630	26497	15495
631	26534	15450
632	26571	15405
633	26603	15357
634	26638	15312
635	26675	15267
636	26714	15223
637	26760	15183
638	26799	15140
639	26860	15109
640	26897	15064
641	26942	15023
642	26985	14982
643	27030	14942
644	27070	14899
645	27107	14854
646	27166	14822
647	27206	14778
648	27247	14736
649	27285	14692
650	27322	14647
651	27360	14603
652	27397	14559
653	27433	14513
654	27472	14470
655	27515	14429
656	27554	14385
657	27591	14340
658	27659	14312
659	27743	14291
660	27791	14252
661	27866	14228
662	27966	14215
663	28045	14191
664	28113	14162
665	28189	14137
666	28266	14111
667	28318	14074
668	28364	14034
669	28427	14001
670	28565	14006
671	28756	14036
672	28888	14036
673	28996	14025
674	29118	14019
675	29219	14004
676	29272	13965
677	29317	13923
678	29362	13881
679	29405	13837
680	29446	13793
681	29504	13757
682	29548	13714
683	29605	13677
684	29646	13632
685	29699	13594
686	29736	13548
687	29774	13502
688	29813	13457
689	29847	13409
690	29883	13363
691	29921	13317
692	29955	13270
693	29993	13224
694	30029	13178
695	30067	13132
696	30112	13090
697	30152	13045
698	30190	13000
699	30230	12955
700	30267	12910
701	30302	12863
702	30337	12817
703	30371	12769
704	30406	12723
705	30440	12676
706	30475	12630
707	30513	12584
708	30548	12538
709	30596	12497
710	30633	12451
711	30670	12406
712	30706	12359
713	30743	12314
714	30779	12268
715	30815	12222
716	30850	12176
717	30885	12130
718	30918	12083
719	30954	12037
720	30989	11991
721	31028	11947
722	31066	11902
723	31103	11857
724	31141	11812
725	31178	11767
726	31219	11723
727	31258	11678
728	31293	11633
729	31329	11587
730	31365	11542
731	31401	11496
732	31436	11450
733	31473	11405
734	31506	11359
735	31540	11313
736	31573	11267
737	31606	11220
738	31639	11174
739	31673	11128
740	31707	11082
741	31741	11036
742	31777	10991
743	31813	10946
744	31849	10901
745	31889	10857
746	31932	10815
747	31970	10770
748	32008	10726
749	32047	10682
750	32081	10636
751	32117	10591
752	32153	10547
753	32192	10503
754	32228	10458
755	32277	10417
756	32314	10373
757	32350	10328
758	32384	10282
759	32420	10237
760	32458	10194
761	32495	10149
762	32535	10106
763	32576	10062
764	32612	10018
765	32646	9973
766	32695	9932
767	32732	9887
768	32772	9844
769	32824	9804
770	32863	9760
771	32907	9718
772	32963	9680
773	32999	9635
774	33036	9591
775	33072	9546
776	33108	9502
777	33160	9462
778	33197	9417
779	33237	9374
780	33276	9330
781	33316	9287
782	33357	9244
783	33406	9203
784	33447	9160
785	33484	9116
786	33522	9072
787	33557	9028
788	33595	8984
789	33632	8940
790	33670	8896
791	33704	8851
792	33739	8807
793	33771	8761
794	33809	8718
795	33863	8678
796	33901	8634
797	33938	8590
798	33977	8547
799	34016	8504
800	34053	8460
801	34090	8416
802	34133	8373
803	34169	8329
804	34210	8286
805	34261	8246
806	34297	8202
807	34336	8159
808	34374	8115
809	34419	8073
810	34452	8029
811	34485	7984
812	34517	7939
813	34550	7894
814	34583	7850
815	34617	7805
816	34651	7761
817	34682	7716
818	34716	7672
819	34751	7628
820	34786	7584
821	34819	7539
822	34852	7495
823	34886	7451
824	34919	7407
825	34953	7363
826	34987	7319
827	35021	7274
828	35053	7230
829	35085	7186
830	35119	7142
831	35155	7098
832	35191	7055
833	35225	7011
834	35259	6967
835	35292	6923
836	35327	6879
837	35360	6835
838	35394	6792
839	35428	6748
840	35462	6704
841	35496	6660
842	35530	6617
843	35564	6573
844	35598	6529
845	35633	6486
846	35668	6443
847	35702	6399
848	35735	6355
849	35769	6312
850	35803	6268
851	35836	6225
852	35868	6181
853	35903	6138
854	35936	6094
855	35970	6051
856	36005	6007
857	36037	5964
858	36069	5920
859	36103	5877
860	36136	5833
861	36170	5790
862	36205	5747
863	36241	5704
864	36277	5661
865	36312	5618
866	36345	5575
867	36378	5532
868	36413	5489
869	36446	5445
870	36481	5403
871	36514	5359
872	36548	5316
873	36580	5273
874	36613	5230
875	36646	5187
876	36680	5144
877	36713	5101
878	36747	5058
879	36781	5015
880	36815	4972
881	36849	4930
882	36882	4886
883	36914	4844
884	36947	4801
885	36982	4758
886	37015	4715
887	37047	4672
888	37081	4629
889	37114	4587
890	37149	4544
891	37186	4502
892	37222	4460
893	37257	4417
894	37293	4375
895	37326	4332
896	37359	4289
897	37393	4247
898	37427	4204
899	37461	4162
900	37495	4119
901	37528	4077
902	37561	4034
903	37596	3992
904	37629	3950
905	37664	3907
906	37697	3865
907	37729	3822
908	37763	3780
909	37796	3738
910	37830	3695
911	37866	3653
912	37906	3612
913	37949	3570
914	37984	3528
915	38018	3486
916	38052	3444
917	38084	3401
918	38117	3359
919	38149	3317
920	38186	3275
921	38219	3233
922	38255	3191
923	38289	3149
924	38322	3107
925	38354	3065
926	38387	3022
927	38421	2980
928	38456	2939
929	38490	2897
930	38524	2855
931	38558	2813
932	38593	2771
933	38629	2729
934	38664	2687
935	38696	2645
936	38729	2604
937	38764	2562
938	38798	2520
939	38832	2478
940	38867	2436
941	38900	2395
942	38933	2353
943	38966	2311
944	38999	2269
945	39033	2228
946	39066	2186
947	39097	2144
948	39131	2102
949	39164	2061
950	39199	2019
951	39232	1978
952	39266	1936
953	39300	1895
954	39333	1853
955	39367	1811
956	39400	1770
957	39436	1728
958	39471	1687
959	39504	1646
960	39539	1604
961	39573	1563
962	39606	1521
963	39639	1480
964	39673	1438
965	39707	1397
966	39740	1356
967	39771	1314
968	39805	1273
969	39839	1232
970	39874	1190
971	39907	1149
972	39941	1108
973	39975	1067
974	40008	1025
975	40042	984
976	40076	943
977	40111	902
978	40145	861
979	40180	820
980	40214	778
981	40249	737
982	40282	696
983	40316	655
984	40350	614
985	40383	573
986	40417	532
987	40450	491
988	40485	450
989	40517	409
990	40551	368
991	40586	327
992	40621	286
993	40660	245
994	40697	204
995	40732	163
996	40766	122
997	40800	81
998	40835	40
999	40870	0
