iter	RMSE
193	4502.258902
194	4498.43471
195	4493.754444
196	4489.665885
197	4482.229036
198	4477.509588
199	4472.586382
200	4467.834074
201	4464.028748
202	4455.563503
203	4448.355763
204	4442.910041
205	4433.643215
206	4430.019979
207	4425.18909
208	4419.714957
209	4412.363992
210	4403.46959
211	4392.416019
212	4386.799214
213	4383.009624
214	4379.152286
215	4373.912782
216	4367.615935
217	4365.273636
218	4360.922808
219	4356.149777
220	4352.611735
221	4347.879092
222	4342.803492
223	4338.247615
224	4335.779757
225	4333.355551
226	4321.780162
227	4318.193299
228	4313.090936
229	4308.366406
230	4303.453858
231	4298.42637
232	4294.292693
233	4291.121924
234	4283.368184
235	4279.338479
236	4270.90983
237	4262.352324
238	4255.689262
239	4249.184614
240	4239.654239
241	4234.293063
242	4219.937233
243	4217.774937
244	4214.886019
245	4212.826509
246	4210.33009
247	4208.863113
248	4206.773023
249	4201.205717
250	4192.896612
251	4181.786578
252	4175.952968
253	4166.031855
254	4151.3727
255	4145.432353
256	4141.861503
257	4138.208605
258	4134.467711
259	4130.903277
260	4124.865901
261	4120.830118
262	4114.32809
263	4112.050526
264	4102.757701
265	4099.312692
266	4092.623398
267	4083.588714
268	4079.942296
269	4072.909297
270	4064.813844
271	4061.10662
272	4055.435864
273	4050.66725
274	4047.626616
275	4041.542785
276	4035.162938
277	4032.977408
278	4027.845256
279	4025.456312
280	4020.750408
281	4019.734758
282	4015.774086
283	4014.519297
284	4012.388042
285	4010.453294
286	3997.681425
287	3993.420071
288	3989.209041
289	3982.228052
290	3976.160813
291	3975.100512
292	3965.358545
293	3960.086336
294	3954.698157
295	3952.798518
296	3948.814738
297	3946.722091
298	3944.838941
299	3940.513972
300	3929.535269
301	3921.534113
302	3919.749178
303	3914.20353
304	3909.611384
305	3909.403988
306	3905.599182
307	3901.12058
308	3898.063983
309	3892.260466
310	3886.688189
311	3881.48424
312	3876.487949
313	3871.473853
314	3870.752065
315	3863.86634
316	3860.5715
317	3855.607461
318	3854.284343
319	3850.823277
320	3849.510909
321	3843.374228
322	3836.937409
323	3832.938802
324	3831.208745
325	3829.072608
326	3824.326116
327	3821.195797
328	3819.668912
329	3817.062944
330	3813.246452
331	3807.847485
332	3802.758866
333	3801.293881
334	3798.698311
335	3792.481213
336	3789.271061
337	3782.491839
338	3772.132043
339	3766.555972
340	3763.733327
341	3761.327876
342	3757.816104
343	3753.563489
344	3749.189998
345	3745.522445
346	3742.35882
347	3741.188865
348	3736.765035
349	3732.248132
350	3728.335659
351	3724.807819
352	3720.450284
353	3719.595787
354	3714.611348
355	3706.966436
356	3701.507667
357	3700.56376
358	3698.548966
359	3695.066978
360	3693.615961
361	3691.242585
362	3687.063157
363	3684.947401
364	3681.33806
365	3674.100293
366	3671.909662
367	3667.117656
368	3663.407187
369	3657.174326
370	3654.599587
371	3651.367076
372	3650.231172
373	3647.227999
374	3647.115085
375	3643.475924
376	3638.554936
377	3636.44754
378	3632.285876
379	3629.740499
380	3626.093872
381	3624.109221
382	3621.657909
383	3619.673513
384	3618.425904
385	3614.188239
386	3609.42627
387	3607.884673
388	3605.00788
389	3603.988082
390	3600.010215
391	3594.086739
392	3590.798531
393	3586.880568
394	3583.370012
395	3579.428839
396	3578.795331
397	3576.143775
398	3572.747087
399	3570.021656
400	3568.352259
401	3565.377632
402	3560.639029
403	3558.574482
404	3557.335647
405	3554.780961
406	3551.771403
407	3549.646707
408	3547.180075
409	3546.740487
410	3543.806376
411	3539.232742
412	3532.252521
413	3531.056473
414	3524.648169
415	3519.530721
416	3518.570399
417	3515.879093
418	3512.603198
419	3509.584966
420	3509.155493
421	3504.039266
422	3501.381773
423	3498.870519
424	3497.972874
425	3497.241474
426	3496.108126
427	3495.234553
428	3492.977035
429	3489.027361
430	3486.739126
431	3484.955765
432	3481.357072
433	3480.439114
434	3478.182147
435	3474.384473
436	3468.660569
437	3465.508196
438	3464.291314
439	3462.792316
440	3460.695897
441	3457.544
442	3455.05358
443	3451.879997
444	3450.747942
445	3447.661355
446	3445.867721
447	3444.292389
448	3441.025697
449	3440.553412
450	3437.941431
451	3434.131028
452	3430.439269
453	3428.146876
454	3426.684737
455	3422.714237
456	3421.791621
457	3420.053124
458	3417.809359
459	3414.761342
460	3412.684948
461	3411.017416
462	3408.675573
463	3406.975368
464	3403.376051
465	3400.600152
466	3399.521192
467	3397.898796
468	3393.451246
469	3391.876121
470	3391.471247
471	3388.654414
472	3384.275334
473	3381.978936
474	3380.898448
475	3379.631718
476	3378.704772
477	3377.693758
478	3375.964899
479	3374.678652
480	3370.086922
481	3368.361136
482	3367.206069
483	3364.634112
484	3363.400211
485	3360.912362
486	3358.321998
487	3354.302894
488	3352.30374
489	3349.647457
490	3347.581695
491	3347.316522
492	3343.813214
493	3343.239491
494	3340.219811
495	3338.641129
496	3337.088719
497	3333.320542
498	3333.597388
499	3333.441264
500	3331.343362
501	3327.602554
502	3322.442406
503	3319.448477
504	3316.727365
505	3314.994481
506	3313.397754
507	3312.420293
508	3305.610355
509	3304.123669
510	3303.195904
511	3299.797971
512	3296.933381
513	3293.761217
514	3293.265806
515	3292.325424
516	3291.355463
517	3287.646931
518	3285.185399
519	3281.653053
520	3281.131251
521	3278.242242
522	3277.879104
523	3277.465906
524	3274.564331
525	3274.390317
526	3271.210883
527	3267.37848
528	3265.093995
529	3264.395629
530	3263.139841
531	3263.087723
532	3260.512422
533	3258.746573
534	3257.817715
535	3256.74368
536	3253.421779
537	3247.785246
538	3243.409182
539	3242.031775
540	3241.800342
541	3240.899343
542	3239.484064
543	3235.09371
544	3235.113538
545	3233.194349
546	3231.018876
547	3227.142604
548	3224.898316
549	3222.968119
550	3220.458836
551	3220.091744
552	3215.224762
553	3212.572172
554	3211.413819
555	3209.532032
556	3207.716216
557	3207.524661
558	3205.158822
559	3203.528428
560	3202.260982
561	3201.360424
562	3201.277257
563	3197.978179
564	3198.074065
565	3196.471138
566	3194.717263
567	3193.81787
568	3193.20404
569	3192.522364
570	3190.924086
571	3189.951093
572	3188.439861
573	3187.897319
574	3185.698355
575	3183.664279
576	3183.296202
577	3180.639013
578	3179.91792
579	3175.221443
580	3174.520234
581	3169.522258
582	3168.50629
583	3165.830062
584	3164.69976
585	3163.177314
586	3161.618287
587	3159.422869
588	3156.880328
589	3155.293721
590	3150.182768
591	3148.532495
592	3146.831344
593	3146.462917
594	3143.274711
595	3141.380056
596	3140.633337
597	3137.671879
598	3136.010251
599	3135.277303
600	3133.681059
601	3132.944535
602	3132.696127
603	3129.701901
604	3129.194816
605	3127.298371
606	3124.584775
607	3122.835039
608	3123.335588
609	3121.284006
610	3120.883309
611	3119.40168
612	3119.09607
613	3117.918217
614	3116.782832
615	3116.501842
616	3115.307035
617	3113.472513
618	3113.022331
619	3111.29052
620	3109.561698
621	3108.3285
622	3105.331955
623	3104.685165
624	3103.183061
625	3102.157327
626	3100.849171
627	3100.349092
628	3098.502833
629	3097.402737
630	3096.947713
631	3095.257335
632	3093.612596
633	3089.46462
634	3088.922604
635	3087.574465
636	3087.052667
637	3084.408526
638	3082.738918
639	3080.013374
640	3076.91936
641	3076.431901
642	3074.896129
643	3073.881903
644	3072.891079
645	3071.50691
646	3066.49863
647	3066.320465
648	3064.004178
649	3063.296915
650	3063.022174
651	3062.846221
652	3061.200603
653	3059.646343
654	3058.504454
655	3056.813657
656	3056.001903
657	3053.771463
658	3052.281466
659	3050.882808
660	3050.058135
661	3045.567898
662	3043.669437
663	3042.338663
664	3040.738502
665	3037.003995
666	3036.231333
667	3036.070629
668	3034.590264
669	3033.348444
670	3032.877273
671	3031.366947
672	3031.562386
673	3030.29012
674	3029.483098
675	3028.417688
676	3028.057945
677	3025.731473
678	3023.976297
679	3023.167376
680	3021.970086
681	3017.817172
682	3016.4567
683	3012.810485
684	3012.081582
685	3010.551777
686	3009.652878
687	3008.979245
688	3006.898401
689	3004.651441
690	3002.620638
691	3000.416158
692	2999.891917
693	3000.049222
694	2997.983312
695	2997.588143
696	2996.300142
697	2995.458191
698	2994.794322
699	2993.86782
700	2992.962849
701	2992.641559
702	2990.604765
703	2990.39936
704	2988.105301
705	2985.920609
706	2984.222091
707	2983.715663
708	2983.284048
709	2982.267341
710	2981.232092
711	2979.523937
712	2978.32081
713	2977.964927
714	2977.550581
715	2976.708385
716	2974.970095
717	2973.746009
718	2973.161318
719	2972.25101
720	2971.405723
721	2968.577104
722	2967.658429
723	2966.035185
724	2964.196942
725	2962.798248
726	2962.103002
727	2961.204256
728	2960.918674
729	2960.775723
730	2959.825311
731	2959.227419
732	2959.346564
733	2959.283982
734	2957.791976
735	2956.941298
736	2954.763087
737	2955.223172
738	2953.374441
739	2951.878537
740	2951.810013
741	2950.190504
742	2950.158012
743	2950.038844
744	2949.180858
745	2949.139474
746	2948.557409
747	2947.427721
748	2946.073067
749	2943.705082
750	2941.294161
751	2941.504717
752	2939.816491
753	2938.753447
754	2938.625126
755	2937.226291
756	2935.755879
757	2933.757203
758	2932.690015
759	2932.251866
760	2931.70587
761	2930.157763
762	2929.249325
763	2928.40804
764	2927.55022
765	2926.183641
766	2925.928174
767	2924.926766
768	2922.159776
769	2920.00475
770	2918.754548
771	2917.914236
772	2916.753098
773	2915.564308
774	2914.437812
775	2914.212519
776	2913.130856
777	2910.365733
778	2910.126667
779	2909.121726
780	2907.325841
781	2904.884706
782	2904.216595
783	2903.992474
784	2903.06275
785	2902.8761
786	2901.800497
787	2901.031877
788	2899.666395
789	2897.368604
790	2895.760075
791	2895.473067
792	2893.406989
793	2892.557942
794	2891.735043
795	2891.342919
796	2890.255058
797	2889.100865
798	2888.791504
799	2886.20479
800	2886.447663
801	2886.450313
802	2885.290737
803	2883.669553
804	2881.917977
805	2880.225696
806	2878.779673
807	2877.081636
808	2876.612821
809	2876.311509
810	2875.079635
811	2874.280699
812	2872.072213
813	2870.495919
814	2869.777836
815	2868.772883
816	2866.908837
817	2865.406124
818	2864.625658
819	2864.351954
820	2863.414353
821	2862.119832
822	2862.217201
823	2859.241349
824	2857.484425
825	2856.66815
826	2855.209453
827	2853.747289
828	2849.389515
829	2847.613238
830	2847.773194
831	2843.987594
832	2844.05603
833	2842.01496
834	2841.963889
835	2840.393927
836	2840.588249
837	2839.234968
838	2838.173732
839	2837.089453
840	2836.574512
841	2836.022477
842	2835.943347
843	2835.613959
844	2835.567354
845	2834.775222
846	2834.744386
847	2834.656173
848	2834.068319
849	2833.415399
850	2832.904007
851	2829.295066
852	2826.562789
853	2826.36143
854	2826.480332
855	2826.074417
856	2825.716102
857	2824.384848
858	2823.79804
859	2824.039109
860	2822.008272
861	2821.11388
862	2818.84502
863	2817.819429
864	2817.749098
865	2817.828071
866	2816.725542
867	2815.995891
868	2814.598365
869	2813.696035
870	2813.316467
871	2812.917188
872	2812.235457
873	2811.350453
874	2810.019715
875	2809.034731
876	2808.602515
877	2806.967286
878	2805.483799
879	2805.385743
880	2804.850199
881	2804.335026
882	2803.258239
883	2802.299634
884	2799.241447
885	2798.056149
886	2797.993751
887	2796.611555
888	2796.7091
889	2796.048843
890	2795.883263
891	2795.423043
892	2794.604296
893	2791.817298
894	2792.1468
895	2790.706158
896	2790.688733
897	2790.086666
898	2789.00666
899	2788.944536
900	2788.812059
901	2786.924325
902	2787.007225
903	2785.981927
904	2782.152966
905	2781.70725
906	2781.026895
907	2779.476542
908	2777.521827
909	2777.646139
910	2776.710732
911	2776.743515
912	2776.24379
913	2774.710205
914	2774.239033
915	2773.971943
916	2772.692637
917	2772.111345
918	2770.697252
919	2769.796376
920	2769.613303
921	2768.75273
922	2768.588376
923	2768.315872
924	2767.490695
925	2766.859134
926	2765.369577
927	2765.579914
928	2765.155807
929	2763.447282
930	2763.757989
931	2762.44679
932	2762.188653
933	2762.201637
934	2758.538087
935	2758.098459
936	2757.67596
937	2757.578081
938	2757.064347
939	2757.06118
940	2757.173736
941	2757.430589
942	2756.484914
943	2755.624159
944	2755.101435
945	2755.225206
946	2752.234737
947	2749.614442
948	2749.829311
949	2750.042162
950	2748.538959
951	2747.161226
952	2746.575124
953	2746.449892
954	2745.934313
955	2745.830309
956	2745.627888
957	2745.430561
958	2743.885823
959	2742.344015
960	2740.881573
961	2740.680631
962	2740.965105
963	2740.414747
964	2740.444904
965	2738.558101
966	2738.288448
967	2737.415967
968	2736.197963
969	2735.910144
970	2734.227362
971	2732.670899
972	2731.270566
973	2729.919489
974	2728.241219
975	2726.752663
976	2725.622704
977	2725.859708
978	2724.035295
979	2723.184133
980	2721.556387
981	2720.529139
982	2719.056726
983	2717.921274
984	2718.008334
985	2718.070379
986	2717.738801
987	2717.969234
988	2717.048173
989	2716.938812
990	2716.723141
991	2714.490085
992	2714.339096
993	2714.635813
994	2714.149871
995	2713.895863
996	2711.231453
997	2710.533668
998	2710.170997
999	2709.794693
