MSA,year
"Washington-Arlington-Alexandria, DC-VA-MD-WV",2018
"Wausau-Weston, WI",2018
"West Palm Beach-Boca Raton-Delray Beach, FL",2018
"Wichita, KS",2018
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",2018
"Winston-Salem, NC",2018
"York-Hanover, PA",2018
"Akron, OH",2019
"Albany, GA",2019
"Albany-Schenectady-Troy, NY",2019
"Allentown-Bethlehem-Easton, PA-NJ",2019
"Anaheim-Santa Ana-Irvine, CA",2019
"Ann Arbor, MI",2019
"Anniston-Oxford, AL",2019
"Athens-Clarke County, GA",2019
"Atlanta-Sandy Springs-Alpharetta, GA",2019
"Atlantic City-Hammonton, NJ",2019
"Augusta-Richmond County, GA-SC",2019
"Austin-Round Rock-Georgetown, TX",2019
"Baltimore-Columbia-Towson, MD",2019
"Beaumont-Port Arthur, TX",2019
"Birmingham-Hoover, AL",2019
"Boston-Cambridge-Newton, MA-NH",2019
"Brownsville-Harlingen, TX",2019
"Buffalo-Cheektowaga, NY",2019
"Burlington-South Burlington, VT",2019
"California-Lexington Park, MD",2019
"Boston-Cambridge-Newton, MA-NH",2019
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",2019
"Canton-Massillon, OH",2019
"Cape Coral-Fort Myers, FL",2019
"Cedar Rapids, IA",2019
"Champaign-Urbana, IL",2019
"Charleston, WV",2019
"Charlotte-Concord-Gastonia, NC-SC",2019
"Cheyenne, WY",2019
"Chicago-Naperville-Arlington Heights, IL",2019
"Chico, CA",2019
"Cleveland-Elyria, OH",2019
"College Station-Bryan, TX",2019
"Colorado Springs, CO",2019
"Columbus, GA-AL",2019
"Columbus, OH",2019
"Crestview-Fort Walton Beach-Destin, FL",2019
"Cumberland, MD-WV",2019
"Dallas-Fort Worth-Arlington, TX",2019
"Dayton, OH",2019
"Decatur, AL",2019
"Deltona-Daytona Beach-Ormond Beach, FL",2019
"Denver-Aurora-Lakewood, CO",2019
"Detroit-Warren-Dearborn, MI",2019
"Durham-Chapel Hill, NC",2019
"Enid, OK",2019
"Fayetteville-Springdale-Rogers, AR",2019
"Flint, MI",2019
"Florence-Muscle Shoals, AL",2019
"Fort Collins, CO",2019
"Fort Lauderdale-Pompano Beach-Deerfield Beach, FL",2019
"Dallas-Fort Worth-Arlington, TX",2019
"Grand Rapids-Kentwood, MI",2019
"Greensboro-High Point, NC",2019
"Gulfport-Biloxi, MS",2019
"Hickory-Lenoir-Morganton, NC",2019
"Homosassa Springs, FL",2019
"Houston-The Woodlands-Sugar Land, TX",2019
"Jackson, MI",2019
"Jackson, MS",2019
"Jacksonville, FL",2019
"Janesville-Beloit, WI",2019
"Jefferson City, MO",2019
"Johnson City, TN",2019
"Kalamazoo-Portage, MI",2019
"Kansas City, MO-KS",2019
"Killeen-Temple, TX",2019
"Kingsport-Bristol, TN-VA",2019
"Knoxville, TN",2019
"La Crosse-Onalaska, WI-MN",2019
"Chicago-Naperville-Elgin, IL-IN-WI",2019
"Lakeland-Winter Haven, FL",2019
"Lancaster, PA",2019
"Lansing-East Lansing, MI",2019
"Las Vegas-Henderson-Paradise, NV",2019
"Lima, OH",2019
"Longview, TX",2019
"Los Angeles-Long Beach-Glendale, CA",2019
"Madison, WI",2019
"Memphis, TN-MS-AR",2019
"Merced, CA",2019
"Miami-Miami Beach-Kendall, FL",2019
"Milwaukee-Waukesha, WI",2019
"Minneapolis-St. Paul-Bloomington, MN-WI",2019
"Modesto, CA",2019
"Monroe, MI",2019
"Montgomery, AL",2019
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",2019
"Muskegon, MI",2019
"Myrtle Beach-Conway-North Myrtle Beach, SC-NC",2019
"Naples-Marco Island, FL",2019
"Nashville-Davidson--Murfreesboro--Franklin, TN",2019
"New York-Newark-Jersey City, NY-NJ-PA",2019
"New York-Newark-Jersey City, NY-NJ-PA",2019
"New York-Newark-Jersey City, NY-NJ-PA",2019
"North Port-Sarasota-Bradenton, FL",2019
"Oakland-Hayward-Berkeley, CA",2019
"Ogden-Clearfield, UT",2019
"Oklahoma City, OK",2019
"Olympia-Lacey-Tumwater, WA",2019
"Omaha-Council Bluffs, NE-IA",2019
"Orlando-Kissimmee-Sanford, FL",2019
"Oshkosh-Neenah, WI",2019
"Oxnard-Thousand Oaks-Ventura, CA",2019
"Palm Bay-Melbourne-Titusville, FL",2019
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",2019
"Phoenix-Mesa-Chandler, AZ",2019
"Pittsburgh, PA",2019
"Portland-Vancouver-Hillsboro, OR-WA",2019
"Prescott, AZ",2019
"Providence-Warwick, RI-MA",2019
"Punta Gorda, FL",2019
"Raleigh-Cary, NC",2019
"Reading, PA",2019
