,MSA,year,income_pc
135,"Rochester, NY",2018,50554
136,"Rockford, IL",2018,43824
137,"Sacramento-Roseville-Folsom, CA",2018,54832
138,"St. Cloud, MN",2018,45837
139,"St. George, UT",2018,39964
140,"St. Joseph, MO-KS",2018,38098
141,"St. Louis, MO-IL",2018,55533
142,"Salem, OR",2018,42119
143,"Salt Lake City, UT",2018,51253
144,"San Antonio-New Braunfels, TX",2018,48192
145,"San Diego-Chula Vista-Carlsbad, CA",2018,58719
146,"San Francisco-Redwood City-South San Francisco, CA",2018,
147,"San Jose-Sunnyvale-Santa Clara, CA",2018,106568
148,"San Rafael, CA",2018,
149,"Santa Cruz-Watsonville, CA",2018,65751
150,"Santa Maria-Santa Barbara, CA",2018,60818
151,"Santa Rosa-Petaluma, CA",2018,61501
152,"Savannah, GA",2018,46990
153,"Scranton--Wilkes-Barre, PA",2018,45522
154,"Seattle-Bellevue-Everett, WA",2018,
155,"Sebring-Avon Park, FL",2018,33047
156,"Sierra Vista-Douglas, AZ",2018,38892
157,"Silver Spring-Frederick-Rockville, MD",2018,
158,"Sioux Falls, SD",2018,60254
159,"Spokane-Spokane Valley, WA",2018,44631
160,"Springfield, IL",2018,47642
161,"Stockton, CA",2018,43077
162,"Syracuse, NY",2018,49369
163,"Tampa-St. Petersburg-Clearwater, FL",2018,47362
164,"Toledo, OH",2018,46790
165,"Topeka, KS",2018,46180
166,"Trenton-Princeton, NJ",2018,68052
167,"Tulsa, OK",2018,55350
168,"Tyler, TX",2018,56084
169,"Valdosta, GA",2018,35953
170,"Victoria, TX",2018,47647
171,"Virginia Beach-Norfolk-Newport News, VA-NC",2018,48322
172,"Waco, TX",2018,41319
173,"Detroit-Warren-Dearborn, MI",2018,52469
174,"Washington-Arlington-Alexandria, DC-VA-MD-WV",2018,71615
175,"Wausau-Weston, WI",2018,49489
176,"West Palm Beach-Boca Raton-Delray Beach, FL",2018,
177,"Wichita, KS",2018,50308
178,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",2018,64053
179,"Winston-Salem, NC",2018,43881
180,"York-Hanover, PA",2018,50069
181,"Akron, OH",2019,51714
182,"Albany, GA",2019,38764
183,"Albany-Schenectady-Troy, NY",2019,60500
184,"Allentown-Bethlehem-Easton, PA-NJ",2019,55363
185,"Anaheim-Santa Ana-Irvine, CA",2019,
