,MSA,year,income_pc
11420,"Spokane-Spokane Valley, WA",2019,46337
11421,"Springfield, IL",2019,49212
11422,"Springfield, MA",2019,53413
11423,"Springfield, OH",2019,41625
11424,"Staunton, VA",2019,44917
11425,"Syracuse, NY",2019,51181
11426,"Tacoma-Lakewood, WA",2019,
11427,"Tampa-St. Petersburg-Clearwater, FL",2019,49186
11428,"Toledo, OH",2019,48252
11429,"Topeka, KS",2019,47253
11430,"Trenton-Princeton, NJ",2019,70675
11431,"Tucson, AZ",2019,44649
11432,"Tuscaloosa, AL",2019,39482
11433,"Valdosta, GA",2019,37045
11434,"Virginia Beach-Norfolk-Newport News, VA-NC",2019,49792
11435,"Visalia, CA",2019,40040
11436,"Waco, TX",2019,42274
11437,"Detroit-Warren-Dearborn, MI",2019,54213
11438,"Washington-Arlington-Alexandria, DC-VA-MD-WV",2019,73059
11439,"West Palm Beach-Boca Raton-Delray Beach, FL",2019,
11440,"Wichita, KS",2019,52706
11441,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",2019,65733
11442,"Wilmington, NC",2019,46620
11443,"Winston-Salem, NC",2019,45600
11444,"York-Hanover, PA",2019,52015
11445,"Youngstown-Warren-Boardman, OH-PA",2019,43047
11446,"Akron, OH",2020,54843
11447,"Albany-Schenectady-Troy, NY",2020,65112
11448,"Allentown-Bethlehem-Easton, PA-NJ",2020,59193
11449,"Altoona, PA",2020,52096
11450,"Amarillo, TX",2020,51116
11451,"Anaheim-Santa Ana-Irvine, CA",2020,
11452,"Ann Arbor, MI",2020,63655
11453,"Athens-Clarke County, GA",2020,44364
11454,"Atlanta-Sandy Springs-Alpharetta, GA",2020,58773
11455,"Augusta-Richmond County, GA-SC",2020,46594
11456,"Austin-Round Rock-Georgetown, TX",2020,64913
11457,"Bakersfield, CA",2020,44721
11458,"Baltimore-Columbia-Towson, MD",2020,66695
11459,"Barnstable Town, MA",2020,80420
11460,"Beaumont-Port Arthur, TX",2020,47281
11461,"Bellingham, WA",2020,52787
11462,"Bend, OR",2020,61216
11463,"Birmingham-Hoover, AL",2020,55074
11464,"Boston-Cambridge-Newton, MA-NH",2020,85724
11465,"Boulder, CO",2020,79649
11466,"Bremerton-Silverdale-Port Orchard, WA",2020,60704
11467,"Brownsville-Harlingen, TX",2020,33690
11468,"Buffalo-Cheektowaga, NY",2020,55777
11469,"Burlington-South Burlington, VT",2020,61802
11470,"Boston-Cambridge-Newton, MA-NH",2020,85724
11471,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",2020,69705
11472,"Cape Coral-Fort Myers, FL",2020,54707
11473,"Carson City, NV",2020,56510
11474,"Cedar Rapids, IA",2020,55971
11475,"Champaign-Urbana, IL",2020,49967
11476,"Charlotte-Concord-Gastonia, NC-SC",2020,56682
11477,"Charlottesville, VA",2020,69853
11478,"Chattanooga, TN-GA",2020,49865
11479,"Chicago-Naperville-Arlington Heights, IL",2020,
11480,"Chico, CA",2020,50279
11481,"Cleveland-Elyria, OH",2020,58846
11482,"Colorado Springs, CO",2020,54166
11483,"Columbus, OH",2020,56252
11484,"Corpus Christi, TX",2020,48060
11485,"Corvallis, OR",2020,50399
11486,"Crestview-Fort Walton Beach-Destin, FL",2020,58663
11487,"Cumberland, MD-WV",2020,44308
11488,"Dallas-Fort Worth-Arlington, TX",2020,61554
11489,"Daphne-Fairhope-Foley, AL",2020,50953
11490,"Davenport-Moline-Rock Island, IA-IL",2020,53620
11491,"Dayton, OH",2020,
11492,"Decatur, IL",2020,52196
11493,"Deltona-Daytona Beach-Ormond Beach, FL",2020,47194
11494,"Denver-Aurora-Lakewood, CO",2020,69822
11495,"Des Moines-West Des Moines, IA",2020,58076
11496,"Detroit-Warren-Dearborn, MI",2020,58356
11497,"Dothan, AL",2020,45349
11498,"Duluth, MN-WI",2020,49785
11499,"Durham-Chapel Hill, NC",2020,56703
11500,"Dutchess County-Putnam County, NY",2020,
11501,"Chicago-Naperville-Elgin, IL-IN-WI",2020,67671
11502,"El Paso, TX",2020,41732
11503,"Erie, PA",2020,50536
11504,"Fargo, ND-MN",2020,58158
11505,"Fayetteville-Springdale-Rogers, AR",2020,70085
11506,"Fort Collins, CO",2020,58725
11507,"Fort Lauderdale-Pompano Beach-Deerfield Beach, FL",2020,
11508,"Fort Smith, AR-OK",2020,40801
11509,"Dallas-Fort Worth-Arlington, TX",2020,61554
11510,"Fresno, CA",2020,48495
11511,"Gainesville, FL",2020,47729
11512,"Gainesville, GA",2020,48759
11513,"Grand Island, NE",2020,48375
11514,"Grand Rapids-Kentwood, MI",2020,54037
11515,"Greeley, CO",2020,52054
11516,"Gulfport-Biloxi, MS",2020,41111
11517,"Houston-The Woodlands-Sugar Land, TX",2020,59893
11518,"Huntsville, AL",2020,55126
11519,"Iowa City, IA",2020,56947
11520,"Ithaca, NY",2020,49486
11521,"Jackson, MI",2020,44889
11522,"Jackson, TN",2020,44123
11523,"Jacksonville, FL",2020,55125
11524,"Kalamazoo-Portage, MI",2020,52403
11525,"Kansas City, MO-KS",2020,58057
11526,"Killeen-Temple, TX",2020,45574
11527,"Kingsport-Bristol, TN-VA",2020,42869
11528,"Knoxville, TN",2020,50540
11529,"Chicago-Naperville-Elgin, IL-IN-WI",2020,67671
11530,"Lakeland-Winter Haven, FL",2020,39760
11531,"Lancaster, PA",2020,58434
11532,"Las Vegas-Henderson-Paradise, NV",2020,51244
11533,"Lima, OH",2020,46500
11534,"Lincoln, NE",2020,53057
11535,"Little Rock-North Little Rock-Conway, AR",2020,49837
11536,"Los Angeles-Long Beach-Glendale, CA",2020,
11537,"Lynchburg, VA",2020,43529
11538,"Madera, CA",2020,44532
11539,"Madison, WI",2020,64280
11540,"Memphis, TN-MS-AR",2020,51155
11541,"Miami-Miami Beach-Kendall, FL",2020,
11542,"Milwaukee-Waukesha, WI",2020,60499
11543,"Minneapolis-St. Paul-Bloomington, MN-WI",2020,67214
11544,"Mobile, AL",2020,42731
11545,"Monroe, MI",2020,52028
11546,"Montgomery, AL",2020,47446
11547,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",2020,69705
11548,"Muskegon, MI",2020,44000
11549,"Myrtle Beach-Conway-North Myrtle Beach, SC-NC",2020,43477
11550,"Nashville-Davidson--Murfreesboro--Franklin, TN",2020,62076
11551,"New York-Newark-Jersey City, NY-NJ-PA",2020,82322
11552,"New York-Newark-Jersey City, NY-NJ-PA",2020,82322
11553,"New York-Newark-Jersey City, NY-NJ-PA",2020,82322
11554,"North Port-Sarasota-Bradenton, FL",2020,61988
11555,"Oakland-Hayward-Berkeley, CA",2020,
11556,"Ogden-Clearfield, UT",2020,49371
11557,"Oklahoma City, OK",2020,52688
11558,"Omaha-Council Bluffs, NE-IA",2020,61040
11559,"Orlando-Kissimmee-Sanford, FL",2020,48223
11560,"Oshkosh-Neenah, WI",2020,50840
11561,"Oxnard-Thousand Oaks-Ventura, CA",2020,67422
11562,"Pensacola-Ferry Pass-Brent, FL",2020,48154
11563,"Peoria, IL",2020,52742
11564,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",2020,69705
11565,"Phoenix-Mesa-Chandler, AZ",2020,51851
11566,"Pittsburgh, PA",2020,63675
11567,"Portland-Vancouver-Hillsboro, OR-WA",2020,62603
11568,"Port St. Lucie, FL",2020,58649
11569,"Prescott, AZ",2020,
11570,"Providence-Warwick, RI-MA",2020,60897
11571,"Provo-Orem, UT",2020,46393
11572,"Pueblo, CO",2020,43196
11573,"Punta Gorda, FL",2020,45606
11574,"Raleigh-Cary, NC",2020,60884
11575,"Reno, NV",2020,66075
11576,"Richmond, VA",2020,61148
11577,"Riverside-San Bernardino-Ontario, CA",2020,45365
11578,"Rochester, MN",2020,59842
11579,"Rochester, NY",2020,56477
11580,"Rockford, IL",2020,47982
11581,"Rome, GA",2020,41238
11582,"Sacramento-Roseville-Folsom, CA",2020,61852
11583,"Saginaw, MI",2020,45328
11584,"St. Joseph, MO-KS",2020,43061
11585,"St. Louis, MO-IL",2020,60844
11586,"Salem, OR",2020,47638
11587,"Salisbury, MD-DE",2020,51228
11588,"Salt Lake City, UT",2020,58008
11589,"San Antonio-New Braunfels, TX",2020,50022
11590,"San Diego-Chula Vista-Carlsbad, CA",2020,66266
11591,"San Francisco-Redwood City-South San Francisco, CA",2020,
11592,"San Jose-Sunnyvale-Santa Clara, CA",2020,121619
11593,"San Rafael, CA",2020,
11594,"Santa Cruz-Watsonville, CA",2020,75957
11595,"Savannah, GA",2020,51184
11596,"Seattle-Bellevue-Everett, WA",2020,
11597,"Sherman-Denison, TX",2020,47045
11598,"Silver Spring-Frederick-Rockville, MD",2020,
11599,"Sioux City, IA-NE-SD",2020,56131
11600,"Spokane-Spokane Valley, WA",2020,49449
11601,"Springfield, MO",2020,44565
11602,"Springfield, OH",2020,45363
11603,"Staunton, VA",2020,47794
11604,"Stockton, CA",2020,51816
11605,"Syracuse, NY",2020,55563
11606,"Tacoma-Lakewood, WA",2020,
11607,"Tallahassee, FL",2020,46685
11608,"Tampa-St. Petersburg-Clearwater, FL",2020,52291
11609,"Toledo, OH",2020,51408
11610,"Trenton-Princeton, NJ",2020,74218
11611,"Tucson, AZ",2020,48373
11612,"Tulsa, OK",2020,58071
11613,"Tyler, TX",2020,57076
11614,"Utica-Rome, NY",2020,49581
11615,"Valdosta, GA",2020,40046
11616,"Vallejo, CA",2020,58688
11617,"Virginia Beach-Norfolk-Newport News, VA-NC",2020,53310
11618,"Waco, TX",2020,45403
11619,"Detroit-Warren-Dearborn, MI",2020,58356
11620,"Washington-Arlington-Alexandria, DC-VA-MD-WV",2020,76771
11621,"Weirton-Steubenville, WV-OH",2020,46007
11622,"Wenatchee, WA",2020,55047
11623,"West Palm Beach-Boca Raton-Delray Beach, FL",2020,
11624,"Wichita, KS",2020,55000
11625,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",2020,69705
11626,"Wilmington, NC",2020,48744
11627,"Winchester, VA-WV",2020,52377
11628,"Winston-Salem, NC",2020,48151
11629,"Youngstown-Warren-Boardman, OH-PA",2020,46635
11630,"Yuma, AZ",2020,40800
11631,"Akron, OH",2018,49770
11632,"Allentown-Bethlehem-Easton, PA-NJ",2018,53518
11633,"Anaheim-Santa Ana-Irvine, CA",2018,
11634,"Anchorage, AK",2018,61584
11635,"Ann Arbor, MI",2018,58667
11636,"Anniston-Oxford, AL",2018,36482
11637,"Asheville, NC",2018,45540
11638,"Atlanta-Sandy Springs-Alpharetta, GA",2018,53354
11639,"Augusta-Richmond County, GA-SC",2018,41738
11640,"Austin-Round Rock-Georgetown, TX",2018,60764
11641,"Bakersfield, CA",2018,38079
11642,"Baltimore-Columbia-Towson, MD",2018,60766
11643,"Birmingham-Hoover, AL",2018,51377
11644,"Bloomsburg-Berwick, PA",2018,45463
11645,"Boston-Cambridge-Newton, MA-NH",2018,77752
11646,"Bremerton-Silverdale-Port Orchard, WA",2018,54597
11647,"Buffalo-Cheektowaga, NY",2018,49344
11648,"Burlington, NC",2018,39742
11649,"Boston-Cambridge-Newton, MA-NH",2018,77752
11650,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",2018,64053
11651,"Cape Coral-Fort Myers, FL",2018,52022
11652,"Champaign-Urbana, IL",2018,44971
11653,"Charleston, WV",2018,44328
11654,"Charlotte-Concord-Gastonia, NC-SC",2018,52232
11655,"Chattanooga, TN-GA",2018,45935
11656,"Chicago-Naperville-Arlington Heights, IL",2018,
11657,"Cleveland-Elyria, OH",2018,53881
11658,"Colorado Springs, CO",2018,48562
11659,"Columbus, GA-AL",2018,40276
11660,"Columbus, OH",2018,51196
11661,"Dallas-Fort Worth-Arlington, TX",2018,57562
11662,"Dayton, OH",2018,
11663,"Decatur, AL",2018,38608
11664,"Deltona-Daytona Beach-Ormond Beach, FL",2018,43575
11665,"Denver-Aurora-Lakewood, CO",2018,64114
11666,"Des Moines-West Des Moines, IA",2018,53814
11667,"Detroit-Warren-Dearborn, MI",2018,52469
11668,"Dothan, AL",2018,41141
11669,"Dubuque, IA",2018,49703
11670,"East Stroudsburg, PA",2018,42708
11671,"El Centro, CA",2018,35331
11672,"El Paso, TX",2018,36347
11673,"Florence-Muscle Shoals, AL",2018,37042
11674,"Fond du Lac, WI",2018,48245
11675,"Fort Collins, CO",2018,53836
11676,"Fort Lauderdale-Pompano Beach-Deerfield Beach, FL",2018,
11677,"Dallas-Fort Worth-Arlington, TX",2018,57562
11678,"Fresno, CA",2018,41248
11679,"Gadsden, AL",2018,36583
11680,"Glens Falls, NY",2018,46461
11681,"Greensboro-High Point, NC",2018,42745
11682,"Gulfport-Biloxi, MS",2018,36703
11683,"Hanford-Corcoran, CA",2018,35267
11684,"Harrisburg-Carlisle, PA",2018,52270
11685,"Harrisonburg, VA",2018,39471
11686,"Hickory-Lenoir-Morganton, NC",2018,39205
11687,"Houston-The Woodlands-Sugar Land, TX",2018,57875
11688,"Huntsville, AL",2018,50044
11689,"Jackson, MS",2018,43423
11690,"Jacksonville, FL",2018,50411
11691,"Kankakee, IL",2018,41173
11692,"Kansas City, MO-KS",2018,53688
11693,"Kingsport-Bristol, TN-VA",2018,39689
11694,"Knoxville, TN",2018,46341
11695,"Chicago-Naperville-Elgin, IL-IN-WI",2018,61970
11696,"Lakeland-Winter Haven, FL",2018,36048
11697,"Lansing-East Lansing, MI",2018,41190
11698,"Las Vegas-Henderson-Paradise, NV",2018,47184
11699,"Lawton, OK",2018,41236
11700,"Lima, OH",2018,42427
11701,"Los Angeles-Long Beach-Glendale, CA",2018,
11702,"Lynchburg, VA",2018,39668
11703,"Madison, WI",2018,59266
11704,"Medford, OR",2018,45903
11705,"Memphis, TN-MS-AR",2018,46481
11706,"Miami-Miami Beach-Kendall, FL",2018,
11707,"Minneapolis-St. Paul-Bloomington, MN-WI",2018,62695
11708,"Mobile, AL",2018,38119
11709,"Modesto, CA",2018,41850
11710,"Monroe, MI",2018,47091
11711,"Montgomery, AL",2018,43156
11712,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",2018,64053
11713,"Morgantown, WV",2018,43856
11714,"Myrtle Beach-Conway-North Myrtle Beach, SC-NC",2018,39867
11715,"Naples-Marco Island, FL",2018,99997
11716,"Nashville-Davidson--Murfreesboro--Franklin, TN",2018,59105
11717,"New York-Newark-Jersey City, NY-NJ-PA",2018,75166
11718,"New York-Newark-Jersey City, NY-NJ-PA",2018,75166
11719,"New York-Newark-Jersey City, NY-NJ-PA",2018,75166
11720,"Niles, MI",2018,47325
11721,"North Port-Sarasota-Bradenton, FL",2018,58060
11722,"Oakland-Hayward-Berkeley, CA",2018,
11723,"Ocala, FL",2018,37497
11724,"Ocean City, NJ",2018,60246
11725,"Ogden-Clearfield, UT",2018,43682
11726,"Omaha-Council Bluffs, NE-IA",2018,57457
11727,"Orlando-Kissimmee-Sanford, FL",2018,43970
11728,"Palm Bay-Melbourne-Titusville, FL",2018,46145
11729,"Pensacola-Ferry Pass-Brent, FL",2018,43699
11730,"Peoria, IL",2018,48056
11731,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",2018,64053
11732,"Phoenix-Mesa-Chandler, AZ",2018,46140
11733,"Pittsburgh, PA",2018,58000
11734,"Portland-Vancouver-Hillsboro, OR-WA",2018,56762
11735,"Port St. Lucie, FL",2018,54988
11736,"Providence-Warwick, RI-MA",2018,53771
11737,"Raleigh-Cary, NC",2018,56139
11738,"Reading, PA",2018,49549
11739,"Richmond, VA",2018,56101
11740,"Riverside-San Bernardino-Ontario, CA",2018,39403
11741,"Roanoke, VA",2018,46032
11742,"Rochester, MN",2018,54635
11743,"Rockford, IL",2018,43824
11744,"Rome, GA",2018,37593
11745,"Sacramento-Roseville-Folsom, CA",2018,54832
11746,"St. Louis, MO-IL",2018,55533
11747,"Salt Lake City, UT",2018,51253
11748,"San Angelo, TX",2018,48865
11749,"San Antonio-New Braunfels, TX",2018,48192
11750,"San Diego-Chula Vista-Carlsbad, CA",2018,58719
11751,"San Francisco-Redwood City-South San Francisco, CA",2018,
11752,"San Jose-Sunnyvale-Santa Clara, CA",2018,106568
11753,"San Rafael, CA",2018,
11754,"Santa Maria-Santa Barbara, CA",2018,60818
11755,"Savannah, GA",2018,46990
11756,"Seattle-Bellevue-Everett, WA",2018,
11757,"Sherman-Denison, TX",2018,43052
11758,"Silver Spring-Frederick-Rockville, MD",2018,
11759,"Springfield, MA",2018,51697
11760,"Springfield, OH",2018,40263
11761,"Stockton, CA",2018,43077
11762,"Tacoma-Lakewood, WA",2018,
11763,"Tampa-St. Petersburg-Clearwater, FL",2018,47362
11764,"Toledo, OH",2018,46790
11765,"Trenton-Princeton, NJ",2018,68052
11766,"Tucson, AZ",2018,43103
11767,"Tulsa, OK",2018,55350
11768,"Virginia Beach-Norfolk-Newport News, VA-NC",2018,48322
11769,"Warner Robins, GA",2018,41902
11770,"Detroit-Warren-Dearborn, MI",2018,52469
11771,"Washington-Arlington-Alexandria, DC-VA-MD-WV",2018,71615
11772,"Weirton-Steubenville, WV-OH",2018,40431
11773,"West Palm Beach-Boca Raton-Delray Beach, FL",2018,
11774,"Wichita, KS",2018,50308
11775,"Wichita Falls, TX",2018,43262
11776,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",2018,64053
11777,"Winston-Salem, NC",2018,43881
11778,"Youngstown-Warren-Boardman, OH-PA",2018,42094
11779,"Akron, OH",2019,51714
11780,"Albany-Lebanon, OR",2019,43971
11781,"Albany-Schenectady-Troy, NY",2019,60500
11782,"Allentown-Bethlehem-Easton, PA-NJ",2019,55363
11783,"Amarillo, TX",2019,49008
11784,"Anaheim-Santa Ana-Irvine, CA",2019,
11785,"Anchorage, AK",2019,63208
11786,"Ann Arbor, MI",2019,61101
11787,"Asheville, NC",2019,47559
11788,"Atlanta-Sandy Springs-Alpharetta, GA",2019,55668
11789,"Atlantic City-Hammonton, NJ",2019,51247
11790,"Auburn-Opelika, AL",2019,40439
11791,"Augusta-Richmond County, GA-SC",2019,43512
11792,"Austin-Round Rock-Georgetown, TX",2019,62460
11793,"Bakersfield, CA",2019,39559
11794,"Baltimore-Columbia-Towson, MD",2019,62702
11795,"Beaumont-Port Arthur, TX",2019,45115
11796,"Beckley, WV",2019,41026
11797,"Binghamton, NY",2019,45505
11798,"Birmingham-Hoover, AL",2019,53185
11799,"Boston-Cambridge-Newton, MA-NH",2019,80965
11800,"Boulder, CO",2019,77305
11801,"Brownsville-Harlingen, TX",2019,30187
11802,"Buffalo-Cheektowaga, NY",2019,51296
11803,"California-Lexington Park, MD",2019,57891
11804,"Boston-Cambridge-Newton, MA-NH",2019,80965
11805,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",2019,65733
11806,"Cape Coral-Fort Myers, FL",2019,52832
11807,"Chambersburg-Waynesboro, PA",2019,48014
11808,"Charleston, WV",2019,45527
11809,"Charlotte-Concord-Gastonia, NC-SC",2019,54086
11810,"Chicago-Naperville-Arlington Heights, IL",2019,
11811,"Cleveland-Elyria, OH",2019,55294
11812,"Colorado Springs, CO",2019,50862
11813,"Columbus, OH",2019,52522
11814,"Corpus Christi, TX",2019,46336
11815,"Crestview-Fort Walton Beach-Destin, FL",2019,55156
11816,"Dallas-Fort Worth-Arlington, TX",2019,59409
11817,"Dayton, OH",2019,
11818,"Deltona-Daytona Beach-Ormond Beach, FL",2019,45174
11819,"Denver-Aurora-Lakewood, CO",2019,67089
11820,"Detroit-Warren-Dearborn, MI",2019,54213
11821,"Durham-Chapel Hill, NC",2019,54408
11822,"Dutchess County-Putnam County, NY",2019,
11823,"East Stroudsburg, PA",2019,44150
11824,"Eau Claire, WI",2019,48822
11825,"El Paso, TX",2019,38681
11826,"Eugene-Springfield, OR",2019,45960
11827,"Fayetteville-Springdale-Rogers, AR",2019,68808
11828,"Flint, MI",2019,41940
11829,"Fort Lauderdale-Pompano Beach-Deerfield Beach, FL",2019,
11830,"Dallas-Fort Worth-Arlington, TX",2019,59409
11831,"Gainesville, GA",2019,46409
11832,"Grand Rapids-Kentwood, MI",2019,50474
11833,"Hagerstown-Martinsburg, MD-WV",2019,44637
11834,"Hickory-Lenoir-Morganton, NC",2019,40607
11835,"Houston-The Woodlands-Sugar Land, TX",2019,58884
11836,"Huntsville, AL",2019,52208
11837,"Jackson, MI",2019,40413
11838,"Jackson, MS",2019,44794
11839,"Jacksonville, FL",2019,52184
11840,"Janesville-Beloit, WI",2019,46018
11841,"Johnstown, PA",2019,44620
11842,"Kankakee, IL",2019,42857
11843,"Kansas City, MO-KS",2019,55691
11844,"Killeen-Temple, TX",2019,43033
11845,"Kingsport-Bristol, TN-VA",2019,40540
11846,"Chicago-Naperville-Elgin, IL-IN-WI",2019,64079
11847,"Lakeland-Winter Haven, FL",2019,37183
11848,"Lancaster, PA",2019,54529
11849,"Las Vegas-Henderson-Paradise, NV",2019,49225
11850,"Lebanon, PA",2019,49099
11851,"Los Angeles-Long Beach-Glendale, CA",2019,
11852,"Lynchburg, VA",2019,40521
11853,"Macon-Bibb County, GA",2019,41402
11854,"Memphis, TN-MS-AR",2019,47904
11855,"Miami-Miami Beach-Kendall, FL",2019,
11856,"Midland, MI",2019,54477
11857,"Minneapolis-St. Paul-Bloomington, MN-WI",2019,64270
11858,"Monroe, MI",2019,48696
11859,"Montgomery, AL",2019,44473
11860,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",2019,65733
11861,"Muskegon, MI",2019,39769
11862,"Myrtle Beach-Conway-North Myrtle Beach, SC-NC",2019,41213
11863,"Naples-Marco Island, FL",2019,103205
11864,"Nashville-Davidson--Murfreesboro--Franklin, TN",2019,61516
11865,"New York-Newark-Jersey City, NY-NJ-PA",2019,77911
11866,"New York-Newark-Jersey City, NY-NJ-PA",2019,77911
11867,"New York-Newark-Jersey City, NY-NJ-PA",2019,77911
11868,"Niles, MI",2019,48231
11869,"North Port-Sarasota-Bradenton, FL",2019,59917
11870,"Oakland-Hayward-Berkeley, CA",2019,
11871,"Ocala, FL",2019,38754
11872,"Oklahoma City, OK",2019,51408
11873,"Orlando-Kissimmee-Sanford, FL",2019,45718
11874,"Oxnard-Thousand Oaks-Ventura, CA",2019,63190
11875,"Palm Bay-Melbourne-Titusville, FL",2019,48539
11876,"Peoria, IL",2019,48746
11877,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",2019,65733
11878,"Phoenix-Mesa-Chandler, AZ",2019,48082
11879,"Pittsburgh, PA",2019,59494
11880,"Portland-Vancouver-Hillsboro, OR-WA",2019,58941
11881,"Port St. Lucie, FL",2019,56602
11882,"Prescott, AZ",2019,
11883,"Raleigh-Cary, NC",2019,58147
11884,"Reading, PA",2019,51606
11885,"Reno, NV",2019,62954
11886,"Richmond, VA",2019,58111
11887,"Riverside-San Bernardino-Ontario, CA",2019,40988
11888,"Rochester, NY",2019,52480
11889,"Sacramento-Roseville-Folsom, CA",2019,57014
11890,"Saginaw, MI",2019,41659
11891,"San Angelo, TX",2019,51990
11892,"San Antonio-New Braunfels, TX",2019,48025
11893,"San Francisco-Redwood City-South San Francisco, CA",2019,
11894,"San Jose-Sunnyvale-Santa Clara, CA",2019,112693
11895,"Savannah, GA",2019,47964
11896,"Seattle-Bellevue-Everett, WA",2019,
11897,"Silver Spring-Frederick-Rockville, MD",2019,
11898,"Springfield, MA",2019,53413
11899,"Springfield, OH",2019,41625
11900,"Syracuse, NY",2019,51181
11901,"Tallahassee, FL",2019,44003
11902,"Tampa-St. Petersburg-Clearwater, FL",2019,49186
11903,"Toledo, OH",2019,48252
11904,"Topeka, KS",2019,47253
11905,"Tucson, AZ",2019,44649
11906,"Tulsa, OK",2019,56680
11907,"Tyler, TX",2019,55986
11908,"Vallejo, CA",2019,51889
11909,"Virginia Beach-Norfolk-Newport News, VA-NC",2019,49792
11910,"Walla Walla, WA",2019,46648
11911,"Detroit-Warren-Dearborn, MI",2019,54213
11912,"Washington-Arlington-Alexandria, DC-VA-MD-WV",2019,73059
11913,"West Palm Beach-Boca Raton-Delray Beach, FL",2019,
11914,"Wichita, KS",2019,52706
11915,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",2019,65733
11916,"Winchester, VA-WV",2019,49538
11917,"Winston-Salem, NC",2019,45600
11918,"Youngstown-Warren-Boardman, OH-PA",2019,43047
11919,"Yuma, AZ",2019,35065
11920,"Akron, OH",2020,54843
11921,"Albany-Schenectady-Troy, NY",2020,65112
11922,"Allentown-Bethlehem-Easton, PA-NJ",2020,59193
11923,"Altoona, PA",2020,52096
11924,"Anaheim-Santa Ana-Irvine, CA",2020,
11925,"Ann Arbor, MI",2020,63655
11926,"Athens-Clarke County, GA",2020,44364
11927,"Atlanta-Sandy Springs-Alpharetta, GA",2020,58773
11928,"Austin-Round Rock-Georgetown, TX",2020,64913
11929,"Bakersfield, CA",2020,44721
11930,"Beaumont-Port Arthur, TX",2020,47281
11931,"Birmingham-Hoover, AL",2020,55074
11932,"Bismarck, ND",2020,61404
11933,"Boston-Cambridge-Newton, MA-NH",2020,85724
11934,"Brunswick, GA",2020,45251
11935,"California-Lexington Park, MD",2020,61144
11936,"Boston-Cambridge-Newton, MA-NH",2020,85724
11937,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",2020,69705
11938,"Canton-Massillon, OH",2020,49255
11939,"Casper, WY",2020,68447
11940,"Charlotte-Concord-Gastonia, NC-SC",2020,56682
11941,"Chicago-Naperville-Arlington Heights, IL",2020,
11942,"Cleveland-Elyria, OH",2020,58846
11943,"College Station-Bryan, TX",2020,44037
11944,"Columbus, OH",2020,56252
11945,"Dallas-Fort Worth-Arlington, TX",2020,61554
11946,"Davenport-Moline-Rock Island, IA-IL",2020,53620
11947,"Decatur, IL",2020,52196
11948,"Deltona-Daytona Beach-Ormond Beach, FL",2020,47194
11949,"Denver-Aurora-Lakewood, CO",2020,69822
11950,"Detroit-Warren-Dearborn, MI",2020,58356
11951,"Dothan, AL",2020,45349
11952,"Durham-Chapel Hill, NC",2020,56703
11953,"East Stroudsburg, PA",2020,48409
11954,"Chicago-Naperville-Elgin, IL-IN-WI",2020,67671
11955,"El Paso, TX",2020,41732
11956,"Flint, MI",2020,46152
11957,"Fort Collins, CO",2020,58725
11958,"Fort Lauderdale-Pompano Beach-Deerfield Beach, FL",2020,
11959,"Dallas-Fort Worth-Arlington, TX",2020,61554
11960,"Gainesville, GA",2020,48759
11961,"Grand Rapids-Kentwood, MI",2020,54037
11962,"Greensboro-High Point, NC",2020,47171
11963,"Gulfport-Biloxi, MS",2020,41111
11964,"Houston-The Woodlands-Sugar Land, TX",2020,59893
11965,"Jackson, MS",2020,47992
11966,"Jacksonville, FL",2020,55125
11967,"Janesville-Beloit, WI",2020,48836
11968,"Kansas City, MO-KS",2020,58057
11969,"Kingsport-Bristol, TN-VA",2020,42869
11970,"Chicago-Naperville-Elgin, IL-IN-WI",2020,67671
11971,"Lakeland-Winter Haven, FL",2020,39760
11972,"Lansing-East Lansing, MI",2020,46323
11973,"Las Vegas-Henderson-Paradise, NV",2020,51244
11974,"Lincoln, NE",2020,53057
11975,"Los Angeles-Long Beach-Glendale, CA",2020,
11976,"Lynchburg, VA",2020,43529
11977,"Memphis, TN-MS-AR",2020,51155
11978,"Miami-Miami Beach-Kendall, FL",2020,
11979,"Milwaukee-Waukesha, WI",2020,60499
11980,"Minneapolis-St. Paul-Bloomington, MN-WI",2020,67214
11981,"Mobile, AL",2020,42731
11982,"Monroe, MI",2020,52028
11983,"Montgomery, AL",2020,47446
11984,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",2020,69705
11985,"Myrtle Beach-Conway-North Myrtle Beach, SC-NC",2020,43477
11986,"Nashville-Davidson--Murfreesboro--Franklin, TN",2020,62076
11987,"New York-Newark-Jersey City, NY-NJ-PA",2020,82322
