MSA,num_races,household_size,frac_married,frac_school,frac_college,frac_educated,annual_births,frac_veteran,frac_disability,non_citizen,employment_rate,frac_priv_insurance,frac_mcare_insurance,frac_no_insurance,poverty_rate
"Houston-The Woodlands-Sugar Land, TX",3,2.74,0.51,0.75,0.21,0.84,"1,808,878",0.05,0.1,0.57,0.66,0.6,0.28,0.19,0.11
"Huntsville, AL",4,2.38,0.53,0.68,0.26,0.91,"117,812",0.11,0.13,0.43,0.63,0.8,0.27,0.08,0.07
"Indianapolis-Carmel-Anderson, IN",3,2.51,0.5,0.75,0.18,0.92,"515,262",0.06,0.13,0.61,0.67,0.7,0.34,0.07,0.08
"Jackson, MS",3,2.48,0.43,0.74,0.21,0.89,"142,828",0.06,0.16,0.57,0.59,0.61,0.37,0.13,0.14
"Jacksonville, FL",3,2.49,0.48,0.76,0.19,0.92,"380,009",0.12,0.13,0.39,0.63,0.7,0.34,0.1,0.09
"Kansas City, MO-KS",3,2.46,0.52,0.77,0.17,0.93,"517,202",0.07,0.12,0.52,0.68,0.75,0.28,0.09,0.07
"Knoxville, TN",4,2.42,0.49,0.68,0.26,0.91,"204,937",0.08,0.15,0.57,0.6,0.69,0.37,0.09,0.08
"Lakeland-Winter Haven, FL",3,2.68,0.46,0.8,0.16,0.88,"170,379",0.07,0.14,0.54,0.56,0.58,0.4,0.14,0.12
"Lancaster, PA",4,2.57,0.56,0.77,0.2,0.88,"121,378",0.06,0.12,0.37,0.66,0.69,0.35,0.11,0.06
"Lansing-East Lansing, MI",3,2.37,0.45,0.55,0.4,0.94,"131,186",0.06,0.15,0.45,0.62,0.75,0.36,0.05,0.07
"Las Vegas-Henderson-Paradise, NV",4,2.66,0.44,0.76,0.21,0.87,"551,521",0.08,0.13,0.45,0.64,0.61,0.37,0.13,0.12
"Lexington-Fayette, KY",3,2.33,0.47,0.62,0.34,0.92,"130,955",0.06,0.14,0.62,0.66,0.7,0.36,0.06,0.09
"Little Rock-North Little Rock-Conway, AR",3,2.39,0.51,0.74,0.2,0.93,"183,176",0.08,0.15,0.56,0.63,0.66,0.39,0.08,0.1
"Los Angeles-Long Beach-Anaheim, CA",4,2.87,0.44,0.66,0.29,0.82,"3,202,974",0.03,0.1,0.44,0.65,0.61,0.39,0.09,0.1
"Louisville/Jefferson County, KY-IN",4,2.41,0.48,0.73,0.21,0.91,"299,856",0.07,0.14,0.58,0.64,0.69,0.39,0.06,0.09
"Madison, WI",3,2.28,0.48,0.62,0.33,0.96,"171,447",0.05,0.09,0.58,0.69,0.82,0.27,0.04,0.05
"McAllen-Edinburg-Mission, TX",3,3.25,0.48,0.81,0.15,0.69,"218,483",0.03,0.12,0.67,0.57,0.36,0.39,0.31,0.26
"Memphis, TN-MS-AR",4,2.53,0.42,0.77,0.17,0.9,"327,202",0.07,0.13,0.64,0.64,0.64,0.37,0.11,0.13
"Miami-Fort Lauderdale-Pompano Beach, FL",4,2.61,0.45,0.68,0.25,0.87,"1,376,268",0.04,0.11,0.38,0.63,0.61,0.34,0.13,0.1
"Milwaukee-Waukesha, WI",3,2.37,0.47,0.76,0.2,0.93,"364,582",0.05,0.12,0.49,0.66,0.7,0.36,0.06,0.09
"Minneapolis-St. Paul-Bloomington, MN-WI",4,2.5,0.5,0.72,0.21,0.95,"865,454",0.06,0.11,0.39,0.71,0.78,0.31,0.04,0.05
"Modesto, CA",4,3.14,0.47,0.77,0.19,0.78,"132,786",0.04,0.12,0.53,0.62,0.57,0.44,0.08,0.11
"Myrtle Beach-Conway-North Myrtle Beach, SC-NC",3,2.39,0.52,0.74,0.21,0.93,"96,690",0.11,0.18,0.44,0.52,0.6,0.48,0.12,0.08
"Nashville-Davidson--Murfreesboro--Franklin, TN",3,2.49,0.51,0.72,0.22,0.92,"506,130",0.06,0.11,0.58,0.68,0.74,0.29,0.09,0.07
"New Haven-Milford, CT",3,2.39,0.44,0.65,0.29,0.9,"201,538",0.05,0.12,0.45,0.65,0.67,0.41,0.05,0.08
"New Orleans-Metairie, LA",4,2.45,0.43,0.72,0.21,0.88,"297,025",0.06,0.15,0.55,0.62,0.58,0.45,0.08,0.15
"New York-Newark-Jersey City, NY-NJ-PA",4,2.64,0.46,0.68,0.25,0.88,"4,668,590",0.03,0.11,0.41,0.65,0.66,0.39,0.07,0.1
"North Port-Sarasota-Bradenton, FL",4,2.31,0.54,0.75,0.19,0.94,"146,800",0.09,0.15,0.34,0.53,0.67,0.43,0.11,0.06
"Ogden-Clearfield, UT",4,3.05,0.56,0.74,0.2,0.94,"175,372",0.07,0.11,0.49,0.69,0.78,0.23,0.08,0.06
"Oklahoma City, OK",4,2.49,0.5,0.72,0.23,0.9,"355,303",0.08,0.15,0.61,0.65,0.67,0.35,0.12,0.1
"Omaha-Council Bluffs, NE-IA",3,2.48,0.51,0.73,0.2,0.93,"230,593",0.09,0.12,0.56,0.7,0.74,0.3,0.07,0.07
"Orlando-Kissimmee-Sanford, FL",4,2.67,0.47,0.7,0.25,0.91,"670,108",0.07,0.12,0.47,0.64,0.66,0.32,0.12,0.1
"Oxnard-Thousand Oaks-Ventura, CA",4,2.96,0.49,0.7,0.26,0.85,"192,533",0.06,0.12,0.47,0.65,0.66,0.37,0.09,0.06
"Palm Bay-Melbourne-Titusville, FL",4,2.4,0.49,0.72,0.25,0.94,"120,289",0.14,0.17,0.34,0.56,0.68,0.39,0.11,0.07
"Pensacola-Ferry Pass-Brent, FL",4,2.47,0.47,0.72,0.23,0.92,"112,676",0.16,0.17,0.38,0.61,0.66,0.39,0.13,0.11
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",4,2.48,0.46,0.69,0.25,0.92,"1,465,221",0.05,0.13,0.44,0.65,0.73,0.36,0.05,0.09
