iter	MAPE	RMSE
0	0.9666411946	24373.9458
1	0.9362121062	23754.97011
2	0.9066664929	23172.98697
3	0.8783992916	22606.63007
4	0.8503624473	22047.1793
5	0.8245895117	21527.34231
6	0.7986373413	21010.88748
7	0.7742078322	20508.41071
8	0.750264027	20034.63373
9	0.727493777	19560.2427
10	0.7057553216	19106.99194
11	0.6845747954	18654.3852
12	0.6641247238	18210.51078
13	0.6449411807	17803.23407
14	0.6248495548	17414.83311
15	0.6062609694	17051.61044
16	0.589477913	16665.81435
17	0.5744255009	16337.03198
18	0.5596740082	15983.74567
19	0.5456204291	15657.36405
20	0.5326766922	15353.55835
21	0.5207546789	15033.4912
22	0.5095184901	14721.22245
23	0.4984767612	14425.68288
24	0.4889729004	14134.07642
25	0.4796230102	13856.21586
26	0.4713963174	13598.1599
27	0.4641360264	13349.81098
28	0.4577759205	13114.55098
29	0.4522754601	12875.06631
30	0.4463238876	12643.47486
31	0.4410158851	12421.37003
32	0.4353446092	12198.98597
33	0.4312432273	11986.74455
34	0.4276251104	11779.95255
35	0.4251677777	11594.93949
36	0.4221120942	11404.89946
37	0.4187482469	11211.43357
38	0.4163676844	11046.96706
39	0.4140740018	10875.58337
40	0.4124270317	10711.1546
41	0.4104544267	10558.53217
42	0.4091065022	10409.71821
43	0.4065806036	10255.13592
44	0.4043493439	10092.34073
45	0.4011149971	9939.766127
46	0.3991201308	9794.925199
47	0.3973656396	9662.863975
48	0.395277494	9526.514474
49	0.3936349642	9392.25799
50	0.392187267	9272.126532
51	0.3911360712	9154.334289
52	0.3893671788	9031.879078
53	0.3880297569	8918.858462
54	0.3860254703	8812.106145
55	0.3853409985	8709.559472
56	0.3846830065	8605.986872
57	0.3838788623	8510.267202
58	0.3828968788	8418.346846
59	0.3820927923	8331.579959
60	0.3823993517	8260.493208
61	0.3808571874	8183.360065
62	0.3804000758	8109.569395
63	0.3791631485	8022.299373
64	0.3797914865	7954.164726
65	0.3794192126	7883.026316
66	0.379887821	7811.741141
67	0.3793383784	7747.462705
68	0.3790546682	7678.677093
69	0.3785679769	7615.675076
70	0.378457555	7563.361053
71	0.3771387716	7509.061874
72	0.377034155	7453.054775
73	0.3764899992	7401.274656
74	0.3762753797	7344.270324
75	0.3759118813	7293.088008
76	0.3757239501	7240.742868
77	0.3754559046	7188.124807
78	0.3756575204	7143.534115
79	0.3758494725	7095.102198
80	0.3756613763	7050.418985
81	0.374664839	7004.642479
82	0.3745936904	6959.647367
83	0.3748101396	6927.235404
84	0.375020096	6894.297121
85	0.3751749409	6848.437566
86	0.3744315318	6805.365891
87	0.3743927581	6766.558153
88	0.3751259527	6743.179101
89	0.375246087	6707.179538
90	0.375032516	6676.96393
91	0.375033616	6646.53254
92	0.3748729135	6619.890732
93	0.3746297765	6596.504116
94	0.3743976565	6559.84918
95	0.3741343717	6529.405554
96	0.3741028516	6499.026268
97	0.3742601321	6478.104836
98	0.3735134514	6437.221351
99	0.3732416407	6402.245274
100	0.3723669372	6378.173951
101	0.3723816551	6357.577814
102	0.3723314912	6334.281056
103	0.3718442587	6303.570209
104	0.371854398	6283.581812
105	0.3721905143	6263.961038
106	0.3715095067	6245.067752
107	0.3717111317	6227.182874
108	0.3715493075	6207.801798
109	0.3714820963	6185.437925
