MSA,year,income_pc
"Jackson, MI",2018,39359
"Jackson, MS",2018,43423
"Jackson, TN",2018,39585
"Jacksonville, FL",2018,50411
"Jacksonville, NC",2018,40077
"Janesville-Beloit, WI",2018,43868
"Jefferson City, MO",2018,42101
"Johnson City, TN",2018,39978
"Johnstown, PA",2018,43050
"Jonesboro, AR",2018,36294
"Joplin, MO",2018,40371
"Kahului-Wailuku-Lahaina, HI",2018,47886
"Kalamazoo-Portage, MI",2018,47968
"Kankakee, IL",2018,41173
"Kansas City, MO-KS",2018,53688
"Kennewick-Richland, WA",2018,43203
"Killeen-Temple, TX",2018,42169
"Kingsport-Bristol, TN-VA",2018,39689
"Kingston, NY",2018,50378
"Knoxville, TN",2018,46341
"Kokomo, IN",2018,41689
"La Crosse-Onalaska, WI-MN",2018,49888
"Lafayette, LA",2018,43657
"Lafayette-West Lafayette, IN",2018,39453
"Lake Charles, LA",2018,48516
"Lake Havasu City-Kingman, AZ",2018,33083
"Lakeland-Winter Haven, FL",2018,36048
"Lancaster, PA",2018,52682
"Lansing-East Lansing, MI",2018,41190
"Laredo, TX",2018,31907
"Las Cruces, NM",2018,35805
"Las Vegas-Henderson-Paradise, NV",2018,47184
"Lawrence, KS",2018,43888
"Lawton, OK",2018,41236
"Lebanon, PA",2018,47772
"Lewiston, ID-WA",2018,44434
"Lewiston-Auburn, ME",2018,40869
"Lexington-Fayette, KY",2018,47827
"Lima, OH",2018,42427
"Lincoln, NE",2018,49479
"Little Rock-North Little Rock-Conway, AR",2018,45563
"Logan, UT-ID",2018,39190
"Longview, TX",2018,42174
"Longview, WA",2018,43407
"Los Angeles-Long Beach-Anaheim, CA",2018,61594
"Louisville/Jefferson County, KY-IN",2018,50313
"Lubbock, TX",2018,43189
"Lynchburg, VA",2018,39668
"Macon-Bibb County, GA",2018,40191
"Madera, CA",2018,37373
"Madison, WI",2018,59266
"Manchester-Nashua, NH",2018,60760
"Manhattan, KS",2018,45802
"Mankato, MN",2018,46008
"Mansfield, OH",2018,39173
"McAllen-Edinburg-Mission, TX",2018,27007
"Medford, OR",2018,45903
"Memphis, TN-MS-AR",2018,46481
"Merced, CA",2018,37193
"Miami-Fort Lauderdale-Pompano Beach, FL",2018,59189
"Michigan City-La Porte, IN",2018,42248
"Midland, MI",2018,53973
"Midland, TX",2018,130647
"Milwaukee-Waukesha, WI",2018,56253
"Minneapolis-St. Paul-Bloomington, MN-WI",2018,62695
"Missoula, MT",2018,49616
"Mobile, AL",2018,38119
"Modesto, CA",2018,41850
"Monroe, LA",2018,40581
"Monroe, MI",2018,47091
"Montgomery, AL",2018,43156
"Morgantown, WV",2018,43856
"Morristown, TN",2018,36379
"Mount Vernon-Anacortes, WA",2018,50703
"Muncie, IN",2018,36727
"Muskegon, MI",2018,38141
"Myrtle Beach-Conway-North Myrtle Beach, SC-NC",2018,39867
"Napa, CA",2018,70161
"Naples-Marco Island, FL",2018,99997
"Nashville-Davidson--Murfreesboro--Franklin, TN",2018,59105
"New Bern, NC",2018,41910
"New Haven-Milford, CT",2018,54773
"New Orleans-Metairie, LA",2018,52574
"New York-Newark-Jersey City, NY-NJ-PA",2018,75166
"Niles, MI",2018,47325
"North Port-Sarasota-Bradenton, FL",2018,58060
"Norwich-New London, CT",2018,56567
"Ocala, FL",2018,37497
"Ocean City, NJ",2018,60246
"Odessa, TX",2018,49458
"Ogden-Clearfield, UT",2018,43682
"Oklahoma City, OK",2018,48300
"Olympia-Lacey-Tumwater, WA",2018,49483
"Omaha-Council Bluffs, NE-IA",2018,57457
"Orlando-Kissimmee-Sanford, FL",2018,43970
"Oshkosh-Neenah, WI",2018,47644
"Owensboro, KY",2018,40785
"Oxnard-Thousand Oaks-Ventura, CA",2018,60238
"Palm Bay-Melbourne-Titusville, FL",2018,46145
"Panama City, FL",2018,43020
"Parkersburg-Vienna, WV",2018,43479
"Pensacola-Ferry Pass-Brent, FL",2018,43699
"Peoria, IL",2018,48056
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",2018,64053
"Phoenix-Mesa-Chandler, AZ",2018,46140
"Pine Bluff, AR",2018,33869
"Pittsburgh, PA",2018,58000
"Pittsfield, MA",2018,55947
"Pocatello, ID",2018,37248
"Portland-South Portland, ME",2018,57732
"Portland-Vancouver-Hillsboro, OR-WA",2018,56762
"Port St. Lucie, FL",2018,54988
"Poughkeepsie-Newburgh-Middletown, NY",2018,53225
"Prescott Valley-Prescott, AZ",2018,40098
"Providence-Warwick, RI-MA",2018,53771
"Provo-Orem, UT",2018,40896
"Pueblo, CO",2018,37969
"Punta Gorda, FL",2018,42292
"Racine, WI",2018,49191
"Raleigh-Cary, NC",2018,56139
"Rapid City, SD",2018,50230
"Reading, PA",2018,49549
"Redding, CA",2018,44549
"Reno, NV",2018,61005
"Richmond, VA",2018,56101
"Riverside-San Bernardino-Ontario, CA",2018,39403
"Roanoke, VA",2018,46032
"Rochester, MN",2018,54635
"Rochester, NY",2018,50554
"Rockford, IL",2018,43824
"Rocky Mount, NC",2018,39030
"Rome, GA",2018,37593
"Sacramento-Roseville-Folsom, CA",2018,54832
"Saginaw, MI",2018,39289
"St. Cloud, MN",2018,45837
"St. George, UT",2018,39964
"St. Joseph, MO-KS",2018,38098
"St. Louis, MO-IL",2018,55533
"Salem, OR",2018,42119
"Salinas, CA",2018,53625
"Salisbury, MD-DE",2018,48086
"Salt Lake City, UT",2018,51253
"San Angelo, TX",2018,48865
