,MSA,num_races,household_size,frac_married,frac_school,frac_college,frac_educated,annual_births,frac_veteran,frac_disability,non_citizen,employment_rate,frac_priv_insurance,frac_mcare_insurance,frac_no_insurance,poverty_rate
3593,"Memphis, TN-MS-AR",4.0,2.53,0.42,0.77,0.17,0.9,"327,202",0.07,0.13,0.64,0.64,0.64,0.37,0.11,0.13
3594,"Merced, CA",,,,,,,,,,,,,,,
3595,"Miami-Miami Beach-Kendall, FL",,,,,,,,,,,,,,,
3596,"Midland, MI",,,,,,,,,,,,,,,
3597,"Midland, TX",,,,,,,,,,,,,,,
3598,"Milwaukee-Waukesha, WI",3.0,2.37,0.47,0.76,0.2,0.93,"364,582",0.05,0.12,0.49,0.66,0.7,0.36,0.06,0.09
3599,"Minneapolis-St. Paul-Bloomington, MN-WI",4.0,2.5,0.5,0.72,0.21,0.95,"865,454",0.06,0.11,0.39,0.71,0.78,0.31,0.04,0.05
3600,"Mobile, AL",,,,,,,,,,,,,,,
3601,"Monroe, MI",,,,,,,,,,,,,,,
3602,"Montgomery, AL",,,,,,,,,,,,,,,
3603,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",4.0,2.48,0.46,0.69,0.25,0.92,"1,465,221",0.05,0.13,0.44,0.65,0.73,0.36,0.05,0.09
3604,"Morgantown, WV",,,,,,,,,,,,,,,
3605,"Morristown, TN",,,,,,,,,,,,,,,
3606,"Mount Vernon-Anacortes, WA",,,,,,,,,,,,,,,
3607,"Muskegon, MI",,,,,,,,,,,,,,,
3608,"Myrtle Beach-Conway-North Myrtle Beach, SC-NC",3.0,2.39,0.52,0.74,0.21,0.93,"96,690",0.11,0.18,0.44,0.52,0.6,0.48,0.12,0.08
3609,"Naples-Marco Island, FL",,,,,,,,,,,,,,,
3610,"Nashville-Davidson--Murfreesboro--Franklin, TN",3.0,2.49,0.51,0.72,0.22,0.92,"506,130",0.06,0.11,0.58,0.68,0.74,0.29,0.09,0.07
3611,"New York-Newark-Jersey City, NY-NJ-PA",4.0,2.64,0.46,0.68,0.25,0.88,"4,668,590",0.03,0.11,0.41,0.65,0.66,0.39,0.07,0.1
3612,"New York-Newark-Jersey City, NY-NJ-PA",4.0,2.64,0.46,0.68,0.25,0.88,"4,668,590",0.03,0.11,0.41,0.65,0.66,0.39,0.07,0.1
3613,"New Bern, NC",,,,,,,,,,,,,,,
3614,"New York-Newark-Jersey City, NY-NJ-PA",4.0,2.64,0.46,0.68,0.25,0.88,"4,668,590",0.03,0.11,0.41,0.65,0.66,0.39,0.07,0.1
3615,"Niles, MI",,,,,,,,,,,,,,,
3616,"North Port-Sarasota-Bradenton, FL",4.0,2.31,0.54,0.75,0.19,0.94,"146,800",0.09,0.15,0.34,0.53,0.67,0.43,0.11,0.06
3617,"Oakland-Hayward-Berkeley, CA",,,,,,,,,,,,,,,
3618,"Ocala, FL",,,,,,,,,,,,,,,
3619,"Ocean City, NJ",,,,,,,,,,,,,,,
3620,"Ogden-Clearfield, UT",4.0,3.05,0.56,0.74,0.2,0.94,"175,372",0.07,0.11,0.49,0.69,0.78,0.23,0.08,0.06
3621,"Oklahoma City, OK",4.0,2.49,0.5,0.72,0.23,0.9,"355,303",0.08,0.15,0.61,0.65,0.67,0.35,0.12,0.1
3622,"Olympia-Lacey-Tumwater, WA",,,,,,,,,,,,,,,
3623,"Omaha-Council Bluffs, NE-IA",3.0,2.48,0.51,0.73,0.2,0.93,"230,593",0.09,0.12,0.56,0.7,0.74,0.3,0.07,0.07
3624,"Orlando-Kissimmee-Sanford, FL",4.0,2.67,0.47,0.7,0.25,0.91,"670,108",0.07,0.12,0.47,0.64,0.66,0.32,0.12,0.1
3625,"Oshkosh-Neenah, WI",,,,,,,,,,,,,,,
3626,"Oxnard-Thousand Oaks-Ventura, CA",4.0,2.96,0.49,0.7,0.26,0.85,"192,533",0.06,0.12,0.47,0.65,0.66,0.37,0.09,0.06
3627,"Palm Bay-Melbourne-Titusville, FL",4.0,2.4,0.49,0.72,0.25,0.94,"120,289",0.14,0.17,0.34,0.56,0.68,0.39,0.11,0.07
3628,"Panama City, FL",,,,,,,,,,,,,,,
3629,"Parkersburg-Vienna, WV",,,,,,,,,,,,,,,
3630,"Pensacola-Ferry Pass-Brent, FL",4.0,2.47,0.47,0.72,0.23,0.92,"112,676",0.16,0.17,0.38,0.61,0.66,0.39,0.13,0.11
3631,"Peoria, IL",,,,,,,,,,,,,,,
3632,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",4.0,2.48,0.46,0.69,0.25,0.92,"1,465,221",0.05,0.13,0.44,0.65,0.73,0.36,0.05,0.09
3633,"Phoenix-Mesa-Chandler, AZ",4.0,2.61,0.49,0.73,0.23,0.89,"1,171,188",0.07,0.12,0.54,0.64,0.66,0.35,0.11,0.08
3634,"Pittsburgh, PA",3.0,2.23,0.49,0.71,0.23,0.95,"506,691",0.06,0.14,0.46,0.63,0.75,0.38,0.04,0.08
3635,"Pittsfield, MA",,,,,,,,,,,,,,,
3636,"Portland-Vancouver-Hillsboro, OR-WA",4.0,2.47,0.49,0.73,0.22,0.93,"617,728",0.07,0.13,0.43,0.66,0.72,0.35,0.06,0.06
3637,"Port St. Lucie, FL",4.0,2.47,0.49,0.75,0.2,0.91,"92,503",0.1,0.14,0.34,0.55,0.61,0.44,0.12,0.07
3638,"Prescott, AZ",,,,,,,,,,,,,,,
3639,"Providence-Warwick, RI-MA",4.0,2.4,0.45,0.66,0.3,0.88,"388,957",0.05,0.14,0.41,0.65,0.69,0.41,0.04,0.08
3640,"Pueblo, CO",,,,,,,,,,,,,,,
3641,"Punta Gorda, FL",,,,,,,,,,,,,,,
3642,"Raleigh-Cary, NC",4.0,2.6,0.52,0.71,0.24,0.93,"369,122",0.06,0.11,0.55,0.68,0.77,0.25,0.09,0.07
3643,"Reading, PA",,,,,,,,,,,,,,,
3644,"Reno, NV",,,,,,,,,,,,,,,
3645,"Richmond, VA",4.0,2.47,0.47,0.73,0.22,0.91,"315,279",0.08,0.13,0.49,0.65,0.73,0.35,0.06,0.07
3646,"Riverside-San Bernardino-Ontario, CA",4.0,3.17,0.47,0.74,0.23,0.83,"1,128,235",0.05,0.12,0.46,0.61,0.58,0.42,0.09,0.1
3647,"Roanoke, VA",,,,,,,,,,,,,,,
3648,"Rochester, MN",,,,,,,,,,,,,,,
3649,"Rochester, NY",3.0,2.3,0.45,0.67,0.28,0.91,"244,974",0.06,0.14,0.37,0.63,0.71,0.4,0.04,0.08
3650,"Rockford, IL",,,,,,,,,,,,,,,
3651,"Rocky Mount, NC",,,,,,,,,,,,,,,
3652,"Rome, GA",,,,,,,,,,,,,,,
3653,"Sacramento-Roseville-Folsom, CA",4.0,2.7,0.49,0.68,0.27,0.9,"576,823",0.06,0.12,0.38,0.62,0.71,0.39,0.04,0.08
3654,"Saginaw, MI",,,,,,,,,,,,,,,
3655,"St. Joseph, MO-KS",,,,,,,,,,,,,,,
3656,"St. Louis, MO-IL",3.0,2.41,0.48,0.71,0.22,0.93,"642,539",0.07,0.14,0.42,0.65,0.74,0.32,0.06,0.07
3657,"Salinas, CA",,,,,,,,,,,,,,,
3658,"Salisbury, MD-DE",,,,,,,,,,,,,,,
3659,"Salt Lake City, UT",4.0,2.81,0.51,0.72,0.23,0.92,"325,478",0.04,0.1,0.56,0.71,0.77,0.21,0.1,0.06
3660,"San Angelo, TX",,,,,,,,,,,,,,,
3661,"San Antonio-New Braunfels, TX",4.0,2.7,0.48,0.73,0.21,0.87,"643,444",0.11,0.15,0.57,0.65,0.63,0.33,0.16,0.1
3662,"San Diego-Chula Vista-Carlsbad, CA",4.0,2.75,0.47,0.64,0.32,0.88,"797,411",0.07,0.11,0.4,0.66,0.7,0.35,0.07,0.07
3663,"San Francisco-Redwood City-South San Francisco, CA",,,,,,,,,,,,,,,
3664,"San Jose-Sunnyvale-Santa Clara, CA",4.0,2.86,0.52,0.64,0.31,0.89,"469,632",0.03,0.09,0.46,0.67,0.77,0.28,0.04,0.05
3665,"Santa Rosa-Petaluma, CA",4.0,2.51,0.49,0.69,0.26,0.89,"105,272",0.05,0.12,0.51,0.64,0.71,0.39,0.06,0.05
3666,"Savannah, GA",,,,,,,,,,,,,,,
3667,"Scranton--Wilkes-Barre, PA",4.0,2.35,0.46,0.73,0.23,0.91,"121,783",0.07,0.16,0.56,0.6,0.69,0.43,0.06,0.09
3668,"Seattle-Bellevue-Everett, WA",,,,,,,,,,,,,,,
3669,"Sebastian-Vero Beach, FL",,,,,,,,,,,,,,,
3670,"Sebring-Avon Park, FL",,,,,,,,,,,,,,,
3671,"Sheboygan, WI",,,,,,,,,,,,,,,
3672,"Sherman-Denison, TX",,,,,,,,,,,,,,,
3673,"Silver Spring-Frederick-Rockville, MD",,,,,,,,,,,,,,,
3674,"Sioux Falls, SD",,,,,,,,,,,,,,,
3675,"Spokane-Spokane Valley, WA",4.0,2.43,0.48,0.72,0.22,0.94,"137,062",0.1,0.16,0.39,0.61,0.64,0.45,0.05,0.08
3676,"Springfield, IL",,,,,,,,,,,,,,,
3677,"Springfield, MA",4.0,2.38,0.41,0.63,0.33,0.9,"170,335",0.06,0.16,0.38,0.59,0.68,0.45,0.03,0.1
3678,"Springfield, MO",,,,,,,,,,,,,,,
3679,"Springfield, OH",,,,,,,,,,,,,,,
3680,"Stockton, CA",4.0,3.2,0.47,0.76,0.19,0.79,"187,895",0.04,0.12,0.45,0.6,0.59,0.45,0.06,0.09
3681,"Syracuse, NY",4.0,2.32,0.45,0.63,0.33,0.92,"151,301",0.07,0.14,0.42,0.61,0.69,0.43,0.03,0.1
3682,"Tacoma-Lakewood, WA",,,,,,,,,,,,,,,
3683,"Tampa-St. Petersburg-Clearwater, FL",4.0,2.42,0.47,0.71,0.24,0.91,"720,482",0.09,0.14,0.4,0.61,0.64,0.37,0.11,0.09
3684,"Texarkana, TX-AR",,,,,,,,,,,,,,,
3685,"Toledo, OH",3.0,2.3,0.45,0.68,0.25,0.92,"149,306",0.06,0.15,0.38,0.64,0.71,0.39,0.05,0.1
3686,"Topeka, KS",,,,,,,,,,,,,,,
3687,"Trenton-Princeton, NJ",,,,,,,,,,,,,,,
3688,"Tulsa, OK",3.0,2.51,0.49,0.76,0.17,0.9,"236,269",0.07,0.16,0.59,0.63,0.64,0.36,0.14,0.1
3689,"Tuscaloosa, AL",,,,,,,,,,,,,,,
3690,"Tyler, TX",,,,,,,,,,,,,,,
3691,"Utica-Rome, NY",,,,,,,,,,,,,,,
3692,"Victoria, TX",,,,,,,,,,,,,,,
3693,"Virginia Beach-Norfolk-Newport News, VA-NC",4.0,2.41,0.48,0.7,0.26,0.93,"434,583",0.15,0.14,0.38,0.67,0.74,0.36,0.06,0.08
3694,"Visalia, CA",,,,,,,,,,,,,,,
3695,"Waco, TX",,,,,,,,,,,,,,,
3696,"Warner Robins, GA",,,,,,,,,,,,,,,
3697,"Detroit-Warren-Dearborn, MI",4.0,2.46,0.46,0.74,0.21,0.91,"992,227",0.05,0.13,0.38,0.62,0.7,0.41,0.05,0.1
3698,"Washington-Arlington-Alexandria, DC-VA-MD-WV",4.0,2.62,0.49,0.68,0.26,0.92,"1,575,871",0.07,0.09,0.44,0.7,0.77,0.28,0.07,0.06
3699,"Waterloo-Cedar Falls, IA",,,,,,,,,,,,,,,
3700,"Weirton-Steubenville, WV-OH",,,,,,,,,,,,,,,
3701,"West Palm Beach-Boca Raton-Delray Beach, FL",,,,,,,,,,,,,,,
3702,"Wichita, KS",4.0,2.55,0.49,0.74,0.2,0.9,"147,653",0.07,0.14,0.51,0.65,0.69,0.33,0.1,0.08
3703,"Wichita Falls, TX",,,,,,,,,,,,,,,
3704,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",4.0,2.48,0.46,0.69,0.25,0.92,"1,465,221",0.05,0.13,0.44,0.65,0.73,0.36,0.05,0.09
3705,"Winchester, VA-WV",,,,,,,,,,,,,,,
3706,"Winston-Salem, NC",4.0,2.44,0.49,0.72,0.23,0.89,"154,324",0.07,0.15,0.59,0.59,0.63,0.39,0.1,0.09
3707,"Yakima, WA",,,,,,,,,,,,,,,
3708,"York-Hanover, PA",,,,,,,,,,,,,,,
3709,"Youngstown-Warren-Boardman, OH-PA",3.0,2.26,0.47,0.74,0.2,0.92,"110,694",0.08,0.17,0.31,0.56,0.6,0.49,0.06,0.12
3710,"Yuba City, CA",,,,,,,,,,,,,,,
3711,"Abilene, TX",,,,,,,,,,,,,,,
3712,"Akron, OH",3.0,2.34,0.46,0.72,0.24,0.92,"160,665",0.06,0.14,0.4,0.63,0.68,0.4,0.06,0.09
3713,"Albany, GA",,,,,,,,,,,,,,,
3714,"Albany-Lebanon, OR",,,,,,,,,,,,,,,
3715,"Albany-Schenectady-Troy, NY",3.0,2.29,0.47,0.66,0.3,0.93,"208,912",0.06,0.13,0.38,0.63,0.74,0.38,0.03,0.07
3716,"Allentown-Bethlehem-Easton, PA-NJ",4.0,2.5,0.49,0.71,0.24,0.91,"191,596",0.06,0.13,0.42,0.64,0.72,0.37,0.06,0.08
3717,"Amarillo, TX",,,,,,,,,,,,,,,
3718,"Ames, IA",,,,,,,,,,,,,,,
3719,"Anaheim-Santa Ana-Irvine, CA",,,,,,,,,,,,,,,
3720,"Anchorage, AK",,,,,,,,,,,,,,,
3721,"Ann Arbor, MI",,,,,,,,,,,,,,,
3722,"Anniston-Oxford, AL",,,,,,,,,,,,,,,
3723,"Appleton, WI",,,,,,,,,,,,,,,
3724,"Asheville, NC",,,,,,,,,,,,,,,
3725,"Atlanta-Sandy Springs-Alpharetta, GA",4.0,2.66,0.48,0.72,0.22,0.91,"1,573,561",0.07,0.11,0.48,0.67,0.7,0.28,0.12,0.09
3726,"Atlantic City-Hammonton, NJ",,,,,,,,,,,,,,,
3727,"Auburn-Opelika, AL",,,,,,,,,,,,,,,
3728,"Augusta-Richmond County, GA-SC",4.0,2.69,0.44,0.72,0.22,0.89,"144,792",0.11,0.16,0.44,0.61,0.65,0.38,0.11,0.13
3729,"Austin-Round Rock-Georgetown, TX",4.0,2.42,0.5,0.68,0.27,0.92,"624,985",0.06,0.1,0.58,0.71,0.74,0.23,0.13,0.07
3730,"Bakersfield, CA",4.0,3.14,0.44,0.78,0.18,0.77,"217,085",0.05,0.11,0.57,0.58,0.51,0.49,0.08,0.15
3731,"Baltimore-Columbia-Towson, MD",4.0,2.48,0.47,0.68,0.28,0.92,"672,232",0.07,0.12,0.39,0.67,0.74,0.36,0.05,0.08
3732,"Battle Creek, MI",,,,,,,,,,,,,,,
3733,"Bay City, MI",,,,,,,,,,,,,,,
3734,"Beaumont-Port Arthur, TX",,,,,,,,,,,,,,,
3735,"Birmingham-Hoover, AL",3.0,2.5,0.47,0.75,0.17,0.9,"264,679",0.06,0.15,0.58,0.61,0.69,0.35,0.08,0.1
3736,"Bloomington, IL",,,,,,,,,,,,,,,
3737,"Boston-Cambridge-Newton, MA-NH",4.0,2.47,0.47,0.63,0.31,0.92,"1,196,562",0.04,0.1,0.46,0.69,0.76,0.34,0.03,0.06
3738,"Boulder, CO",,,,,,,,,,,,,,,
3739,"Bremerton-Silverdale-Port Orchard, WA",,,,,,,,,,,,,,,
3740,"Brownsville-Harlingen, TX",,,,,,,,,,,,,,,
3741,"Brunswick, GA",,,,,,,,,,,,,,,
3742,"Buffalo-Cheektowaga, NY",4.0,2.25,0.44,0.68,0.27,0.93,"260,535",0.06,0.14,0.36,0.63,0.7,0.44,0.03,0.1
3743,"Burlington, NC",,,,,,,,,,,,,,,
3744,"California-Lexington Park, MD",,,,,,,,,,,,,,,
3745,"Boston-Cambridge-Newton, MA-NH",4.0,2.47,0.47,0.63,0.31,0.92,"1,196,562",0.04,0.1,0.46,0.69,0.76,0.34,0.03,0.06
3746,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",4.0,2.48,0.46,0.69,0.25,0.92,"1,465,221",0.05,0.13,0.44,0.65,0.73,0.36,0.05,0.09
3747,"Canton-Massillon, OH",,,,,,,,,,,,,,,
3748,"Cape Coral-Fort Myers, FL",4.0,2.43,0.53,0.75,0.21,0.9,"147,478",0.08,0.14,0.39,0.53,0.61,0.45,0.11,0.09
3749,"Cedar Rapids, IA",,,,,,,,,,,,,,,
3750,"Charlotte-Concord-Gastonia, NC-SC",4.0,2.54,0.49,0.75,0.19,0.9,"673,803",0.06,0.11,0.57,0.67,0.69,0.31,0.1,0.08
3751,"Charlottesville, VA",,,,,,,,,,,,,,,
3752,"Chattanooga, TN-GA",3.0,2.42,0.5,0.73,0.2,0.9,"131,391",0.07,0.15,0.65,0.62,0.68,0.34,0.1,0.08
3753,"Chicago-Naperville-Arlington Heights, IL",,,,,,,,,,,,,,,
3754,"Cleveland, TN",,,,,,,,,,,,,,,
3755,"Cleveland-Elyria, OH",4.0,2.28,0.45,0.72,0.22,0.92,"459,168",0.06,0.15,0.38,0.64,0.68,0.4,0.05,0.09
3756,"College Station-Bryan, TX",,,,,,,,,,,,,,,
3757,"Colorado Springs, CO",4.0,2.52,0.53,0.66,0.29,0.95,"183,294",0.15,0.13,0.35,0.67,0.73,0.35,0.07,0.06
3758,"Columbia, MO",,,,,,,,,,,,,,,
3759,"Columbus, GA-AL",,,,,,,,,,,,,,,
3760,"Columbus, OH",4.0,2.45,0.48,0.7,0.24,0.92,"530,168",0.06,0.12,0.48,0.67,0.7,0.33,0.08,0.09
3761,"Corpus Christi, TX",,,,,,,,,,,,,,,
3762,"Dallas-Fort Worth-Arlington, TX",4.0,2.71,0.51,0.75,0.2,0.87,"1,974,825",0.06,0.1,0.59,0.69,0.66,0.25,0.17,0.08
3763,"Danville, IL",,,,,,,,,,,,,,,
3764,"Daphne-Fairhope-Foley, AL",,,,,,,,,,,,,,,
3765,"Davenport-Moline-Rock Island, IA-IL",,,,,,,,,,,,,,,
3766,"Dayton, OH",,,,,,,,,,,,,,,
3767,"Decatur, AL",,,,,,,,,,,,,,,
3768,"Decatur, IL",,,,,,,,,,,,,,,
3769,"Deltona-Daytona Beach-Ormond Beach, FL",3.0,2.31,0.49,0.7,0.24,0.92,"131,589",0.1,0.18,0.39,0.52,0.6,0.43,0.13,0.08
3770,"Denver-Aurora-Lakewood, CO",4.0,2.47,0.49,0.72,0.22,0.92,"752,085",0.06,0.1,0.52,0.72,0.71,0.3,0.08,0.05
3771,"Des Moines-West Des Moines, IA",3.0,2.42,0.52,0.74,0.19,0.93,"173,385",0.06,0.11,0.48,0.71,0.75,0.32,0.04,0.05
3772,"Detroit-Warren-Dearborn, MI",4.0,2.46,0.46,0.74,0.21,0.91,"992,227",0.05,0.13,0.38,0.62,0.7,0.41,0.05,0.1
3773,"Dothan, AL",,,,,,,,,,,,,,,
3774,"Dover, DE",,,,,,,,,,,,,,,
3775,"Duluth, MN-WI",,,,,,,,,,,,,,,
3776,"Durham-Chapel Hill, NC",4.0,2.36,0.46,0.59,0.37,0.91,"166,768",0.06,0.12,0.57,0.62,0.72,0.31,0.1,0.09
3777,"Dutchess County-Putnam County, NY",,,,,,,,,,,,,,,
3778,"East Stroudsburg, PA",,,,,,,,,,,,,,,
3779,"Eau Claire, WI",,,,,,,,,,,,,,,
3780,"Chicago-Naperville-Elgin, IL-IN-WI",4.0,2.55,0.47,0.71,0.23,0.9,"2,284,402",0.04,0.11,0.46,0.66,0.7,0.33,0.08,0.08
3781,"El Paso, TX",4.0,2.87,0.46,0.69,0.26,0.81,"211,861",0.08,0.14,0.49,0.63,0.52,0.35,0.22,0.17
3782,"Erie, PA",,,,,,,,,,,,,,,
3783,"Eugene-Springfield, OR",,,,,,,,,,,,,,,
3784,"Fargo, ND-MN",,,,,,,,,,,,,,,
3785,"Fayetteville, NC",4.0,2.55,0.46,0.7,0.26,0.92,"130,490",0.17,0.16,0.47,0.63,0.65,0.4,0.1,0.12
3786,"Fayetteville-Springdale-Rogers, AR",3.0,2.65,0.52,0.73,0.22,0.89,"141,373",0.07,0.1,0.71,0.66,0.64,0.34,0.11,0.07
3787,"Flint, MI",,,,,,,,,,,,,,,
3788,"Florence-Muscle Shoals, AL",,,,,,,,,,,,,,,
3789,"Fond du Lac, WI",,,,,,,,,,,,,,,
3790,"Fort Collins, CO",,,,,,,,,,,,,,,
3791,"Fort Lauderdale-Pompano Beach-Deerfield Beach, FL",,,,,,,,,,,,,,,
3792,"Fort Smith, AR-OK",,,,,,,,,,,,,,,
3793,"Dallas-Fort Worth-Arlington, TX",4.0,2.71,0.51,0.75,0.2,0.87,"1,974,825",0.06,0.1,0.59,0.69,0.66,0.25,0.17,0.08
3794,"Fresno, CA",4.0,3.09,0.44,0.75,0.21,0.79,"247,146",0.05,0.13,0.51,0.61,0.53,0.5,0.06,0.16
3795,"Gadsden, AL",,,,,,,,,,,,,,,
3796,"Gainesville, GA",,,,,,,,,,,,,,,
3797,"Grand Rapids-Kentwood, MI",3.0,2.59,0.52,0.74,0.2,0.92,"260,321",0.05,0.11,0.5,0.67,0.75,0.33,0.05,0.06
3798,"Greeley, CO",,,,,,,,,,,,,,,
3799,"Green Bay, WI",,,,,,,,,,,,,,,
3800,"Greenville, NC",,,,,,,,,,,,,,,
3801,"Gulfport-Biloxi, MS",,,,,,,,,,,,,,,
3802,"Hagerstown-Martinsburg, MD-WV",,,,,,,,,,,,,,,
3803,"Harrisonburg, VA",,,,,,,,,,,,,,,
3804,"Homosassa Springs, FL",,,,,,,,,,,,,,,
3805,"Houston-The Woodlands-Sugar Land, TX",3.0,2.74,0.51,0.75,0.21,0.84,"1,808,878",0.05,0.1,0.57,0.66,0.6,0.28,0.19,0.11
3806,"Huntsville, AL",4.0,2.38,0.53,0.68,0.26,0.91,"117,812",0.11,0.13,0.43,0.63,0.8,0.27,0.08,0.07
3807,"Iowa City, IA",,,,,,,,,,,,,,,
3808,"Jackson, MI",,,,,,,,,,,,,,,
3809,"Jackson, MS",3.0,2.48,0.43,0.74,0.21,0.89,"142,828",0.06,0.16,0.57,0.59,0.61,0.37,0.13,0.14
3810,"Jackson, TN",,,,,,,,,,,,,,,
3811,"Jacksonville, FL",3.0,2.49,0.48,0.76,0.19,0.92,"380,009",0.12,0.13,0.39,0.63,0.7,0.34,0.1,0.09
3812,"Janesville-Beloit, WI",,,,,,,,,,,,,,,
3813,"Jefferson City, MO",,,,,,,,,,,,,,,
3814,"Johnstown, PA",,,,,,,,,,,,,,,
3815,"Joplin, MO",,,,,,,,,,,,,,,
3816,"Kalamazoo-Portage, MI",,,,,,,,,,,,,,,
3817,"Kansas City, MO-KS",3.0,2.46,0.52,0.77,0.17,0.93,"517,202",0.07,0.12,0.52,0.68,0.75,0.28,0.09,0.07
3818,"Killeen-Temple, TX",,,,,,,,,,,,,,,
3819,"Kingsport-Bristol, TN-VA",,,,,,,,,,,,,,,
3820,"Kingston, NY",,,,,,,,,,,,,,,
3821,"Knoxville, TN",4.0,2.42,0.49,0.68,0.26,0.91,"204,937",0.08,0.15,0.57,0.6,0.69,0.37,0.09,0.08
3822,"Chicago-Naperville-Elgin, IL-IN-WI",4.0,2.55,0.47,0.71,0.23,0.9,"2,284,402",0.04,0.11,0.46,0.66,0.7,0.33,0.08,0.08
3823,"Lake Havasu City-Kingman, AZ",,,,,,,,,,,,,,,
3824,"Lakeland-Winter Haven, FL",3.0,2.68,0.46,0.8,0.16,0.88,"170,379",0.07,0.14,0.54,0.56,0.58,0.4,0.14,0.12
3825,"Lansing-East Lansing, MI",3.0,2.37,0.45,0.55,0.4,0.94,"131,186",0.06,0.15,0.45,0.62,0.75,0.36,0.05,0.07
3826,"Laredo, TX",,,,,,,,,,,,,,,
3827,"Las Vegas-Henderson-Paradise, NV",4.0,2.66,0.44,0.76,0.21,0.87,"551,521",0.08,0.13,0.45,0.64,0.61,0.37,0.13,0.12
3828,"Lawrence, KS",,,,,,,,,,,,,,,
3829,"Lima, OH",,,,,,,,,,,,,,,
3830,"Little Rock-North Little Rock-Conway, AR",3.0,2.39,0.51,0.74,0.2,0.93,"183,176",0.08,0.15,0.56,0.63,0.66,0.39,0.08,0.1
3831,"Longview, TX",,,,,,,,,,,,,,,
3832,"Los Angeles-Long Beach-Glendale, CA",,,,,,,,,,,,,,,
3833,"Lynchburg, VA",,,,,,,,,,,,,,,
3834,"Macon-Bibb County, GA",,,,,,,,,,,,,,,
3835,"Madison, WI",3.0,2.28,0.48,0.62,0.33,0.96,"171,447",0.05,0.09,0.58,0.69,0.82,0.27,0.04,0.05
3836,"Mankato, MN",,,,,,,,,,,,,,,
3837,"Mansfield, OH",,,,,,,,,,,,,,,
3838,"McAllen-Edinburg-Mission, TX",3.0,3.25,0.48,0.81,0.15,0.69,"218,483",0.03,0.12,0.67,0.57,0.36,0.39,0.31,0.26
3839,"Memphis, TN-MS-AR",4.0,2.53,0.42,0.77,0.17,0.9,"327,202",0.07,0.13,0.64,0.64,0.64,0.37,0.11,0.13
3840,"Merced, CA",,,,,,,,,,,,,,,
3841,"Miami-Miami Beach-Kendall, FL",,,,,,,,,,,,,,,
3842,"Midland, MI",,,,,,,,,,,,,,,
3843,"Midland, TX",,,,,,,,,,,,,,,
3844,"Milwaukee-Waukesha, WI",3.0,2.37,0.47,0.76,0.2,0.93,"364,582",0.05,0.12,0.49,0.66,0.7,0.36,0.06,0.09
3845,"Minneapolis-St. Paul-Bloomington, MN-WI",4.0,2.5,0.5,0.72,0.21,0.95,"865,454",0.06,0.11,0.39,0.71,0.78,0.31,0.04,0.05
3846,"Mobile, AL",,,,,,,,,,,,,,,
3847,"Monroe, MI",,,,,,,,,,,,,,,
3848,"Montgomery, AL",,,,,,,,,,,,,,,
3849,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",4.0,2.48,0.46,0.69,0.25,0.92,"1,465,221",0.05,0.13,0.44,0.65,0.73,0.36,0.05,0.09
3850,"Morristown, TN",,,,,,,,,,,,,,,
3851,"Mount Vernon-Anacortes, WA",,,,,,,,,,,,,,,
3852,"Muskegon, MI",,,,,,,,,,,,,,,
3853,"Myrtle Beach-Conway-North Myrtle Beach, SC-NC",3.0,2.39,0.52,0.74,0.21,0.93,"96,690",0.11,0.18,0.44,0.52,0.6,0.48,0.12,0.08
3854,"Nashville-Davidson--Murfreesboro--Franklin, TN",3.0,2.49,0.51,0.72,0.22,0.92,"506,130",0.06,0.11,0.58,0.68,0.74,0.29,0.09,0.07
3855,"New York-Newark-Jersey City, NY-NJ-PA",4.0,2.64,0.46,0.68,0.25,0.88,"4,668,590",0.03,0.11,0.41,0.65,0.66,0.39,0.07,0.1
3856,"New York-Newark-Jersey City, NY-NJ-PA",4.0,2.64,0.46,0.68,0.25,0.88,"4,668,590",0.03,0.11,0.41,0.65,0.66,0.39,0.07,0.1
3857,"New Bern, NC",,,,,,,,,,,,,,,
3858,"New York-Newark-Jersey City, NY-NJ-PA",4.0,2.64,0.46,0.68,0.25,0.88,"4,668,590",0.03,0.11,0.41,0.65,0.66,0.39,0.07,0.1
3859,"Niles, MI",,,,,,,,,,,,,,,
3860,"North Port-Sarasota-Bradenton, FL",4.0,2.31,0.54,0.75,0.19,0.94,"146,800",0.09,0.15,0.34,0.53,0.67,0.43,0.11,0.06
3861,"Oakland-Hayward-Berkeley, CA",,,,,,,,,,,,,,,
3862,"Ocala, FL",,,,,,,,,,,,,,,
3863,"Odessa, TX",,,,,,,,,,,,,,,
3864,"Ogden-Clearfield, UT",4.0,3.05,0.56,0.74,0.2,0.94,"175,372",0.07,0.11,0.49,0.69,0.78,0.23,0.08,0.06
3865,"Oklahoma City, OK",4.0,2.49,0.5,0.72,0.23,0.9,"355,303",0.08,0.15,0.61,0.65,0.67,0.35,0.12,0.1
3866,"Olympia-Lacey-Tumwater, WA",,,,,,,,,,,,,,,
