,MSA,num_races,household_size,frac_married,frac_school,frac_college,frac_educated,annual_births,frac_veteran,frac_disability,non_citizen,employment_rate,frac_priv_insurance,frac_mcare_insurance,frac_no_insurance,poverty_rate
57,"Fort Lauderdale-Pompano Beach-Deerfield Beach, FL",,,,,,,,,,,,,,,
58,"Fort Smith, AR-OK",,,,,,,,,,,,,,,
59,"Dallas-Fort Worth-Arlington, TX",4.0,2.71,0.51,0.75,0.2,0.87,"1,974,825",0.06,0.1,0.59,0.69,0.66,0.25,0.17,0.08
60,"Gadsden, AL",,,,,,,,,,,,,,,
61,"Gainesville, FL",,,,,,,,,,,,,,,
62,"Glens Falls, NY",,,,,,,,,,,,,,,
63,"Grand Rapids-Kentwood, MI",3.0,2.59,0.52,0.74,0.2,0.92,"260,321",0.05,0.11,0.5,0.67,0.75,0.33,0.05,0.06
64,"Greeley, CO",,,,,,,,,,,,,,,
65,"Greensboro-High Point, NC",4.0,2.46,0.46,0.67,0.28,0.89,"188,414",0.06,0.14,0.52,0.62,0.66,0.36,0.1,0.11
66,"Gulfport-Biloxi, MS",,,,,,,,,,,,,,,
67,"Hagerstown-Martinsburg, MD-WV",,,,,,,,,,,,,,,
68,"Harrisburg-Carlisle, PA",4.0,2.36,0.51,0.77,0.19,0.92,"131,739",0.08,0.12,0.45,0.64,0.75,0.36,0.05,0.07
69,"Hickory-Lenoir-Morganton, NC",,,,,,,,,,,,,,,
70,"Houston-The Woodlands-Sugar Land, TX",3.0,2.74,0.51,0.75,0.21,0.84,"1,808,878",0.05,0.1,0.57,0.66,0.6,0.28,0.19,0.11
71,"Huntsville, AL",4.0,2.38,0.53,0.68,0.26,0.91,"117,812",0.11,0.13,0.43,0.63,0.8,0.27,0.08,0.07
72,"Iowa City, IA",,,,,,,,,,,,,,,
73,"Ithaca, NY",,,,,,,,,,,,,,,
74,"Jackson, MI",,,,,,,,,,,,,,,
75,"Jackson, TN",,,,,,,,,,,,,,,
76,"Jacksonville, FL",3.0,2.49,0.48,0.76,0.19,0.92,"380,009",0.12,0.13,0.39,0.63,0.7,0.34,0.1,0.09
77,"Jefferson City, MO",,,,,,,,,,,,,,,
78,"Johnson City, TN",,,,,,,,,,,,,,,
79,"Kalamazoo-Portage, MI",,,,,,,,,,,,,,,
80,"Kansas City, MO-KS",3.0,2.46,0.52,0.77,0.17,0.93,"517,202",0.07,0.12,0.52,0.68,0.75,0.28,0.09,0.07
81,"Killeen-Temple, TX",,,,,,,,,,,,,,,
82,"Chicago-Naperville-Elgin, IL-IN-WI",4.0,2.55,0.47,0.71,0.23,0.9,"2,284,402",0.04,0.11,0.46,0.66,0.7,0.33,0.08,0.08
83,"Lake Havasu City-Kingman, AZ",,,,,,,,,,,,,,,
84,"Lakeland-Winter Haven, FL",3.0,2.68,0.46,0.8,0.16,0.88,"170,379",0.07,0.14,0.54,0.56,0.58,0.4,0.14,0.12
85,"Lansing-East Lansing, MI",3.0,2.37,0.45,0.55,0.4,0.94,"131,186",0.06,0.15,0.45,0.62,0.75,0.36,0.05,0.07
86,"Laredo, TX",,,,,,,,,,,,,,,
87,"Las Vegas-Henderson-Paradise, NV",4.0,2.66,0.44,0.76,0.21,0.87,"551,521",0.08,0.13,0.45,0.64,0.61,0.37,0.13,0.12
88,"Lawrence, KS",,,,,,,,,,,,,,,
89,"Lima, OH",,,,,,,,,,,,,,,
90,"Lincoln, NE",,,,,,,,,,,,,,,
91,"Little Rock-North Little Rock-Conway, AR",3.0,2.39,0.51,0.74,0.2,0.93,"183,176",0.08,0.15,0.56,0.63,0.66,0.39,0.08,0.1
92,"Longview, TX",,,,,,,,,,,,,,,
93,"Los Angeles-Long Beach-Glendale, CA",,,,,,,,,,,,,,,
94,"Lynchburg, VA",,,,,,,,,,,,,,,
