iter	MAPE	RMSE
0	0.9661244114	24144.33751
1	0.935691037	23529.94617
2	0.9063278146	22949.67591
3	0.8782465568	22381.01844
4	0.8501819744	21828.45824
5	0.8243167263	21307.32258
6	0.7984037529	20793.70035
7	0.7738977597	20296.7658
8	0.7496265309	19798.73681
9	0.7262280944	19330.89478
10	0.7034290522	18880.91611
11	0.6831021231	18433.738
12	0.6626340747	18008.87526
13	0.6434993212	17594.92693
14	0.6263743267	17184.1062
15	0.609346508	16814.68499
16	0.5926732642	16446.17309
17	0.5772240057	16099.25177
18	0.5623140087	15742.84216
19	0.5486989702	15442.36733
20	0.5356917866	15119.38359
21	0.5235677326	14805.29389
22	0.5120665265	14503.26849
23	0.5011115497	14205.04339
24	0.4917489325	13936.21446
25	0.4827364107	13661.0435
26	0.4748922486	13396.59335
27	0.467419438	13137.0827
28	0.4611993475	12887.17294
29	0.4539499843	12646.37596
30	0.4489319638	12421.18384
31	0.4429860652	12197.16677
32	0.4377428573	11989.74821
33	0.4327460543	11779.9417
34	0.4286941694	11582.82097
35	0.4252614222	11387.73593
36	0.4216334809	11201.73131
37	0.4178857533	11021.2103
38	0.4148321312	10841.56128
39	0.4112463587	10658.53798
40	0.4082484568	10491.49968
41	0.4057859187	10331.65536
42	0.4040123591	10181.22025
43	0.4019651165	10031.61898
44	0.3998692251	9890.159107
45	0.3980177474	9751.28437
46	0.3964740531	9624.199004
47	0.3965817311	9512.639584
48	0.3950327535	9387.913487
49	0.3945580704	9272.500864
50	0.3927177236	9152.70542
51	0.391700335	9036.900353
52	0.3902663499	8933.813012
53	0.3894357726	8826.865581
54	0.3890510375	8728.666979
55	0.3875338888	8633.740813
56	0.386950446	8536.223077
57	0.386686435	8447.000787
58	0.3866702261	8359.420687
59	0.3860301032	8283.734916
60	0.3858502866	8205.225758
61	0.3850664875	8126.084764
62	0.3844720253	8046.007983
63	0.3842631729	7969.833214
64	0.3844492655	7900.863116
65	0.3844811547	7839.62381
66	0.3841367136	7776.945254
67	0.3844440408	7717.691425
68	0.3844266708	7656.484639
69	0.3837549498	7599.155105
70	0.3848491498	7558.745814
71	0.3847624573	7501.963255
72	0.3849597698	7443.082474
73	0.3848109943	7380.425589
74	0.3853746129	7330.810094
75	0.3855885786	7287.594004
76	0.3856050428	7242.695409
77	0.3855630213	7197.315237
78	0.3852462287	7148.312326
79	0.3856568423	7103.94237
80	0.3858390855	7066.313617
81	0.3853221313	7021.124578
82	0.3853635829	6980.01235
83	0.383944089	6939.988939
84	0.3834085277	6905.934876
85	0.3838524577	6876.370395
86	0.384105237	6836.868065
87	0.3837355651	6805.713905
88	0.3835859374	6763.410733
89	0.3836850779	6721.995096
90	0.3830452397	6682.340972
91	0.3829378338	6644.793111
92	0.3830083763	6614.384984
93	0.3830995823	6577.320951
94	0.38306267	6548.730396
95	0.3831496233	6514.167377
