iter	Passed	Remaining
0	28	28520
1	47	23893
2	65	21643
3	95	23806
4	108	21561
5	138	22887
6	153	21831
7	185	22940
8	198	21851
9	216	21405
10	228	20542
11	260	21456
12	295	22436
13	403	28443
14	435	28618
15	466	28719
16	497	28792
17	520	28421
18	545	28143
19	557	27333
20	589	27467
21	623	27731
22	660	28066
23	692	28156
24	724	28247
25	756	28325
26	786	28360
27	817	28383
28	867	29036
29	905	29276
30	938	29335
31	969	29336
32	1001	29341
33	1031	29318
34	1055	29098
35	1091	29220
36	1125	29292
37	1156	29287
38	1187	29250
39	1219	29256
40	1250	29245
41	1266	28895
42	1302	28993
43	1337	29056
44	1374	29160
45	1441	29889
46	1482	30057
47	1505	29852
48	1547	30024
49	1573	29895
50	1613	30020
51	1652	30131
52	1694	30273
53	1736	30414
54	1771	30429
55	1806	30455
56	1837	30403
57	1868	30350
58	1907	30418
59	1977	30977
60	2010	30955
61	2041	30888
62	2074	30860
63	2106	30803
64	2137	30745
65	2171	30726
66	2207	30739
67	2229	30563
68	2260	30505
69	2292	30460
70	2305	30165
71	2336	30112
72	2370	30104
73	2406	30114
74	2474	30519
75	2513	30558
76	2551	30580
77	2595	30675
78	2627	30637
79	2659	30580
80	2694	30576
81	2725	30513
82	2760	30503
83	2791	30437
84	2826	30421
85	2858	30375
86	2888	30308
87	2918	30241
88	2953	30231
89	2991	30250
90	3032	30290
91	3069	30294
92	3102	30261
93	3134	30214
94	3165	30151
95	3195	30088
96	3227	30044
97	3260	30007
98	3292	29961
99	3324	29920
100	3355	29871
101	3387	29823
102	3419	29776
103	3484	30021
104	3522	30027
105	3561	30039
106	3593	29986
107	3623	29930
108	3660	29919
109	3693	29881
110	3724	29828
111	3754	29769
112	3762	29535
113	3792	29474
114	3823	29424
115	3856	29387
116	3890	29359
117	3920	29306
118	3951	29254
119	3984	29222
120	4020	29208
121	4056	29193
122	4090	29164
123	4121	29119
124	4152	29067
125	4183	29017
126	4213	28964
127	4244	28912
128	4277	28883
129	4310	28843
130	4341	28801
131	4372	28750
132	4402	28697
133	4433	28652
134	4466	28617
135	4538	28830
136	4586	28894
137	4624	28886
138	4656	28840
139	4687	28795
140	4717	28740
141	4752	28713
142	4784	28674
143	4815	28624
144	4846	28575
145	4875	28520
146	4905	28467
147	4936	28420
148	4971	28394
149	5004	28356
150	5039	28332
151	5078	28331
152	5113	28307
153	5152	28304
154	5187	28278
155	5235	28327
156	5266	28278
157	5298	28236
158	5328	28186
159	5358	28131
160	5390	28091
161	5454	28216
162	5500	28246
163	5538	28232
164	5602	28352
165	5639	28334
166	5677	28320
167	5709	28274
168	5741	28231
169	5772	28183
170	5802	28131
171	5837	28099
172	5871	28066
173	5902	28018
174	5931	27964
175	5962	27915
176	5994	27870
177	6024	27822
178	6059	27793
179	6097	27775
180	6132	27746
181	6165	27712
182	6196	27665
183	6209	27539
184	6243	27503
185	6276	27468
186	6308	27426
187	6340	27386
188	6372	27345
189	6403	27297
190	6433	27249
191	6470	27229
192	6502	27188
193	6539	27171
194	6571	27127
195	6637	27228
196	6674	27204
197	6708	27174
198	6740	27132
199	6771	27087
200	6802	27039
201	6833	26995
202	6866	26960
203	6902	26932
204	6949	26950
205	6980	26904
206	7013	26867
207	7047	26835
208	7081	26801
209	7122	26794
210	7160	26775
211	7200	26765
212	7232	26723
213	7262	26674
214	7293	26630
215	7323	26583
216	7356	26545
217	7388	26504
218	7419	26460
219	7449	26412
220	7479	26362
221	7511	26322
222	7545	26291
223	7577	26250
224	7607	26204
225	7671	26273
226	7715	26274
227	7755	26260
228	7792	26236
229	7828	26209
230	7862	26173
231	7892	26126
232	7924	26087
233	7957	26047
234	7990	26012
235	8025	25980
236	8066	25968
237	8099	25930
238	8136	25907
239	8174	25885
240	8208	25853
241	8249	25838
242	8284	25808
243	8316	25768
244	8353	25742
245	8390	25718
246	8428	25694
247	8477	25706
248	8517	25688
249	8552	25658
250	8588	25628
251	8625	25601
252	8660	25571
253	8780	25789
254	8819	25766
255	8859	25747
256	8892	25708
257	8922	25662
258	8961	25637
259	8995	25602
260	9035	25582
261	9074	25560
262	9111	25532
263	9150	25509
264	9189	25488
265	9230	25470
266	9269	25448
267	9309	25426
268	9345	25395
269	9380	25361
270	9431	25370
271	9467	25339
272	9502	25304
273	9540	25279
274	9571	25235
275	9601	25187
276	9636	25153
277	9670	25116
278	9701	25071
279	9737	25039
280	9770	24999
281	9843	25063
282	9878	25028
283	9911	24988
284	9942	24943
285	9972	24896
286	10003	24851
287	10035	24809
288	10068	24770
289	10103	24736
290	10157	24746
