iter	Passed	Remaining
0	27	27459
1	46	23441
2	73	24373
3	108	27122
4	123	24538
5	156	25987
6	169	24095
7	182	22588
8	212	23365
9	243	24137
10	275	24730
11	300	24715
12	398	30232
13	433	30506
14	479	31459
15	491	30249
16	522	30186
17	534	29175
18	565	29193
19	595	29190
20	626	29213
21	657	29210
22	679	28873
23	702	28559
24	732	28580
25	744	27906
26	775	27963
27	788	27381
28	819	27439
29	850	27506
30	883	27613
31	914	27675
32	946	27741
33	965	27428
34	977	26960
35	1000	26782
36	1032	26883
37	1067	27023
38	1086	26763
39	1110	26659
40	1159	27109
41	1198	27339
42	1233	27463
43	1268	27567
44	1301	27630
45	1336	27711
46	1351	27401
47	1396	27698
48	1475	28632
49	1484	28212
50	1521	28304
51	1562	28486
52	1605	28687
53	1639	28723
54	1675	28787
55	1706	28771
56	1738	28758
57	1769	28743
58	1800	28718
59	1835	28749
60	1869	28773
61	1902	28778
62	1934	28774
63	1966	28759
64	2000	28775
65	2034	28785
66	2068	28810
67	2101	28796
68	2134	28805
69	2167	28793
70	2198	28769
71	2229	28738
72	2263	28745
73	2298	28762
74	2333	28784
75	2368	28795
76	2399	28767
77	2431	28741
78	2466	28758
79	2598	29880
80	2649	30063
81	2687	30086
82	2721	30065
83	2757	30068
84	2790	30043
85	2822	29993
86	2852	29934
87	2882	29874
88	2913	29822
89	2947	29803
90	2978	29749
91	3009	29705
92	3041	29662
93	3075	29645
94	3088	29419
95	3119	29377
96	3150	29326
97	3181	29282
98	3212	29236
99	3243	29189
100	3273	29134
101	3304	29094
102	3336	29052
103	3374	29072
104	3414	29108
105	3471	29281
106	3515	29341
107	3569	29479
108	3737	30551
109	3786	30634
110	3829	30673
111	3875	30726
112	3919	30763
113	3966	30824
114	4010	30865
115	4087	31152
116	4122	31113
117	4166	31142
118	4204	31127
119	4247	31145
120	4282	31107
121	4318	31075
122	4363	31112
123	4411	31164
124	4454	31184
125	4509	31281
126	4559	31339
127	4611	31416
128	4666	31508
129	4718	31574
130	4873	32327
131	4933	32438
132	4988	32520
133	5040	32573
134	5090	32619
135	5131	32602
136	5171	32577
137	5217	32591
138	5261	32591
139	5330	32745
140	5371	32727
141	5416	32727
142	5461	32727
143	5499	32691
144	5528	32598
145	5572	32594
146	5615	32587
147	5653	32548
148	5698	32548
149	5738	32516
150	5780	32502
151	5821	32479
152	5864	32463
153	5981	32857
154	6023	32837
155	6083	32912
156	6143	32989
157	6193	33004
158	6235	32979
159	6275	32944
160	6314	32903
161	6359	32896
162	6402	32876
163	6440	32828
164	6481	32801
165	6524	32777
166	6577	32810
167	6619	32784
168	6655	32726
169	6667	32555
170	6773	32837
171	6822	32845
172	6860	32796
173	6899	32751
174	6937	32703
175	7000	32777
176	7156	33276
177	7203	33263
178	7261	33304
179	7318	33340
180	7377	33382
181	7427	33382
182	7477	33382
183	7525	33374
184	7584	33412
185	7644	33456
186	7767	33769
187	7845	33883
188	7903	33913
189	7950	33894
190	8029	34010
191	8093	34061
192	8183	34219
193	8346	34674
194	8395	34660
195	8447	34651
196	8494	34625
197	8541	34597
198	8584	34553
199	8627	34510
200	8688	34536
201	8744	34546
202	8814	34607
203	8890	34689
204	8967	34776
205	9087	35027
206	9195	35228
207	9294	35389
208	9365	35445
209	9568	35996
210	9618	35968
211	9674	35961
212	9727	35939
213	9771	35890
214	9814	35835
215	9860	35790
216	9902	35729
217	9945	35675
218	9985	35611
219	10032	35570
220	10081	35537
221	10127	35493
222	10175	35453
223	10220	35405
224	10262	35348
225	10305	35292
226	10346	35233
227	10389	35177
228	10428	35109
229	10472	35059
230	10513	34999
231	10562	34966
232	10715	35274
233	10768	35251
234	10820	35223
235	10864	35172
236	10913	35134
237	10957	35081
238	10995	35012
239	11051	34997
240	11097	34948
241	11140	34894
242	11184	34841
243	11236	34814
244	11280	34761
245	11325	34713
246	11369	34661
247	11413	34608
248	11453	34544
249	11508	34524
250	11545	34453
251	11589	34400
252	11652	34405
253	11691	34337
254	11902	34772
255	11953	34739
256	12031	34782
257	12133	34896
258	12182	34853
259	12232	34816
260	12279	34768
261	12326	34719
262	12380	34693
263	12424	34638
264	12480	34616
265	12529	34574
266	12586	34554
267	12631	34501
268	12672	34436
269	12722	34396
270	12784	34392
271	12844	34378
272	12907	34373
273	13079	34656
274	13130	34616
275	13183	34582
276	13230	34532
277	13273	34472
278	13310	34396
279	13345	34315
280	13380	34237
281	13414	34154
282	13448	34072
283	13484	33996
284	13524	33930
285	13564	33864
286	13607	33804
287	13654	33757
288	13690	33680
289	13727	33607
290	13778	33570
291	13814	33495
292	13848	33415
293	13894	33366
294	13938	33310
295	13974	33237
296	14008	33157
297	14051	33100
298	14094	33044
299	14200	33133
300	14241	33071
301	14280	33005
302	14316	32932
303	14348	32851
304	14380	32769
305	14412	32687
306	14446	32611
307	14484	32543
308	14520	32470
309	14552	32391
310	14587	32317
311	14620	32240
312	14657	32172
313	14696	32108
314	14729	32031
315	14762	31953
316	14812	31915
317	14844	31837
318	14877	31759
319	14910	31684
320	14942	31607
321	14974	31531
322	15010	31460
323	15060	31422
324	15093	31349
325	15126	31274
326	15160	31202
327	15195	31131
328	15338	31282
329	15375	31216
330	15433	31193
331	15472	31130
332	15505	31056
333	15539	30986
334	15572	30912
335	15603	30836
336	15634	30759
337	15668	30687
338	15709	30631
339	15745	30563
340	15786	30508
341	15821	30439
342	15853	30366
343	15885	30293
344	15919	30223
345	15954	30156
346	16020	30148
347	16054	30078
348	16087	30008
349	16121	29939
350	16155	29871
351	16188	29801
352	16221	29731
353	16254	29663
354	16288	29594
355	16322	29527
356	16428	29589
357	16464	29526
358	16506	29471
359	16544	29412
360	16577	29343
361	16610	29275
362	16644	29208
363	16685	29154
364	16744	29130
365	16780	29067
366	16820	29011
367	16873	28978
368	16909	28915
369	16944	28851
370	16981	28790
371	17027	28744
372	17065	28686
373	17100	28623
